"","sentence","answer","direction","difficulty","itemId","corpusId","form","itemNum","itemId_old"
"55","Las mandarinas son anaranjadas y jugosas.",TRUE,"right",NA,"form1_aiHumanEs_55","aiHumanEs","form1",55,"spanish_ai-human_39"
"56","En muchos lugares los gallos cantan por las mañanas.",TRUE,"right",NA,"form1_labEs_56","labEs","form1",56,"spanish_lab_42"
"57","Las maletas tienen vida propia y viajan por el mundo solas.",FALSE,"left",NA,"form1_aiEs_57","aiEs","form1",57,"spanish_ai_75"
"58","Las tormentas de nieve ocurren en el verano.",FALSE,"left",NA,"form1_aiEs_58","aiEs","form1",58,"spanish_ai_77"
"59","La lluvia cae únicamente cuando hace mucho calor.",FALSE,"left",NA,"form1_labEs_59","labEs","form1",59,"spanish_lab_112"
"60","Algunas personas toman agua de coco cuando tienen sed.",TRUE,"right",NA,"form1_aiHumanEs_60","aiHumanEs","form1",60,"spanish_ai-human_37"
"61","Las cabras ayudan a resolver misterios en la jungla.",FALSE,"left",NA,"form1_aiHumanEs_61","aiHumanEs","form1",61,"spanish_ai-human_50"
"62","Los perros son leales y algunas personas los tienen como mascotas.",TRUE,"right",NA,"form1_aiHumanEs_62","aiHumanEs","form1",62,"spanish_ai-human_36"
"63","Los astronautas caminan sobre la luna descalzos y cantando.",FALSE,"left",NA,"form1_aiEs_63","aiEs","form1",63,"spanish_ai_157"
"64","Los elefantes tienen trompas largas que usan para muchas cosas.",TRUE,"right",NA,"form1_aiEs_64","aiEs","form1",64,"spanish_ai_108"
"65","Las bicicletas son una forma ecológica y saludable de transporte.",TRUE,"right",NA,"form1_aiEs_65","aiEs","form1",65,"spanish_ai_32"
"66","Los conejos les cantan canciones infantiles para dormir a los tigres.",FALSE,"left",NA,"form1_labEs_66","labEs","form1",66,"spanish_lab_114"
"67","Los nadadores practican en la piscina para mejorar sus habilidades.",TRUE,"right",NA,"form1_aiEs_67","aiEs","form1",67,"spanish_ai_11"
"68","Las ingenieras pintan con lápices gigantes.",FALSE,"left",NA,"form1_aiHumanEs_68","aiHumanEs","form1",68,"spanish_ai-human_20"
"69","Se puede escribir con un lápiz.",TRUE,"right",NA,"form1_labEsNew_69","labEsNew","form1",69,NA
"70","Los árboles dan sombra.",TRUE,"right",NA,"form1_labEsNew_70","labEsNew","form1",70,NA
"71","Las vacas producen leche.",TRUE,"right",NA,"form2_labEs_1","labEs","form2",1,"spanish_lab_20"
"72","Los niños juegan en el parque.",TRUE,"right",NA,"form2_aiEs_2","aiEs","form2",2,"spanish_ai_25"
"73","Los libros pueden hablar.",FALSE,"left",NA,"form2_aiEs_3","aiEs","form2",3,"spanish_ai_184"
"74","Las ballenas son pájaros.",FALSE,"left",NA,"form2_aiEs_4","aiEs","form2",4,"spanish_ai_65"
"75","Los gatos cazan ratones.",TRUE,"right",NA,"form2_aiEs_5","aiEs","form2",5,"spanish_ai_150"
"76","El sol sale por la noche.",FALSE,"left",NA,"form2_labEs_6","labEs","form2",6,"spanish_lab_29"
"77","Los caballos tienen pelo.",TRUE,"right",NA,"form2_labEs_7","labEs","form2",7,"spanish_lab_26"
"78","El sol brilla durante el día.",TRUE,"right",NA,"form2_aiEs_8","aiEs","form2",8,"spanish_ai_143"
"79","Los tigres tienen rayas.",TRUE,"right",NA,"form2_aiEs_9","aiEs","form2",9,"spanish_ai_46"
"80","Las cabras comen helado.",FALSE,"left",NA,"form2_aiHumanEs_10","aiHumanEs","form2",10,"spanish_ai-human_22"
"81","Las motos sirven para volar.",FALSE,"left",NA,"form2_labEs_11","labEs","form2",11,"spanish_lab_36"
"82","Los gusanos viven en la tierra.",TRUE,"right",NA,"form2_aiEs_12","aiEs","form2",12,"spanish_ai_110"
"83","Una moto tiene dos ruedas.",TRUE,"right",NA,"form2_labEs_13","labEs","form2",13,"spanish_lab_22"
"84","Las serpientes mudan su piel.",TRUE,"right",NA,"form2_aiEs_14","aiEs","form2",14,"spanish_ai_30"
"85","Los libros se guardan en la nevera.",FALSE,"left",NA,"form2_labEs_15","labEs","form2",15,"spanish_lab_51"
"86","Las piedras son magos.",FALSE,"left",NA,"form2_aiEs_16","aiEs","form2",16,"spanish_ai_161"
"87","Agosto es el último mes del año.",FALSE,"left",NA,"form2_aiEs_17","aiEs","form2",17,"spanish_ai_92"
"88","Los bosques están llenos de árboles.",TRUE,"right",NA,"form2_aiEs_18","aiEs","form2",18,"spanish_ai_21"
"89","Los dragones vuelan en bicicleta.",FALSE,"left",NA,"form2_aiEs_19","aiEs","form2",19,"spanish_ai_166"
"90","Las peras son una fruta.",TRUE,"right",NA,"form2_labEs_20","labEs","form2",20,"spanish_lab_2"
"91","Las palomas viven bajo el agua.",FALSE,"left",NA,"form2_aiHumanEs_21","aiHumanEs","form2",21,"spanish_ai-human_21"
"92","Los cuadernos tienen alas para volar.",FALSE,"left",NA,"form2_aiHumanEs_22","aiHumanEs","form2",22,"spanish_ai-human_14"
"93","Los médicos usan batas blancas.",TRUE,"right",NA,"form2_aiEs_23","aiEs","form2",23,"spanish_ai_48"
"94","Las zanahorias brillan en la oscuridad.",FALSE,"left",NA,"form2_aiEs_24","aiEs","form2",24,"spanish_ai_61"
"95","La sopa se toma con tenedor.",FALSE,"left",NA,"form2_labEs_25","labEs","form2",25,"spanish_lab_1"
"96","Los relojes marcan la hora del día.",TRUE,"right",NA,"form2_aiEs_26","aiEs","form2",26,"spanish_ai_14"
"97","Los patos usan zapatos.",FALSE,"left",NA,"form2_aiHumanEs_27","aiHumanEs","form2",27,"spanish_ai-human_47"
"98","Los vasos son cuadrados.",FALSE,"left",NA,"form2_aiEs_28","aiEs","form2",28,"spanish_ai_179"
"99","El fútbol se juega con una cuchara.",FALSE,"left",NA,"form2_labEs_29","labEs","form2",29,"spanish_lab_14"
"100","Las bolsas pueden llevar objetos.",TRUE,"right",NA,"form2_aiEs_30","aiEs","form2",30,"spanish_ai_107"
"101","Las hormigas son tan grandes como elefantes.",FALSE,"left",NA,"form2_aiEs_31","aiEs","form2",31,"spanish_ai_196"
"102","Los monos saltan entre las ramas.",TRUE,"right",NA,"form2_aiEs_32","aiEs","form2",32,"spanish_ai_47"
"103","Las iguanas son reptiles verdes.",TRUE,"right",NA,"form2_aiEs_33","aiEs","form2",33,"spanish_ai_3"
"104","Los teléfonos tienen ruedas para moverse.",FALSE,"left",NA,"form2_aiEs_34","aiEs","form2",34,"spanish_ai_193"
"105","Las ranas saltan en el estanque.",TRUE,"right",NA,"form2_aiEs_35","aiEs","form2",35,"spanish_ai_129"
"106","Los toros caminan hacia atrás.",FALSE,"left",NA,"form2_aiHumanEs_36","aiHumanEs","form2",36,"spanish_ai-human_26"
"107","Los taxis llevan a las personas a destinos.",TRUE,"right",NA,"form2_aiEs_37","aiEs","form2",37,"spanish_ai_18"
"108","La ""Z"" es la última letra del alfabeto.",TRUE,"right",NA,"form2_aiEs_38","aiEs","form2",38,"spanish_ai_33"
"109","Una botella de plástico se puede reutilizar.",TRUE,"right",NA,"form2_labEs_39","labEs","form2",39,"spanish_lab_108"
"110","Puedo oler una fruta con mis ojos.",FALSE,"left",NA,"form2_labEs_40","labEs","form2",40,"spanish_lab_31"
"111","Las papas crecen en los árboles.",FALSE,"left",NA,"form2_labEs_41","labEs","form2",41,"spanish_lab_116"
"112","Un bombero apaga fuegos con agua.",TRUE,"right",NA,"form2_aiEs_42","aiEs","form2",42,"spanish_ai_140"
"113","Las burbujas se hacen con arena.",FALSE,"left",NA,"form2_labEs_43","labEs","form2",43,"spanish_lab_80"
"114","Los submarinos pueden sumergirse bajo el agua.",TRUE,"right",NA,"form2_aiEs_44","aiEs","form2",44,"spanish_ai_1"
"115","Los autobuses van por las carreteras.",TRUE,"right",NA,"form2_labEs_45","labEs","form2",45,"spanish_lab_13"
"116","Los dientes se pueden limpiar con una zanahoria.",FALSE,"left",NA,"form2_labEs_46","labEs","form2",46,"spanish_lab_107"
"117","Las letras bailan en el teclado.",FALSE,"left",NA,"form2_aiEs_47","aiEs","form2",47,"spanish_ai_94"
"118","El agua es importante para cultivar vegetales.",TRUE,"right",NA,"form2_labEs_48","labEs","form2",48,"spanish_lab_53"
"119","Las escobas sirven para detener el tiempo.",FALSE,"left",NA,"form2_aiHumanEs_49","aiHumanEs","form2",49,"spanish_ai-human_46"
"120","Los músicos tocan instrumentos con las orejas.",FALSE,"left",NA,"form2_aiEs_50","aiEs","form2",50,"spanish_ai_84"
"121","Los nadadores se sumergen en el agua.",TRUE,"right",NA,"form2_aiEs_51","aiEs","form2",51,"spanish_ai_127"
"122","Los bomberos apagan incendios con paraguas.",FALSE,"left",NA,"form2_aiEs_52","aiEs","form2",52,"spanish_ai_192"
"123","Las botellas de plástico contaminan el mar.",TRUE,"right",NA,"form2_labEs_53","labEs","form2",53,"spanish_lab_24"
"124","Los leones son vegetarianos y aman las ensaladas verdes.",FALSE,"left",NA,"form2_aiEs_54","aiEs","form2",54,"spanish_ai_69"
"125","Algunas personas caminan descalzas sobre la arena.",TRUE,"right",NA,"form2_labEs_55","labEs","form2",55,"spanish_lab_23"
"126","Un vaso con leche se puede beber con tenedor.",FALSE,"left",NA,"form2_labEs_56","labEs","form2",56,"spanish_lab_56"
"127","Las rocas son siempre suaves al tacto.",FALSE,"left",NA,"form2_aiEs_57","aiEs","form2",57,"spanish_ai_79"
"128","Las zanahorias son micrófonos que cantan canciones al crecer.",FALSE,"left",NA,"form2_aiEs_58","aiEs","form2",58,"spanish_ai_68"
"129","Los helados son postres fríos y deliciosos que todos disfrutan.",TRUE,"right",NA,"form2_aiEs_59","aiEs","form2",59,"spanish_ai_20"
"130","Las verduras, como las zanahorias, son saludables y nutritivas.",TRUE,"right",NA,"form2_aiEs_60","aiEs","form2",60,"spanish_ai_12"
"131","Los tiburones son arquitectos que diseñan puentes sobre océanos.",FALSE,"left",NA,"form2_aiEs_61","aiEs","form2",61,"spanish_ai_98"
"132","Se puede tocar la espalda con la punta de la nariz.",FALSE,"left",NA,"form2_labEs_62","labEs","form2",62,"spanish_lab_106"
"133","Los libros contienen conocimiento y cuentan historias cautivadoras.",TRUE,"right",NA,"form2_aiEs_63","aiEs","form2",63,"spanish_ai_45"
"134","Los astronautas viajan al espacio para explorar planetas y estrellas.",TRUE,"right",NA,"form2_aiEs_64","aiEs","form2",64,"spanish_ai_148"
"135","Se necesita fuerza para cargar un costal de piedras.",TRUE,"right",NA,"form2_labEs_65","labEs","form2",65,"spanish_lab_41"
"136","Los patos construyen sus casas en la cima de los árboles.",FALSE,"left",NA,"form2_labEs_66","labEs","form2",66,"spanish_lab_110"
"137","Las cucarachas son mensajeras secretas que hablan varios idiomas.",FALSE,"left",NA,"form2_aiEs_67","aiEs","form2",67,"spanish_ai_160"
"138","Los exploradores descubren nuevos lugares en emocionantes aventuras.",TRUE,"right",NA,"form2_aiEs_68","aiEs","form2",68,"spanish_ai_16"
"139","Muchos pájaros pueden volar.",TRUE,"right",NA,"form2_labEsNew_69","labEsNew","form2",69,NA
"140","El cuerpo humano tiene huesos.",TRUE,"right",NA,"form2_labEsNew_70","labEsNew","form2",70,NA
"141","El hielo es frío.",TRUE,"right",NA,"form3_labEs_1","labEs","form3",1,"spanish_lab_10"
"142","Los burros vuelan en el cielo.",FALSE,"left",NA,"form3_aiHumanEs_2","aiHumanEs","form3",2,"spanish_ai-human_53"
"143","Los niños juegan con juguetes.",TRUE,"right",NA,"form3_aiEs_3","aiEs","form3",3,"spanish_ai_120"
"144","El café es de color azul.",FALSE,"left",NA,"form3_labEs_4","labEs","form3",4,"spanish_lab_11"
"145","Los payasos hacen reír a la gente.",TRUE,"right",NA,"form3_aiEs_5","aiEs","form3",5,"spanish_ai_109"
"146","Los libros son invisibles.",FALSE,"left",NA,"form3_aiEs_6","aiEs","form3",6,"spanish_ai_201"
"147","Los delfines son inteligentes.",TRUE,"right",NA,"form3_aiEs_7","aiEs","form3",7,"spanish_ai_112"
"148","Las cerezas son rojas.",TRUE,"right",NA,"form3_aiHumanEs_8","aiHumanEs","form3",8,"spanish_ai-human_3"
"149","La cebolla es una fruta.",FALSE,"left",NA,"form3_labEs_9","labEs","form3",9,"spanish_lab_49"
"150","Las estrellas están en el cielo.",TRUE,"right",NA,"form3_labEs_10","labEs","form3",10,"spanish_lab_30"
"151","Los barcos navegan en el agua.",TRUE,"right",NA,"form3_aiEs_11","aiEs","form3",11,"spanish_ai_145"
"152","Los peces caminan por la tierra.",FALSE,"left",NA,"form3_aiEs_12","aiEs","form3",12,"spanish_ai_185"
"153","Las fresas son saladas.",FALSE,"left",NA,"form3_labEs_13","labEs","form3",13,"spanish_lab_21"
"154","Algunas personas comen pescado.",TRUE,"right",NA,"form3_labEs_14","labEs","form3",14,"spanish_lab_52"
"155","Tomar agua nos quita la sed.",TRUE,"right",NA,"form3_labEs_15","labEs","form3",15,"spanish_lab_113"
"156","El helado es un postre frío.",TRUE,"right",NA,"form3_aiEs_16","aiEs","form3",16,"spanish_ai_138"
"157","Las ranas viven en los volcanes.",FALSE,"left",NA,"form3_aiHumanEs_17","aiHumanEs","form3",17,"spanish_ai-human_27"
"158","Las sillas hablan en voz alta.",FALSE,"left",NA,"form3_aiEs_18","aiEs","form3",18,"spanish_ai_89"
"159","Un martillo sirve para cocinar.",FALSE,"left",NA,"form3_labEs_19","labEs","form3",19,"spanish_lab_18"
"160","Los camellos nadan en el mar.",FALSE,"left",NA,"form3_aiHumanEs_20","aiHumanEs","form3",20,"spanish_ai-human_18"
"161","Los leones rugen en la selva.",TRUE,"right",NA,"form3_aiEs_21","aiEs","form3",21,"spanish_ai_8"
"162","Los gorilas tienen tres ojos.",FALSE,"left",NA,"form3_labEs_22","labEs","form3",22,"spanish_lab_79"
"163","Hay personas que se bañan con agua fría.",TRUE,"right",NA,"form3_labEs_23","labEs","form3",23,"spanish_lab_47"
"164","Los árboles caminan por el bosque.",FALSE,"left",NA,"form3_aiEs_24","aiEs","form3",24,"spanish_ai_190"
"165","Los elefantes escalan las montañas.",FALSE,"left",NA,"form3_labEs_25","labEs","form3",25,"spanish_lab_71"
"166","Los lectores disfrutan de los libros.",TRUE,"right",NA,"form3_aiEs_26","aiEs","form3",26,"spanish_ai_126"
"167","Las uvas son pequeñas y jugosas.",TRUE,"right",NA,"form3_aiEs_27","aiEs","form3",27,"spanish_ai_106"
"168","Las avispas cargan piedras.",FALSE,"left",NA,"form3_aiHumanEs_28","aiHumanEs","form3",28,"spanish_ai-human_49"
"169","Los gorilas juegan al ajedrez.",FALSE,"left",NA,"form3_aiEs_29","aiEs","form3",29,"spanish_ai_159"
"170","Las hamburguesas son vegetarianas.",FALSE,"left",NA,"form3_aiEs_30","aiEs","form3",30,"spanish_ai_189"
"171","Las luces iluminan la habitación.",TRUE,"right",NA,"form3_aiEs_31","aiEs","form3",31,"spanish_ai_44"
"172","Las motocicletas navegan en el mar.",FALSE,"left",NA,"form3_aiEs_32","aiEs","form3",32,"spanish_ai_90"
"173","Las personas sudan cuando hace mucho calor.",TRUE,"right",NA,"form3_labEs_33","labEs","form3",33,"spanish_lab_115"
"174","Las palabras están formadas por letras.",TRUE,"right",NA,"form3_aiEs_34","aiEs","form3",34,"spanish_ai_39"
"175","Los koalas son expertos en karate.",FALSE,"left",NA,"form3_aiEs_35","aiEs","form3",35,"spanish_ai_197"
"176","El verano es una estación del año.",TRUE,"right",NA,"form3_aiEs_36","aiEs","form3",36,"spanish_ai_154"
"177","Las computadoras bailan al ritmo de la música.",FALSE,"left",NA,"form3_aiEs_37","aiEs","form3",37,"spanish_ai_60"
"178","Las vacaciones escolares duran todo el año.",FALSE,"left",NA,"form3_aiEs_38","aiEs","form3",38,"spanish_ai_62"
"179","Las bicicletas pueden tener canastas.",TRUE,"right",NA,"form3_aiEs_39","aiEs","form3",39,"spanish_ai_113"
"180","Algunos niños saltan la cuerda en el parque.",TRUE,"right",NA,"form3_aiEs_40","aiEs","form3",40,"spanish_ai_153"
"181","Las naranjas son verdes por dentro.",FALSE,"left",NA,"form3_aiHumanEs_41","aiHumanEs","form3",41,"spanish_ai-human_43"
"182","Existen rocas de diferentes formas y tamaños.",TRUE,"right",NA,"form3_labEs_42","labEs","form3",42,"spanish_lab_87"
"183","Los maestros enseñan a los pájaros a cantar.",FALSE,"left",NA,"form3_aiEs_43","aiEs","form3",43,"spanish_ai_165"
"184","Algunas personas mayores utilizan bastón.",TRUE,"right",NA,"form3_labEs_44","labEs","form3",44,"spanish_lab_33"
"185","Los astronautas bailan salsa en el espacio.",FALSE,"left",NA,"form3_aiEs_45","aiEs","form3",45,"spanish_ai_203"
"186","El café se endulza con sal.",FALSE,"left",NA,"form3_labEs_46","labEs","form3",46,"spanish_lab_43"
"187","Las velas dan luz en la oscuridad.",TRUE,"right",NA,"form3_aiHumanEs_47","aiHumanEs","form3",47,"spanish_ai-human_2"
"188","Los caimanes conducen automóviles.",FALSE,"left",NA,"form3_aiHumanEs_48","aiHumanEs","form3",48,"spanish_ai-human_45"
"189","Las abejas recolectan néctar de las flores.",TRUE,"right",NA,"form3_aiEs_49","aiEs","form3",49,"spanish_ai_37"
"190","Los patos van al colegio montados en jirafas.",FALSE,"left",NA,"form3_labEs_50","labEs","form3",50,"spanish_lab_44"
"191","Los ciclistas pedalean en bicicletas.",TRUE,"right",NA,"form3_aiEs_51","aiEs","form3",51,"spanish_ai_119"
"192","Cuando hace calor algunas personas comen helado.",TRUE,"right",NA,"form3_labEs_52","labEs","form3",52,"spanish_lab_27"
"193","Las jirafas tienen manchas de colores verde y rojo.",FALSE,"left",NA,"form3_labEs_53","labEs","form3",53,"spanish_lab_92"
"194","En la noche, la luna ilumina el cielo.",TRUE,"right",NA,"form3_aiEs_54","aiEs","form3",54,"spanish_ai_123"
"195","El aceite solamente se utiliza para freír naranjas.",FALSE,"left",NA,"form3_labEs_55","labEs","form3",55,"spanish_lab_65"
"196","Los tigres son expertos en cocina y preparan banquetes exquisitos.",FALSE,"left",NA,"form3_aiEs_56","aiEs","form3",56,"spanish_ai_88"
"197","Las personas respiran mejor cuando el aire es limpio.",TRUE,"right",NA,"form3_labEs_57","labEs","form3",57,"spanish_lab_111"
"198","Todos los pájaros tienen el mismo tamaño de pico.",FALSE,"left",NA,"form3_labEs_58","labEs","form3",58,"spanish_lab_63"
"199","Los científicos estudian el comportamiento de los unicornios.",FALSE,"left",NA,"form3_aiEs_59","aiEs","form3",59,"spanish_ai_85"
"200","Un jardinero cuida de las plantas en un jardín.",TRUE,"right",NA,"form3_aiEs_60","aiEs","form3",60,"spanish_ai_141"
"201","La nieve cae en lugares en donde hace mucho calor.",FALSE,"left",NA,"form3_labEs_61","labEs","form3",61,"spanish_lab_93"
"202","Los calendarios sirven para recordar fechas importantes.",TRUE,"right",NA,"form3_labEs_62","labEs","form3",62,"spanish_lab_105"
"203","Los trenes viajan al pasado y al futuro en segundos.",FALSE,"left",NA,"form3_aiEs_63","aiEs","form3",63,"spanish_ai_162"
"204","Los músicos crean hermosas melodías con instrumentos diversos.",TRUE,"right",NA,"form3_aiEs_64","aiEs","form3",64,"spanish_ai_29"
"205","El pan es un alimento que se puede comer a diferentes horas del día.",TRUE,"right",NA,"form3_labEs_65","labEs","form3",65,"spanish_lab_104"
"206","Los caracoles son artistas que pintan paisajes en la hierba.",FALSE,"left",NA,"form3_aiHumanEs_66","aiHumanEs","form3",66,"spanish_ai-human_52"
"207","Las morsas construyen iglús en la playa para vivir.",FALSE,"left",NA,"form3_aiHumanEs_67","aiHumanEs","form3",67,"spanish_ai-human_16"
"208","La lluvia cae del cielo regando la tierra y nutriendo las plantas.",TRUE,"right",NA,"form3_aiEs_68","aiEs","form3",68,"spanish_ai_4"
"209","Las ranas pueden saltar.",TRUE,"right",NA,"form3_labEsNew_69","labEsNew","form3",69,NA
"210","Algunos estudiantes viajan en autobús para llegar a la escuela.",TRUE,"right",NA,"form3_labEsNew_70","labEsNew","form3",70,NA
"211","El fuego es caliente.",TRUE,"right",NA,"form4_labEs_1","labEs","form4",1,"spanish_lab_19"
"212","Los tigres usan sombreros.",FALSE,"left",NA,"form4_aiHumanEs_2","aiHumanEs","form4",2,"spanish_ai-human_17"
"213","Los perros tienen cuatro patas.",TRUE,"right",NA,"form4_labEs_3","labEs","form4",3,"spanish_lab_5"
"214","El agua es de color rojo.",FALSE,"left",NA,"form4_labEs_4","labEs","form4",4,"spanish_lab_4"
"215","Los árboles dan sombra.",TRUE,"right",NA,"form4_aiEs_5","aiEs","form4",5,"spanish_ai_149"
"216","Las hormigas escriben poesía.",FALSE,"left",NA,"form4_aiEs_6","aiEs","form4",6,"spanish_ai_81"
"217","La luna brilla en la noche.",TRUE,"right",NA,"form4_aiEs_7","aiEs","form4",7,"spanish_ai_41"
"218","Los científicos hacen experimentos.",TRUE,"right",NA,"form4_aiEs_8","aiEs","form4",8,"spanish_ai_23"
"219","El sol sale cada mañana.",TRUE,"right",NA,"form4_aiEs_9","aiEs","form4",9,"spanish_ai_124"
"220","Los caballos son astronautas.",FALSE,"left",NA,"form4_aiEs_10","aiEs","form4",10,"spanish_ai_100"
