identifier,label,de,en,en-us,es-co,es
components/game-tabs.surveyDescriptionParentPart1,surveyDescriptionParentPart1,"Das Ausfüllen dieser Fragebögen dauert etwa 30-45 Minuten. Teil A enthält Fragen zu Ihrem häuslichen Umfeld und zu Ihrer Person. In Teil B werden Fragen zu Ihrem Kind/ Ihren Kindern gestellt. Anhand des Geburtsdatums, welches im jeweiligen Fragebogen aufgeführt ist, können Sie erkennen, an welches Kind Sie bei der Beantwortung der Fragen denken sollen (falls Sie mehr als ein Kind in dieser Studie haben).",This survey will take approximately 20-30 minutes to complete and will ask questions about your child.,This survey will take approximately 20-30 minutes to complete and will ask questions about your child.,Estimamos que diligenciar la siguiente encuesta le tomará aproximadamente 20-30 minutos y se le harán preguntas sobre su niño(a).,Estimamos que diligenciar la siguiente encuesta le tomará aproximadamente 20-30 minutos y se le harán preguntas sobre su niño(a).
components/game-tabs.surveyDescriptionParentPart2,surveyDescriptionParentPart2,Umfrage für Eltern: Die folgende Umfrage dauert etwa 20-30 Minuten und enthält Fragen Ihrem zu Hause und zu Ihrer Person. ,This survey will take approximately 20-30 minutes to complete and will ask questions about your home and yourself.,This survey will take approximately 20-30 minutes to complete and will ask questions about your home and yourself.,Estimamos que diligenciar la siguiente encuesta le tomará aproximadamente 20-30 minutos y se le harán preguntas sobre su hogar y usted mismo(a).,Estimamos que diligenciar la siguiente encuesta le tomará aproximadamente 20-30 minutos y se le harán preguntas sobre su hogar y usted mismo(a).
components/game-tabs.surveyDescriptionTeacherPart1,surveyDescriptionTeacherPart1,This survey will take approximately 5-10 minutes to complete and asks about your background and beliefs about teaching.,This survey will take approximately 5-10 minutes to complete and asks about your background and beliefs about teaching.,This survey will take approximately 5-10 minutes to complete and asks about your background and beliefs about teaching.,Estimamos que diligenciar la siguiente encuesta le tomará aproximadamente 5-10 minutos. Las preguntas indagan por sus antecedentes y creencias sobre la enseñanza.,Estimamos que diligenciar la siguiente encuesta le tomará aproximadamente 5-10 minutos. Las preguntas indagan por sus antecedentes y creencias sobre la enseñanza.
components/game-tabs.surveyDescriptionTeacherPart2,surveyDescriptionTeacherPart2,This survey will take approximately 5-10 minutes to complete and asks questions about the classroom(s) you teach.,This survey will take approximately 5-10 minutes to complete and asks questions about the classroom(s) you teach.,This survey will take approximately 5-10 minutes to complete and asks questions about the classroom(s) you teach.,Estimamos que diligenciar la siguiente encuesta le tomará aproximadamente 5-10 minutos y se le hará preguntas sobre el salón o los salones en los que imparte.,Estimamos que diligenciar la siguiente encuesta le tomará aproximadamente 5-10 minutos y se le hará preguntas sobre el salón o los salones en los que imparte.
components/game-tabs.surveyNameChild,surveyNameChild,Gedanken & Gefühle,Thoughts and Feelings,Thoughts and Feelings,Pensamientos y Sentimientos,Pensamientos y Sentimientos
components/game-tabs.surveyNameParentPart1,surveyNameParentPart1,Umfrage - Erwachsene,Survey - Caregiver,Survey - Caregiver,Encuesta para cuidadores,Encuesta para cuidadores
components/game-tabs.surveyNameParentPart2,surveyNameParentPart2,Umfrage - Familie,Survey - Family,Survey - Family,Encuesta para cuidadores,Encuesta para cuidadores
components/game-tabs.surveyNameTeacherPart1,surveyNameTeacherPart1,Umfrage - Allgemein,Survey - General,Survey - General,Encuesta de profesores - General,Encuesta de profesores - General
components/game-tabs.surveyNameTeacherPart2,surveyNameTeacherPart2,Umfrage - Klassenzimmer,Survey - Classroom,Survey - Classroom,Encuesta de profesores - Salón,Encuesta de profesores - Salón
components/game-tabs.surveyProgressGeneral,surveyProgressGeneral,Allgemein,General,General,General,General
components/game-tabs.surveyProgressGeneralParent,surveyProgressGeneralParent,zu Hause/ Erwachsener,Home/Caregiver,Home/Caregiver,Familia,Familia
components/game-tabs.surveyProgressGeneralTeacher,surveyProgressGeneralTeacher,Lehrer,Teacher,Teacher,Profesor,Profesor
components/game-tabs.surveyProgressSpecificParent,surveyProgressSpecificParent,Kind,Child,Child,Niño,Niño
components/game-tabs.surveyProgressSpecificParentMonth,surveyProgressSpecificParentMonth,Monat,Month,Month,Mes,Mes
components/game-tabs.surveyProgressSpecificParentYear,surveyProgressSpecificParentYear,Jahr,Year,Year,Año,Año
components/game-tabs.surveyProgressSpecificTeacher,surveyProgressSpecificTeacher,Klassenzimmer,Classroom,Classroom,Aula,Aula
components/game-tabs.taskCompleted,taskCompleted,Aufgabe abgeschlossen!,Task Completed!,Task Completed!,¡Tarea completa!,¡Tarea completada!
components/game-tabs.theoryOfMindDescription,theoryOfMindDescription,Höre dir die Geschichten an und beantworte dann Fragen dazu.,Listen to the stories and answer the questions.,Listen to the stories and answer the questions.,Escucha las historias y responde a las preguntas.,Escucha las historias y responde a las preguntas.
components/game-tabs.theoryOfMindName,theoryOfMindName,Bildergeschichten,Stories,Stories,Historias,Historias
components/game-tabs.trogDescription,trogDescription,Hör dir die Wörter an und wähle das passende Bild dazu aus.,Listen to the words and choose the matching picture.,Listen to the words and choose the matching picture.,Escucha las palabras y elige la imagen correspondiente.,Escucha las palabras y elige la imagen correspondiente.
components/game-tabs.trogName,trogName,Satzverstehen,Sentence Undersanding,Sentence Undersanding,Comprensión de Frases,Comprensión de Frases
components/game-tabs.vocabDescription,vocabDescription,Hör dir die Wörter an und wähle das passende Bild dazu aus.,Listen to the word and choose the matching picture.,Listen to the word and choose the matching picture.,Escucha la palabra y elige la imagen correspondiente.,Escucha la palabra y elige la imagen correspondiente.
components/game-tabs.vocabName,vocabName,Vokabeln,Vocabulary,Vocabulary,Vocabulario,Vocabulario
components/navbar.greeting,greeting,,Hi,Hi,¡Hola,¡Hola
components/navbar.signOut,signOut,Abmelden,Sign Out,Sign Out,Salir,Salir
components/participant-sidebar.grade,grade,Klasse,Grade,Grade,Grado,Calificación
components/participant-sidebar.studentInfo,studentInfo,Schülerinformationen,Participant Info,Participant Info,Información del estudiante,Información del nina
components/participant-sidebar.tasksCompleted,tasksCompleted,Aufgaben abgeschlossen!,tasks completed!,tasks completed!,¡tareas completadas!,¡tareas completadas!
components/sentry-form.buttonLabel,buttonLabel,Ein Problem melden,Report an Issue,Report an Issue,Reportar un problema,Reportar un problema
components/sentry-form.cancelButtonLabel,cancelButtonLabel,Abbrechen,Cancel,Cancel,Cancelar,Cancelar
components/sentry-form.emailPlaceholder,emailPlaceholder,ihre.email@beispiel.org (optional),your.email@example.org (optional),your.email@example.org (optional),tu.email@example.org (opcional),tu.email@example.org (opcional)
components/sentry-form.formTitle,formTitle,Ein Problem bei LEVANTE melden,Report an Issue to LEVANTE,Report an Issue to LEVANTE,Reportar un problema a LEVANTE,Reportar un problema a LEVANTE
components/sentry-form.messageLabel,messageLabel,Beschreibung,Description,Description,Descripción,Descripción
components/sentry-form.messagePlaceholder,messagePlaceholder,Was ist das Problem? Was wollten Sie stattdessen erleben? Vielen Dank für Ihr Feedback.,What is the issue? What did you want to experience instead? Thank you for sharing.,What is the issue? What did you want to experience instead? Thank you for sharing.,¿Cuál es el problema? ¿Qué querías experimentar en su lugar? Gracias por compartir.,¿Cuál es el problema? ¿Qué querías experimentar en su lugar? Gracias por compartir.
components/sentry-form.namePlaceholder,namePlaceholder,Ihr Name (optional),Your Name (optional),Your Name (optional),Tu nombre (opcional),Tu nombre (opcional)
components/sentry-form.submitButtonLabel,submitButtonLabel,Problembericht einreichen,Submit Issue Report,Submit Issue Report,Enviar informe de problema,Enviar informe de problema
components/tasks.loading,loading,Laden,loading,loading,cargando,cargando
components/tasks.preparing,preparing,Gleich geht das Spiel los!,Preparing your game!,Preparing your game!,¡Preparando tu juego!,¡Preparando tu juego!
