"","word","a","b","c","d","corpusId","realpseudo"
"138","long",1,-1.8875,0.5,1,"B","real"
"139","look",1,-2.0918,0.5,1,"C","real"
"140","losh",1,-0.9214,0.5,1,"A","pseudo"
"141","lunch",1,-2.0647,0.5,1,"A","real"
"142","mader",1,0.9322,0.5,1,"B","pseudo"
"143","mannanency",1,0.5776,0.5,1,"B","pseudo"
"144","mich",1,-0.5011,0.5,1,"B","pseudo"
"145","miss",1,-2.0167,0.5,1,"A","real"
"146","molent",1,-0.2784,0.5,1,"C","pseudo"
"147","money",1,-2.0846,0.5,1,"C","real"
"148","moon",1,-1.942,0.5,1,"B","real"
"149","more",1,-1.858,0.5,1,"C","real"
"150","morning",1,-1.9246,0.5,1,"C","real"
"151","mout",1,-0.4225,0.5,1,"B","pseudo"
"152","mun",1,-1.2363,0.5,1,"B","pseudo"
"153","mystery",1,-1.5281,0.5,1,"A","real"
"154","name",1,-2.0174,0.5,1,"C","real"
"155","natural",1,-1.4847,0.5,1,"B","real"
"156","naw",1,0.3072,0.5,1,"C","pseudo"
"157","nied",1,-1.1978,0.5,1,"A","pseudo"
"158","night",1,-2.0849,0.5,1,"A","real"
"159","nop",1,-0.9974,0.5,1,"A","pseudo"
"160","nuf",1,-1.8266,0.5,1,"B","pseudo"
"161","nulch",1,-1.5537,0.5,1,"A","pseudo"
"162","number",1,-2.1833,0.5,1,"B","real"
"163","oban",1,-1.3865,0.5,1,"C","pseudo"
"164","om",1,-1.778,0.5,1,"A","pseudo"
"165","once",1,-1.5894,0.5,1,"A","real"
"166","open",1,-1.9263,0.5,1,"C","real"
"167","orn",1,-1.6282,0.5,1,"C","pseudo"
"168","ot",1,-1.8419,0.5,1,"B","pseudo"
"169","overwhelm",1,0.9835,0.5,1,"C","real"
"170","pame",1,-0.4581,0.5,1,"C","pseudo"
"171","peace",1,-1.6576,0.5,1,"B","real"
"172","pealt",1,-0.1161,0.5,1,"C","pseudo"
"173","pencil",1,-1.8609,0.5,1,"B","real"
"174","people",1,-2.2787,0.5,1,"C","real"
"175","phlere",1,-1.575,0.5,1,"C","pseudo"
"176","pickle",1,-1.4855,0.5,1,"A","real"
"177","plane",1,-1.7337,0.5,1,"B","real"
"178","play",1,-2.7276,0.5,1,"A","real"
"179","plays",1,-2.0827,0.5,1,"B","real"
"180","pledge",1,0.612,0.5,1,"B","real"
"181","pretty",1,-1.8349,0.5,1,"C","real"
"182","purchase",1,-0.7395,0.5,1,"A","real"
"183","qualify",1,0.181,0.5,1,"C","real"
"184","question",1,-1.6115,0.5,1,"C","real"
"185","rebosks",1,-1.379,0.5,1,"C","pseudo"
"186","resolve",1,-0.4545,0.5,1,"A","real"
"187","reverse",1,-0.9278,0.5,1,"A","real"
"188","roder",1,0.3532,0.5,1,"B","pseudo"
"189","round",1,-1.8996,0.5,1,"C","real"
"190","runey",1,-0.7783,0.5,1,"C","pseudo"
"191","sain",1,0.5231,0.5,1,"B","pseudo"
"192","scays",1,-0.3459,0.5,1,"C","pseudo"
"193","shine",1,-1.0637,0.5,1,"A","real"
"194","shink",1,2.8345,0.5,1,"B","pseudo"
"195","short",1,-1.7368,0.5,1,"C","real"
"196","shring",1,0.9304,0.5,1,"B","pseudo"
"197","sick",1,-1.6754,0.5,1,"C","real"
"198","sids",1,-0.1285,0.5,1,"B","pseudo"
"199","sint",1,-0.6454,0.5,1,"A","pseudo"
"200","sit",1,-1.4368,0.5,1,"A","real"
"201","slace",1,0.2242,0.5,1,"C","pseudo"
"202","slellen",1,-0.9762,0.5,1,"A","pseudo"
"203","snose",1,0.5565,0.5,1,"C","pseudo"
"204","speveal",1,-0.2908,0.5,1,"B","pseudo"
"205","spu",1,-1.7924,0.5,1,"B","pseudo"
"206","spy",1,-0.774,0.5,1,"C","real"
"207","stenil",1,-0.7614,0.5,1,"A","pseudo"
"208","street",1,-1.8484,0.5,1,"B","real"
"209","strosh",1,-0.566,0.5,1,"A","pseudo"
"210","sudsage",1,-0.6938,0.5,1,"A","pseudo"
"211","sun",1,-1.8792,0.5,1,"A","real"
"212","swane",1,0.1993,0.5,1,"C","pseudo"
"213","teacher",1,-2.3032,0.5,1,"B","real"
"214","telechinct",1,0.5864,0.5,1,"A","pseudo"
"215","telescoped",1,1.6238,0.5,1,"A","real"
"216","testify",1,1.3181,0.5,1,"A","real"
"217","tfaer",1,-1.6447,0.5,1,"A","pseudo"
"218","them",1,-1.9434,0.5,1,"A","real"
"219","throomba",1,-1.4765,0.5,1,"B","pseudo"
"220","through",1,-1.8653,0.5,1,"C","real"
"221","time",1,-1.8484,0.5,1,"B","real"
"222","tis",1,-1.0718,0.5,1,"A","pseudo"
"223","toy",1,-1.2876,0.5,1,"B","real"
"224","tried",1,-1.9422,0.5,1,"B","real"
"225","trood",1,-0.3277,0.5,1,"A","pseudo"
"226","truck",1,-1.7377,0.5,1,"B","real"
"227","trull",1,0.1024,0.5,1,"A","pseudo"
"228","twew",1,-1.599,0.5,1,"C","pseudo"
"229","ujst",1,-1.6758,0.5,1,"A","pseudo"
"230","understand",1,-1.992,0.5,1,"B","real"
"231","unger",1,-1.0659,0.5,1,"B","pseudo"
"232","uoy",1,-2.0415,0.5,1,"A","pseudo"
"233","utashing",1,-1.4071,0.5,1,"C","pseudo"
"234","wared",1,1.7691,0.5,1,"A","pseudo"
"235","wase",1,0.7861,0.5,1,"B","pseudo"
"236","watch",1,-1.9386,0.5,1,"C","real"
"237","waves",1,-1.4909,0.5,1,"A","real"
"238","we",1,-1.6286,0.5,1,"A","real"
"239","went",1,-1.458,0.5,1,"B","real"
"240","whose",1,-0.0099,0.5,1,"A","real"
"241","will",1,-2.1911,0.5,1,"A","real"
"242","without",1,-1.7468,0.5,1,"A","real"
"243","woft",1,-0.0576,0.5,1,"C","pseudo"
"244","wood",1,-1.8875,0.5,1,"B","real"
"245","yos",1,-1.795,0.5,1,"B","pseudo"
"246","ypla",1,-2.2222,0.5,1,"B","pseudo"
