word,realpseudo,a,b,c,d,corpusId
Opadreme,pseudo,1,0,0.5,1,german-random
Esprofautin,pseudo,1,0,0.5,1,german-random
Obse,pseudo,1,0,0.5,1,german-core
Huti,pseudo,1,0,0.5,1,german-random
bönken,pseudo,1,0,0.5,1,german-core
Baht,pseudo,1,0,0.5,1,german-random
Kawafe,pseudo,1,0,0.5,1,german-random
Bür,pseudo,1,0,0.5,1,german-random
rastens,pseudo,1,0,0.5,1,german-random
Maum,pseudo,1,0,0.5,1,german-random
beaunbummmern,pseudo,1,0,0.5,1,german-random
Zein,pseudo,1,0,0.5,1,german-random
veouockten,pseudo,1,0,0.5,1,german-random
Belm,pseudo,1,0,0.5,1,german-random
Bipliotrof,pseudo,1,0,0.5,1,german-random
Waune,pseudo,1,0,0.5,1,german-random
Ampne,pseudo,1,0,0.5,1,german-random
Grot,pseudo,1,0,0.5,1,german-random
Dräkke,pseudo,1,0,0.5,1,german-random
Puffplame,pseudo,1,0,0.5,1,german-random
mutse,pseudo,1,0,0.5,1,german-random
Danchschitzgahrt,pseudo,1,0,0.5,1,german-random
Wonahaarier,pseudo,1,0,0.5,1,german-random
Grochen,pseudo,1,0,0.5,1,german-random
vulken,pseudo,1,0,0.5,1,german-core
dühl,pseudo,1,0,0.5,1,german-random
Nis,pseudo,1,0,0.5,1,german-random
etbig,pseudo,1,0,0.5,1,german-core
Elehähn,pseudo,1,0,0.5,1,german-random
enttirken,pseudo,1,0,0.5,1,german-core
entkokkens,pseudo,1,0,0.5,1,german-random
Puse,pseudo,1,0,0.5,1,german-random
echts,pseudo,1,0,0.5,1,german-random
elgen,pseudo,1,0,0.5,1,german-random
Adge,pseudo,1,0,0.5,1,german-random
idmelifendieren,pseudo,1,0,0.5,1,german-random
Pantalau,pseudo,1,0,0.5,1,german-random
Larze,pseudo,1,0,0.5,1,german-random
Nohnseher,pseudo,1,0,0.5,1,german-random
Feuersamm,pseudo,1,0,0.5,1,german-random
mingen,pseudo,1,0,0.5,1,german-random
Firrt,pseudo,1,0,0.5,1,german-random
Plosche,pseudo,1,0,0.5,1,german-core
Rundzemd,pseudo,1,0,0.5,1,german-random
finschen,pseudo,1,0,0.5,1,german-random
Plau,pseudo,1,0,0.5,1,german-random
frie,pseudo,1,0,0.5,1,german-random
Frelzs,pseudo,1,0,0.5,1,german-random
Frohlt,pseudo,1,0,0.5,1,german-random
lählen,pseudo,1,0,0.5,1,german-core
fer,pseudo,1,0,0.5,1,german-core
Dorten,pseudo,1,0,0.5,1,german-core
Geheithas,pseudo,1,0,0.5,1,german-core
gekiog,pseudo,1,0,0.5,1,german-random
Feschrondigseit,pseudo,1,0,0.5,1,german-random
Kirürfe,pseudo,1,0,0.5,1,german-random
Fibahre,pseudo,1,0,0.5,1,german-random
zwitzelnd,pseudo,1,0,0.5,1,german-core
glammlich,pseudo,1,0,0.5,1,german-random
Gormbisch,pseudo,1,0,0.5,1,german-random
Klas,pseudo,1,0,0.5,1,german-random
A_bnistieked,pseudo,1,0,0.5,1,german-core
Haat,pseudo,1,0,0.5,1,german-random
Rai,pseudo,1,0,0.5,1,german-core
Halz,pseudo,1,0,0.5,1,german-random
Hies,pseudo,1,0,0.5,1,german-random
wilfen,pseudo,1,0,0.5,1,german-core
hent,pseudo,1,0,0.5,1,german-random
hirtwörig,pseudo,1,0,0.5,1,german-random
Hepp,pseudo,1,0,0.5,1,german-core
Temmel,pseudo,1,0,0.5,1,german-random
rintes,pseudo,1,0,0.5,1,german-random
Bof,pseudo,1,0,0.5,1,german-random
würen,pseudo,1,0,0.5,1,german-random
putsert,pseudo,1,0,0.5,1,german-random
Tirde,pseudo,1,0,0.5,1,german-random
ibt,pseudo,1,0,0.5,1,german-random
Fudel,pseudo,1,0,0.5,1,german-core
Dacht,pseudo,1,0,0.5,1,german-random
Jopannitpaare,pseudo,1,0,0.5,1,german-random
Wifer,pseudo,1,0,0.5,1,german-random
zalt,pseudo,1,0,0.5,1,german-random
Lanero,pseudo,1,0,0.5,1,german-random
Lawanchen,pseudo,1,0,0.5,1,german-random
kald,pseudo,1,0,0.5,1,german-random
Vicherallne,pseudo,1,0,0.5,1,german-random
Kink,pseudo,1,0,0.5,1,german-random
Graxier,pseudo,1,0,0.5,1,german-random
Twee,pseudo,1,0,0.5,1,german-core
brein,pseudo,1,0,0.5,1,german-random
krattern,pseudo,1,0,0.5,1,german-random
wichen,pseudo,1,0,0.5,1,german-core
hondufiwieren,pseudo,1,0,0.5,1,german-random
narwundieren,pseudo,1,0,0.5,1,german-random
tontamplas,pseudo,1,0,0.5,1,german-random
Kartinell,pseudo,1,0,0.5,1,german-random
hüacenieren,pseudo,1,0,0.5,1,german-random
Kohr,pseudo,1,0,0.5,1,german-random
Brabne,pseudo,1,0,0.5,1,german-random
Kranfensies,pseudo,1,0,0.5,1,german-random
fleatol,pseudo,1,0,0.5,1,german-random
Skikonil,pseudo,1,0,0.5,1,german-core
Musten,pseudo,1,0,0.5,1,german-random
Galyrillt,pseudo,1,0,0.5,1,german-random
vasten,pseudo,1,0,0.5,1,german-random
langmondschaftlich,pseudo,1,0,0.5,1,german-random
latzbam,pseudo,1,0,0.5,1,german-core
fiefen,pseudo,1,0,0.5,1,german-random
rikker,pseudo,1,0,0.5,1,german-random
Lagwerin,pseudo,1,0,0.5,1,german-random
rerzen,pseudo,1,0,0.5,1,german-random
Leitlingspeschyltiburt,pseudo,1,0,0.5,1,german-random
Tüwe,pseudo,1,0,0.5,1,german-random
unstag,pseudo,1,0,0.5,1,german-random
fagingt,pseudo,1,0,0.5,1,german-random
bagen,pseudo,1,0,0.5,1,german-random
Taus,pseudo,1,0,0.5,1,german-random
Tebivin,pseudo,1,0,0.5,1,german-random
Mikrofrah,pseudo,1,0,0.5,1,german-random
Mirft,pseudo,1,0,0.5,1,german-random
Hokat,pseudo,1,0,0.5,1,german-random
Moms,pseudo,1,0,0.5,1,german-random
Mend,pseudo,1,0,0.5,1,german-random
surideiren,pseudo,1,0,0.5,1,german-random
Cacht,pseudo,1,0,0.5,1,german-random
Dade,pseudo,1,0,0.5,1,german-core
demen,pseudo,1,0,0.5,1,german-random
geu,pseudo,1,0,0.5,1,german-random
meuzeirig,pseudo,1,0,0.5,1,german-core
ofbohl,pseudo,1,0,0.5,1,german-core
Ethbange,pseudo,1,0,0.5,1,german-random
Nuspestem,pseudo,1,0,0.5,1,german-random
Galost,pseudo,1,0,0.5,1,german-random
Fazagie,pseudo,1,0,0.5,1,german-random
Ninkel,pseudo,1,0,0.5,1,german-core
Pfahelorius,pseudo,1,0,0.5,1,german-random
proklüngieren,pseudo,1,0,0.5,1,german-random
Wälsel,pseudo,1,0,0.5,1,german-random
Febenvögen,pseudo,1,0,0.5,1,german-core
lauchen,pseudo,1,0,0.5,1,german-random
liegig,pseudo,1,0,0.5,1,german-random
Hatter,pseudo,1,0,0.5,1,german-random
Lisoter,pseudo,1,0,0.5,1,german-random
Moge,pseudo,1,0,0.5,1,german-random
Sals,pseudo,1,0,0.5,1,german-random
Schay,pseudo,1,0,0.5,1,german-random
stretten,pseudo,1,0,0.5,1,german-core
Schirn,pseudo,1,0,0.5,1,german-random
Schinnspöte,pseudo,1,0,0.5,1,german-random
schellelnd,pseudo,1,0,0.5,1,german-random
schnaden,pseudo,1,0,0.5,1,german-random
Schnieke,pseudo,1,0,0.5,1,german-random
schlegst,pseudo,1,0,0.5,1,german-random
Schmässel,pseudo,1,0,0.5,1,german-core
schwikken,pseudo,1,0,0.5,1,german-random
Schrätterlilm,pseudo,1,0,0.5,1,german-random
Schneedräkke,pseudo,1,0,0.5,1,german-random
schneht,pseudo,1,0,0.5,1,german-random
schen,pseudo,1,0,0.5,1,german-random
schweimen,pseudo,1,0,0.5,1,german-random
Pulsge,pseudo,1,0,0.5,1,german-random
schwiffen,pseudo,1,0,0.5,1,german-random
Jee,pseudo,1,0,0.5,1,german-random
repen,pseudo,1,0,0.5,1,german-random
rinken,pseudo,1,0,0.5,1,german-random
Warhenrupne,pseudo,1,0,0.5,1,german-random
Karhenmystel,pseudo,1,0,0.5,1,german-random
spoltalulör,pseudo,1,0,0.5,1,german-random
Frielzerl,pseudo,1,0,0.5,1,german-random
Trinze,pseudo,1,0,0.5,1,german-random
stresten,pseudo,1,0,0.5,1,german-random
chrinken,pseudo,1,0,0.5,1,german-random
Trein,pseudo,1,0,0.5,1,german-random
Steib,pseudo,1,0,0.5,1,german-random
Strank,pseudo,1,0,0.5,1,german-random
amsten,pseudo,1,0,0.5,1,german-random
Umpesmappt,pseudo,1,0,0.5,1,german-random
Taf,pseudo,1,0,0.5,1,german-core
hannen,pseudo,1,0,0.5,1,german-random
meigen,pseudo,1,0,0.5,1,german-random
Melehön,pseudo,1,0,0.5,1,german-random
Telefrah,pseudo,1,0,0.5,1,german-random
Mier,pseudo,1,0,0.5,1,german-random
Siser,pseudo,1,0,0.5,1,german-random
Tinds,pseudo,1,0,0.5,1,german-random
Troswolin,pseudo,1,0,0.5,1,german-core
kraudig,pseudo,1,0,0.5,1,german-random
spingen,pseudo,1,0,0.5,1,german-random
Grappete,pseudo,1,0,0.5,1,german-random
Pufze,pseudo,1,0,0.5,1,german-random
äbes,pseudo,1,0,0.5,1,german-random
ogernaschegt,pseudo,1,0,0.5,1,german-core
Inipentur,pseudo,1,0,0.5,1,german-random
Nerkelz,pseudo,1,0,0.5,1,german-random
vertrarken,pseudo,1,0,0.5,1,german-core
Düotene,pseudo,1,0,0.5,1,german-random
Dosel,pseudo,1,0,0.5,1,german-random
vos,pseudo,1,0,0.5,1,german-random
Achkon,pseudo,1,0,0.5,1,german-random
Pal,pseudo,1,0,0.5,1,german-core
Wafs,pseudo,1,0,0.5,1,german-random
wahm,pseudo,1,0,0.5,1,german-random
Rosser,pseudo,1,0,0.5,1,german-random
weu,pseudo,1,0,0.5,1,german-random
leifen,pseudo,1,0,0.5,1,german-random
Wirs,pseudo,1,0,0.5,1,german-random
hinhig,pseudo,1,0,0.5,1,german-random
Ressenschant,pseudo,1,0,0.5,1,german-random
Giche,pseudo,1,0,0.5,1,german-random
Sühnung,pseudo,1,0,0.5,1,german-random
Folf,pseudo,1,0,0.5,1,german-random
Wäuhenpfatzer,pseudo,1,0,0.5,1,german-random
nudbernar,pseudo,1,0,0.5,1,german-random
Dahl,pseudo,1,0,0.5,1,german-random
Zappasts,pseudo,1,0,0.5,1,german-random
Pauberstid,pseudo,1,0,0.5,1,german-random
teichmen,pseudo,1,0,0.5,1,german-random
keisen,pseudo,1,0,0.5,1,german-random
Zimbus,pseudo,1,0,0.5,1,german-random
Punse,pseudo,1,0,0.5,1,german-random
gnäschen,pseudo,1,0,0.5,1,german-core
