"","word","a","b","c","d","corpusId","realpseudo"
"67","gorl",1,-1.8638,0.5,1,"en-validated-v4-infinite","pseudo"
"68","gove",1,0.5019,0.5,1,"en-validated-v4-infinite","pseudo"
"69","gpxz",1,-4,0.5,1,"en-validated-v4-infinite","pseudo"
"70","grob",1,-1.0927,0.5,1,"en-validated-v4-infinite","pseudo"
"71","grow",1,-2.4513,0.5,1,"en-validated-v4-infinite","real"
"72","habs",1,-1.2345,0.5,1,"en-validated-v4-infinite","pseudo"
"73","hacs",1,-2.0636,0.5,1,"en-validated-v4-infinite","pseudo"
"74","haid",1,0.1209,0.5,1,"en-validated-v4-infinite","pseudo"
"75","hair",1,-2.2017,0.5,1,"en-validated-v4-infinite","real"
"76","happy",1,-3.3242,0.5,1,"en-validated-v4-infinite","real"
"77","hat",1,-2.2697,0.5,1,"en-validated-v4-infinite","real"
"78","head",1,-2.283,0.5,1,"en-validated-v4-infinite","real"
"79","hean",1,-0.0804,0.5,1,"en-validated-v4-infinite","pseudo"
"80","hear",1,-2.5401,0.5,1,"en-validated-v4-infinite","real"
"81","hig",1,-0.7403,0.5,1,"en-validated-v4-infinite","pseudo"
"82","high",1,-2.1773,0.5,1,"en-validated-v4-infinite","real"
"83","hisk",1,1.5532,0.5,1,"en-validated-v4-infinite","pseudo"
"84","hode",1,-1.0043,0.5,1,"en-validated-v4-infinite","pseudo"
"85","home",1,-3.1811,0.5,1,"en-validated-v4-infinite","real"
"86","hos",1,-1.9802,0.5,1,"en-validated-v4-infinite","pseudo"
"87","house",1,-2.8602,0.5,1,"en-validated-v4-infinite","real"
"88","hrvqx",1,-4,0.5,1,"en-validated-v4-infinite","pseudo"
"89","hure",1,-0.5745,0.5,1,"en-validated-v4-infinite","pseudo"
"90","jtqzd",1,-4,0.5,1,"en-validated-v4-infinite","pseudo"
"91","jvz",1,-4,0.5,1,"en-validated-v4-infinite","pseudo"
"92","keep",1,-3.091,0.5,1,"en-validated-v4-infinite","real"
"93","kids",1,-3.2554,0.5,1,"en-validated-v4-infinite","real"
"94","know",1,-2.7616,0.5,1,"en-validated-v4-infinite","real"
"95","lall",1,-1.4691,0.5,1,"en-validated-v4-infinite","pseudo"
"96","last",1,-2.5247,0.5,1,"en-validated-v4-infinite","real"
"97","len",1,-0.6111,0.5,1,"en-validated-v4-infinite","pseudo"
"98","let",1,-1.8038,0.5,1,"en-validated-v4-infinite","real"
"99","lidge",1,0.2503,0.5,1,"en-validated-v4-infinite","pseudo"
"100","like",1,-2.998,0.5,1,"en-validated-v4-infinite","real"
"101","little",1,-2.5356,0.5,1,"en-validated-v4-infinite","real"
"102","lond",1,0.2352,0.5,1,"en-validated-v4-infinite","pseudo"
"103","lqc",1,-4,0.5,1,"en-validated-v4-infinite","pseudo"
"104","magse",1,-1.0307,0.5,1,"en-validated-v4-infinite","pseudo"
"105","many",1,-2.8078,0.5,1,"en-validated-v4-infinite","real"
"106","mear",1,0.7921,0.5,1,"en-validated-v4-infinite","pseudo"
"107","mouse",1,-1.9788,0.5,1,"en-validated-v4-infinite","real"
"108","much",1,-2.4133,0.5,1,"en-validated-v4-infinite","real"
"109","mume",1,-1.6317,0.5,1,"en-validated-v4-infinite","pseudo"
"110","mut",1,1.3738,0.5,1,"en-validated-v4-infinite","pseudo"
"111","muth",1,-1.3344,0.5,1,"en-validated-v4-infinite","pseudo"
"112","nead",1,2.3136,0.5,1,"en-validated-v4-infinite","pseudo"
"113","next",1,-2.5787,0.5,1,"en-validated-v4-infinite","real"
"114","nice",1,-2.4901,0.5,1,"en-validated-v4-infinite","real"
"115","nkh",1,-4,0.5,1,"en-validated-v4-infinite","pseudo"
"116","nomp",1,-2.1651,0.5,1,"en-validated-v4-infinite","pseudo"
"117","nond",1,-1.7545,0.5,1,"en-validated-v4-infinite","pseudo"
"118","nose",1,-1.7545,0.5,1,"en-validated-v4-infinite","real"
"119","not",1,-2.2696,0.5,1,"en-validated-v4-infinite","real"
"120","nqwd",1,-4,0.5,1,"en-validated-v4-infinite","pseudo"
"121","nqwdp",1,-4,0.5,1,"en-validated-v4-infinite","pseudo"
"122","odge",1,-1.5517,0.5,1,"en-validated-v4-infinite","pseudo"
"123","off",1,-2.5419,0.5,1,"en-validated-v4-infinite","real"
"124","ome",1,-2.4136,0.5,1,"en-validated-v4-infinite","pseudo"
"125","one",1,-3.2818,0.5,1,"en-validated-v4-infinite","real"
"126","ork",1,-1.5631,0.5,1,"en-validated-v4-infinite","pseudo"
"127","orks",1,-1.5756,0.5,1,"en-validated-v4-infinite","pseudo"
"128","our",1,-2.1203,0.5,1,"en-validated-v4-infinite","real"
"129","out",1,-2.3343,0.5,1,"en-validated-v4-infinite","real"
"130","oys",1,-2.9022,0.5,1,"en-validated-v4-infinite","pseudo"
"131","pekste",1,-2.1492,0.5,1,"en-validated-v4-infinite","pseudo"
"132","pgv",1,-4,0.5,1,"en-validated-v4-infinite","pseudo"
"133","pig",1,-3.0556,0.5,1,"en-validated-v4-infinite","real"
"134","plape",1,-1.1198,0.5,1,"en-validated-v4-infinite","pseudo"
"135","promy",1,-0.5543,0.5,1,"en-validated-v4-infinite","pseudo"
"136","ptxvg",1,-4,0.5,1,"en-validated-v4-infinite","pseudo"
"137","pzmt",1,-4,0.5,1,"en-validated-v4-infinite","pseudo"
"138","qbwzt",1,-4,0.5,1,"en-validated-v4-infinite","pseudo"
"139","qhb",1,-4,0.5,1,"en-validated-v4-infinite","pseudo"
"140","qvht",1,-4,0.5,1,"en-validated-v4-infinite","pseudo"
"141","rabbit",1,-2.1108,0.5,1,"en-validated-v4-infinite","real"
"142","read",1,-2.8586,0.5,1,"en-validated-v4-infinite","real"
"143","right",1,-2.615,0.5,1,"en-validated-v4-infinite","real"
"144","rirms",1,-1.732,0.5,1,"en-validated-v4-infinite","pseudo"
"145","rjxq",1,-4,0.5,1,"en-validated-v4-infinite","pseudo"
"146","room",1,-2.7511,0.5,1,"en-validated-v4-infinite","real"
"147","rup",1,-0.9169,0.5,1,"en-validated-v4-infinite","pseudo"
"148","sad",1,-2.0914,0.5,1,"en-validated-v4-infinite","real"
"149","say",1,-2.5379,0.5,1,"en-validated-v4-infinite","real"
"150","scay",1,-0.8091,0.5,1,"en-validated-v4-infinite","pseudo"
"151","school",1,-2.8781,0.5,1,"en-validated-v4-infinite","real"
"152","scom",1,-1.551,0.5,1,"en-validated-v4-infinite","pseudo"
"153","side",1,-2.4701,0.5,1,"en-validated-v4-infinite","real"
"154","sime",1,0.0441,0.5,1,"en-validated-v4-infinite","pseudo"
"155","sirning",1,0.0254,0.5,1,"en-validated-v4-infinite","pseudo"
"156","sither",1,0.9246,0.5,1,"en-validated-v4-infinite","pseudo"
"157","ska",1,-2.6045,0.5,1,"en-validated-v4-infinite","pseudo"
"158","ske",1,-1.703,0.5,1,"en-validated-v4-infinite","pseudo"
"159","sku",1,-2.8109,0.5,1,"en-validated-v4-infinite","pseudo"
"160","sky",1,-2.4715,0.5,1,"en-validated-v4-infinite","real"
"161","sleep",1,-2.7042,0.5,1,"en-validated-v4-infinite","real"
"162","small",1,-2.7339,0.5,1,"en-validated-v4-infinite","real"
"163","smile",1,-2.6513,0.5,1,"en-validated-v4-infinite","real"
"164","sning",1,-0.904,0.5,1,"en-validated-v4-infinite","pseudo"
"165","snink",1,0.4526,0.5,1,"en-validated-v4-infinite","pseudo"
"166","snis",1,-2.4167,0.5,1,"en-validated-v4-infinite","pseudo"
"167","snom",1,-1.6086,0.5,1,"en-validated-v4-infinite","pseudo"
"168","snow",1,-2.2885,0.5,1,"en-validated-v4-infinite","real"
"169","soicore",1,-1.0112,0.5,1,"en-validated-v4-infinite","pseudo"
"170","soleore",1,-1.0649,0.5,1,"en-validated-v4-infinite","pseudo"
"171","someone",1,-2.2376,0.5,1,"en-validated-v4-infinite","real"
"172","soon",1,-2.0486,0.5,1,"en-validated-v4-infinite","real"
"173","soop",1,0.7686,0.5,1,"en-validated-v4-infinite","pseudo"
"174","sorgore",1,-1.194,0.5,1,"en-validated-v4-infinite","pseudo"
"175","sound",1,-2.7145,0.5,1,"en-validated-v4-infinite","real"
"176","spow",1,-0.7205,0.5,1,"en-validated-v4-infinite","pseudo"
"177","stup",1,-0.787,0.5,1,"en-validated-v4-infinite","pseudo"
"178","sune",1,-0.572,0.5,1,"en-validated-v4-infinite","pseudo"
"179","sure",1,-2.6758,0.5,1,"en-validated-v4-infinite","real"
"180","sweet",1,-2.6891,0.5,1,"en-validated-v4-infinite","real"
"181","tafrer",1,-2.4564,0.5,1,"en-validated-v4-infinite","pseudo"
"182","tagner",1,-0.3545,0.5,1,"en-validated-v4-infinite","pseudo"
"183","tbq",1,-4,0.5,1,"en-validated-v4-infinite","pseudo"
"184","tell",1,-2.6595,0.5,1,"en-validated-v4-infinite","real"
"185","tep",1,-1.5217,0.5,1,"en-validated-v4-infinite","pseudo"
"186","thing",1,-2.5823,0.5,1,"en-validated-v4-infinite","real"
"187","this",1,-2.6523,0.5,1,"en-validated-v4-infinite","real"
"188","thist",1,0.0988,0.5,1,"en-validated-v4-infinite","pseudo"
"189","throu",1,-0.9031,0.5,1,"en-validated-v4-infinite","pseudo"
"190","today",1,-3.4293,0.5,1,"en-validated-v4-infinite","real"
"191","top",1,-2.2908,0.5,1,"en-validated-v4-infinite","real"
"192","tre",1,-2.2095,0.5,1,"en-validated-v4-infinite","pseudo"
"193","tree",1,-2.6409,0.5,1,"en-validated-v4-infinite","real"
"194","try",1,-2.435,0.5,1,"en-validated-v4-infinite","real"
"195","ture",1,1.0898,0.5,1,"en-validated-v4-infinite","pseudo"
"196","twe",1,-1.9372,0.5,1,"en-validated-v4-infinite","pseudo"
"197","unt",1,-2.1231,0.5,1,"en-validated-v4-infinite","pseudo"
"198","use",1,-2.0468,0.5,1,"en-validated-v4-infinite","real"
"199","very",1,-2.369,0.5,1,"en-validated-v4-infinite","real"
"200","vity",1,-1.4742,0.5,1,"en-validated-v4-infinite","pseudo"
"201","vldqh",1,-4,0.5,1,"en-validated-v4-infinite","pseudo"
"202","vlqc",1,-4,0.5,1,"en-validated-v4-infinite","pseudo"
"203","wait",1,-2.1292,0.5,1,"en-validated-v4-infinite","real"
"204","walk",1,-2.8768,0.5,1,"en-validated-v4-infinite","real"
"205","warl",1,-1.6021,0.5,1,"en-validated-v4-infinite","pseudo"
"206","warm",1,-2.345,0.5,1,"en-validated-v4-infinite","real"
"207","water",1,-2.9497,0.5,1,"en-validated-v4-infinite","real"
"208","what",1,-2.9514,0.5,1,"en-validated-v4-infinite","real"
"209","whe",1,-0.9477,0.5,1,"en-validated-v4-infinite","pseudo"
"210","whem",1,-0.1443,0.5,1,"en-validated-v4-infinite","pseudo"
"211","when",1,-3.2897,0.5,1,"en-validated-v4-infinite","real"
"212","where",1,-2.6777,0.5,1,"en-validated-v4-infinite","real"
"213","who",1,-2.5268,0.5,1,"en-validated-v4-infinite","real"
"214","wibs",1,-1.1339,0.5,1,"en-validated-v4-infinite","pseudo"
"215","wish",1,-2.6242,0.5,1,"en-validated-v4-infinite","real"
"216","with",1,-2.5646,0.5,1,"en-validated-v4-infinite","real"
"217","wrile",1,-1.0367,0.5,1,"en-validated-v4-infinite","pseudo"
"218","wrz",1,-4,0.5,1,"en-validated-v4-infinite","pseudo"
"219","xgzb",1,-4,0.5,1,"en-validated-v4-infinite","pseudo"
"220","xgzbt",1,-4,0.5,1,"en-validated-v4-infinite","pseudo"
"221","yier",1,-2.5107,0.5,1,"en-validated-v4-infinite","pseudo"
"222","your",1,-2.7309,0.5,1,"en-validated-v4-infinite","real"
"223","zmrqc",1,-4,0.5,1,"en-validated-v4-infinite","pseudo"
"224","zvg",1,-4,0.5,1,"en-validated-v4-infinite","pseudo"
"225","zwgp",1,-4,0.5,1,"en-validated-v4-infinite","pseudo"
