word,a,b,c,d,corpusId,realpseudo
child,1,-2.431250000000004,0.5,1,corpusNew,real
chird,1,1.0296874999999992,0.5,1,corpusNew,pseudo
clap,1,-1.390625000000003,0.5,1,corpusNew,real
clock,1,-2.9328125000000043,0.5,1,corpusNew,real
closet,1,-0.8640625000000025,0.5,1,corpusNew,real
coak,1,0.49999999999999867,0.5,1,corpusNew,pseudo
component,1,0.7328124999999989,0.5,1,corpusNew,real
cook,1,-2.2390625000000033,0.5,1,corpusNew,real
cotcenent,1,0.34687499999999855,0.5,1,corpusNew,pseudo
country,1,-1.8343750000000034,0.5,1,corpusNew,real
coustly,1,0.9749999999999991,0.5,1,corpusNew,pseudo
crayon,1,-1.1500000000000028,0.5,1,corpusNew,real
cre,1,-2.664062500000004,0.5,1,corpusNew,pseudo
cry,1,-1.462500000000003,0.5,1,corpusNew,real
cully,1,-0.38593750000000215,0.5,1,corpusNew,pseudo
dack,1,-0.267187500000002,0.5,1,corpusNew,pseudo
dangle,1,1.7843749999999998,0.5,1,corpusNew,real
deer,1,-1.454687500000003,0.5,1,corpusNew,real
delivery,1,-0.7859375000000025,0.5,1,corpusNew,real
dimp,1,0.46718749999999865,0.5,1,corpusNew,pseudo
doifs,1,-1.7343750000000033,0.5,1,corpusNew,pseudo
donut,1,-0.5320312500000022,0.5,1,corpusNew,real
draw,1,-1.5796875000000035,0.5,1,corpusNew,real
drawer,1,-0.8625000000000025,0.5,1,corpusNew,real
drine,1,0.3960937499999986,0.5,1,corpusNew,pseudo
drink,1,-1.8750000000000036,0.5,1,corpusNew,real
drow,1,1.1124999999999992,0.5,1,corpusNew,pseudo
druper,1,-0.19453125000000193,0.5,1,corpusNew,pseudo
duck,1,-1.1601562500000027,0.5,1,corpusNew,real
dump,1,-1.8390625000000034,0.5,1,corpusNew,real
each,1,-1.1468750000000028,0.5,1,corpusNew,real
eaks,1,-2.158593750000004,0.5,1,corpusNew,pseudo
effake,1,-1.304687500000003,0.5,1,corpusNew,pseudo
effect,1,-0.7875000000000025,0.5,1,corpusNew,real
egg,1,-1.428125000000003,0.5,1,corpusNew,real
elsand,1,-1.1500000000000028,0.5,1,corpusNew,pseudo
empty,1,-1.5656250000000032,0.5,1,corpusNew,real
erery,1,-1.4187500000000028,0.5,1,corpusNew,pseudo
ertby,1,-1.079687500000003,0.5,1,corpusNew,pseudo
erv,1,-2.084375000000004,0.5,1,corpusNew,pseudo
every,1,-2.089062500000004,0.5,1,corpusNew,real
expand,1,-0.8875000000000026,0.5,1,corpusNew,real
explore,1,-1.6492187500000033,0.5,1,corpusNew,real
extrord,1,0.6914062499999989,0.5,1,corpusNew,pseudo
eye,1,-1.509375000000003,0.5,1,corpusNew,real
eys,1,0.10078124999999831,0.5,1,corpusNew,pseudo
fage,1,0.26249999999999846,0.5,1,corpusNew,pseudo
farm,1,-1.8093750000000033,0.5,1,corpusNew,real
fif,1,-1.2312500000000028,0.5,1,corpusNew,pseudo
firethecg,1,-1.5710937500000033,0.5,1,corpusNew,pseudo
firetruck,1,-0.8070312500000025,0.5,1,corpusNew,real
fix,1,-1.6648437500000033,0.5,1,corpusNew,real
fliel,1,-0.9820312500000026,0.5,1,corpusNew,pseudo
foat,1,0.2874999999999985,0.5,1,corpusNew,pseudo
focus,1,-1.0164062500000026,0.5,1,corpusNew,real
foits,1,-0.9023437500000027,0.5,1,corpusNew,pseudo
fonos,1,-1.3093750000000028,0.5,1,corpusNew,pseudo
foot,1,-2.0078125000000036,0.5,1,corpusNew,real
force,1,-0.6750000000000024,0.5,1,corpusNew,real
ganding,1,0.9765624999999991,0.5,1,corpusNew,pseudo
garage,1,-1.0226562500000025,0.5,1,corpusNew,real
gasand,1,-0.3531250000000021,0.5,1,corpusNew,pseudo
glass,1,-2.535937500000004,0.5,1,corpusNew,real
goose,1,-0.5421875000000023,0.5,1,corpusNew,real
gouse,1,0.23593749999999844,0.5,1,corpusNew,pseudo
grackhatrer,1,-0.5906250000000024,0.5,1,corpusNew,pseudo
grackroiler,1,-0.7265625000000024,0.5,1,corpusNew,pseudo
grandfather,1,-1.4679687500000032,0.5,1,corpusNew,real
grandmother,1,-1.5062500000000032,0.5,1,corpusNew,real
grapes,1,-1.398437500000003,0.5,1,corpusNew,real
grarts,1,0.1843749999999984,0.5,1,corpusNew,pseudo
grock,1,0.7304687499999989,0.5,1,corpusNew,pseudo
hamburger,1,-1.7757812500000034,0.5,1,corpusNew,real
hard,1,-2.1023437500000037,0.5,1,corpusNew,real
hawn,1,0.27812499999999846,0.5,1,corpusNew,pseudo
hen,1,3.425000000000001,0.5,1,corpusNew,real
hin,1,-0.9390625000000027,0.5,1,corpusNew,pseudo
houle,1,-0.8359375000000026,0.5,1,corpusNew,pseudo
house,1,-1.1703125000000028,0.5,1,corpusNew,real
jar,1,-0.3468750000000021,0.5,1,corpusNew,real
jello,1,0.49218749999999867,0.5,1,corpusNew,real
jinto,1,-1.8304687500000034,0.5,1,corpusNew,pseudo
join,1,-1.9281250000000034,0.5,1,corpusNew,real
jor,1,-1.9421875000000037,0.5,1,corpusNew,pseudo
joze,1,-1.1492187500000028,0.5,1,corpusNew,pseudo
kees,1,-0.4656250000000022,0.5,1,corpusNew,pseudo
kenchen,1,-0.29375000000000207,0.5,1,corpusNew,pseudo
keys,1,-1.424218750000003,0.5,1,corpusNew,real
kitchen,1,-1.9820312500000037,0.5,1,corpusNew,real
kusly,1,-1.8140625000000035,0.5,1,corpusNew,pseudo
lamb,1,-0.21484375000000194,0.5,1,corpusNew,real
lampupser,1,-0.5210937500000024,0.5,1,corpusNew,pseudo
larl,1,-1.439062500000003,0.5,1,corpusNew,pseudo
lefel,1,-1.5781250000000033,0.5,1,corpusNew,pseudo
legal,1,0.6078124999999988,0.5,1,corpusNew,real
lips,1,-1.8039062500000034,0.5,1,corpusNew,real
locate,1,-0.05078125000000182,0.5,1,corpusNew,real
lockle,1,-0.04687500000000182,0.5,1,corpusNew,pseudo
lut,1,-1.546875000000003,0.5,1,corpusNew,pseudo
machent,1,0.6414062499999988,0.5,1,corpusNew,pseudo
machine,1,-1.557812500000003,0.5,1,corpusNew,real
medicine,1,-1.0242187500000026,0.5,1,corpusNew,real
memitory,1,2.0015625,0.5,1,corpusNew,pseudo
mips,1,-1.2312500000000028,0.5,1,corpusNew,pseudo
mitera,1,-0.8031250000000025,0.5,1,corpusNew,pseudo
nice,1,-1.632812500000003,0.5,1,corpusNew,real
nilt,1,-1.1679687500000029,0.5,1,corpusNew,pseudo
nunge,1,-1.5031250000000032,0.5,1,corpusNew,pseudo
nurse,1,-1.8921875000000035,0.5,1,corpusNew,real
orm,1,-1.626562500000003,0.5,1,corpusNew,pseudo
oven,1,-1.6531250000000033,0.5,1,corpusNew,real
owl,1,-0.7375000000000025,0.5,1,corpusNew,real
owner,1,-1.7039062500000033,0.5,1,corpusNew,real
package,1,-2.2968750000000036,0.5,1,corpusNew,real
paekaga,1,-1.3734375000000032,0.5,1,corpusNew,pseudo
pateesh,1,-2.0281250000000037,0.5,1,corpusNew,pseudo
patient,1,-0.24062500000000198,0.5,1,corpusNew,real
ped,1,-0.7218750000000025,0.5,1,corpusNew,pseudo
peldicle,1,-0.5398437500000024,0.5,1,corpusNew,pseudo
penny,1,-2.5562500000000044,0.5,1,corpusNew,real
person,1,-2.314843750000003,0.5,1,corpusNew,real
perste,1,-0.4515625000000022,0.5,1,corpusNew,pseudo
pet,1,-1.9750000000000036,0.5,1,corpusNew,real
pick,1,-1.8375000000000035,0.5,1,corpusNew,real
pids,1,-0.5000000000000022,0.5,1,corpusNew,pseudo
pileral,1,-0.16718750000000193,0.5,1,corpusNew,pseudo
pingle,1,0.9539062499999991,0.5,1,corpusNew,pseudo
plate,1,-1.1687500000000028,0.5,1,corpusNew,real
plissars,1,-0.32734375000000204,0.5,1,corpusNew,pseudo
pluset,1,-0.6687500000000024,0.5,1,corpusNew,pseudo
police,1,-1.5437500000000033,0.5,1,corpusNew,real
polyll,1,-1.1250000000000027,0.5,1,corpusNew,pseudo
poom,1,0.22499999999999842,0.5,1,corpusNew,pseudo
poor,1,-1.6531250000000033,0.5,1,corpusNew,real
popsicle,1,-0.7101562500000023,0.5,1,corpusNew,real
porch,1,-0.3828125000000021,0.5,1,corpusNew,real
potato,1,-1.8593750000000033,0.5,1,corpusNew,real
poyed,1,-1.4890625000000033,0.5,1,corpusNew,pseudo
pundy,1,0.13203124999999832,0.5,1,corpusNew,pseudo
pung,1,0.02226562499999824,0.5,1,corpusNew,pseudo
punge,1,0.6632812499999987,0.5,1,corpusNew,pseudo
purbon,1,-0.9453125000000027,0.5,1,corpusNew,pseudo
purple,1,-1.8750000000000036,0.5,1,corpusNew,real
purse,1,-0.9875000000000027,0.5,1,corpusNew,real
push,1,-1.6546875000000032,0.5,1,corpusNew,real
put,1,-1.282031250000003,0.5,1,corpusNew,real
puticine,1,-0.6687500000000024,0.5,1,corpusNew,pseudo
quey,1,-1.0687500000000028,0.5,1,corpusNew,pseudo
quiet,1,-1.4804687500000033,0.5,1,corpusNew,real
rax,1,-0.4820312500000022,0.5,1,corpusNew,pseudo
reast,1,1.5968749999999996,0.5,1,corpusNew,pseudo
recipe,1,-0.25468750000000195,0.5,1,corpusNew,real
regiva,1,-1.562500000000003,0.5,1,corpusNew,pseudo
rince,1,0.9218749999999991,0.5,1,corpusNew,pseudo
roast,1,-0.5656250000000023,0.5,1,corpusNew,real
rurn,1,-0.4687500000000022,0.5,1,corpusNew,pseudo
samato,1,-0.3656250000000021,0.5,1,corpusNew,pseudo
sandbox,1,-1.1210937500000027,0.5,1,corpusNew,real
sashbex,1,-0.7656250000000024,0.5,1,corpusNew,pseudo
scared,1,-1.2210937500000028,0.5,1,corpusNew,real
scavec,1,-1.9500000000000035,0.5,1,corpusNew,pseudo
scissors,1,-0.5296875000000022,0.5,1,corpusNew,real
scogs,1,-1.613281250000003,0.5,1,corpusNew,pseudo
score,1,-1.171093750000003,0.5,1,corpusNew,real
scrow,1,2.225,0.5,1,corpusNew,pseudo
several,1,-0.7992187500000025,0.5,1,corpusNew,real
shie,1,-1.1875000000000029,0.5,1,corpusNew,pseudo
shob,1,-1.0531250000000028,0.5,1,corpusNew,pseudo
shoe,1,-0.9859375000000027,0.5,1,corpusNew,real
show,1,-2.9031250000000046,0.5,1,corpusNew,real
since,1,-1.2250000000000028,0.5,1,corpusNew,real
slatchly,1,-0.8609375000000025,0.5,1,corpusNew,pseudo
slid,1,2.4250000000000003,0.5,1,corpusNew,real
slightly,1,-0.07421875000000185,0.5,1,corpusNew,real
slod,1,-1.0335937500000028,0.5,1,corpusNew,pseudo
snack,1,-1.8109375000000032,0.5,1,corpusNew,real
snock,1,1.6578124999999995,0.5,1,corpusNew,pseudo
snow,1,-1.5500000000000032,0.5,1,corpusNew,real
splankler,1,0.824999999999999,0.5,1,corpusNew,pseudo
sprinkler,1,-0.5921875000000023,0.5,1,corpusNew,real
stak,1,-0.5851562500000023,0.5,1,corpusNew,pseudo
staroan,1,-0.8125000000000024,0.5,1,corpusNew,pseudo
start,1,-2.127343750000003,0.5,1,corpusNew,real
starz,1,-0.01718750000000179,0.5,1,corpusNew,pseudo
station,1,-1.1859375000000028,0.5,1,corpusNew,real
stay,1,-1.5710937500000033,0.5,1,corpusNew,real
stick,1,-1.621093750000003,0.5,1,corpusNew,real
sticygra,1,-1.401562500000003,0.5,1,corpusNew,pseudo
stins,1,-0.9078125000000026,0.5,1,corpusNew,pseudo
strength,1,-1.3109375000000028,0.5,1,corpusNew,real
stressrs,1,0.956249999999999,0.5,1,corpusNew,pseudo
swate,1,-0.7117187500000024,0.5,1,corpusNew,pseudo
sweaner,1,-0.01718750000000179,0.5,1,corpusNew,pseudo
sweater,1,-1.291406250000003,0.5,1,corpusNew,real
swing,1,-1.460156250000003,0.5,1,corpusNew,real
swint,1,0.06171874999999828,0.5,1,corpusNew,pseudo
tax,1,0.5218749999999988,0.5,1,corpusNew,real
tear,1,-1.0140625000000028,0.5,1,corpusNew,real
teech,1,0.35156249999999856,0.5,1,corpusNew,pseudo
teer,1,0.5921874999999988,0.5,1,corpusNew,pseudo
they,1,-2.817187500000004,0.5,1,corpusNew,real
thoke,1,-1.462500000000003,0.5,1,corpusNew,pseudo
those,1,-1.609375000000003,0.5,1,corpusNew,real
throw,1,-1.7484375000000032,0.5,1,corpusNew,real
tickle,1,-0.6507812500000023,0.5,1,corpusNew,real
tiest,1,-0.7546875000000024,0.5,1,corpusNew,pseudo
tights,1,-0.07968750000000185,0.5,1,corpusNew,real
timmed,1,1.7374999999999998,0.5,1,corpusNew,pseudo
toast,1,-1.6625000000000032,0.5,1,corpusNew,real
tocard,1,-0.9203125000000026,0.5,1,corpusNew,pseudo
toe,1,-0.6445312500000024,0.5,1,corpusNew,real
tou,1,-1.521093750000003,0.5,1,corpusNew,pseudo
touch,1,-1.476562500000003,0.5,1,corpusNew,real
trage,1,0.3289062499999985,0.5,1,corpusNew,pseudo
train,1,-1.8562500000000033,0.5,1,corpusNew,real
trank,1,3.4625000000000012,0.5,1,corpusNew,pseudo
trash,1,-2.0750000000000037,0.5,1,corpusNew,real
tricycle,1,0.3859374999999986,0.5,1,corpusNew,real
turn,1,-1.3812500000000032,0.5,1,corpusNew,real
uden,1,-1.472656250000003,0.5,1,corpusNew,pseudo
ueer,1,-2.7750000000000044,0.5,1,corpusNew,pseudo
under,1,-1.4187500000000028,0.5,1,corpusNew,real
urmer,1,-1.4828125000000032,0.5,1,corpusNew,pseudo
urner,1,-1.445312500000003,0.5,1,corpusNew,pseudo
vitamins,1,0.10937499999999832,0.5,1,corpusNew,real
walk,1,-1.6828125000000034,0.5,1,corpusNew,real
washing,1,-1.329687500000003,0.5,1,corpusNew,real
wask,1,0.01953124999999824,0.5,1,corpusNew,pseudo
which,1,-2.2617187500000036,0.5,1,corpusNew,real
whith,1,1.2148437499999993,0.5,1,corpusNew,pseudo
whow,1,-0.38437500000000213,0.5,1,corpusNew,pseudo
witasons,1,-0.8437500000000026,0.5,1,corpusNew,pseudo
woir,1,-0.9179687500000027,0.5,1,corpusNew,pseudo
wolf,1,-1.282812500000003,0.5,1,corpusNew,real
would,1,-1.6125000000000032,0.5,1,corpusNew,real
wourn,1,-0.5625000000000022,0.5,1,corpusNew,pseudo
wrass,1,-0.5687500000000023,0.5,1,corpusNew,pseudo
your,1,-2.4578125000000037,0.5,1,corpusNew,real
youx,1,-1.9507812500000035,0.5,1,corpusNew,pseudo
yucky,1,2.5250000000000004,0.5,1,corpusNew,real
zebra,1,-0.6460937500000024,0.5,1,corpusNew,real
zeclo,1,-2.2023437500000034,0.5,1,corpusNew,pseudo
