word,realpseudo,a,b,c,d,corpusId
pantalón,real,1,0,0.5,1,spanish-core
camisa,real,1,0,0.5,1,spanish-random
zapatos,real,1,0,0.5,1,spanish-random
joyas,real,1,0,0.5,1,spanish-core
dinero,real,1,0,0.5,1,spanish-core
papel,real,1,0,0.5,1,spanish-random
lápiz,real,1,0,0.5,1,spanish-random
cuaderno,real,1,0,0.5,1,spanish-random
diccionario,real,1,0,0.5,1,spanish-random
mochila,real,1,0,0.5,1,spanish-random
pluma,real,1,0,0.5,1,spanish-random
llave,real,1,0,0.5,1,spanish-random
teléfono,real,1,0,0.5,1,spanish-random
música,real,1,0,0.5,1,spanish-random
estrella,real,1,0,0.5,1,spanish-random
nube,real,1,0,0.5,1,spanish-random
caminar,real,1,0,0.5,1,spanish-core
sentarse,real,1,0,0.5,1,spanish-random
dormir,real,1,0,0.5,1,spanish-random
cantante,real,1,0,0.5,1,spanish-core
bailarín,real,1,0,0.5,1,spanish-random
cocinero,real,1,0,0.5,1,spanish-core
pintor,real,1,0,0.5,1,spanish-random
estudiante,real,1,0,0.5,1,spanish-core
profesor,real,1,0,0.5,1,spanish-core
doctor,real,1,0,0.5,1,spanish-random
dentista,real,1,0,0.5,1,spanish-random
policía,real,1,0,0.5,1,spanish-random
bombero,real,1,0,0.5,1,spanish-random
peluquero,real,1,0,0.5,1,spanish-random
oficina,real,1,0,0.5,1,spanish-random
parque,real,1,0,0.5,1,spanish-random
museo,real,1,0,0.5,1,spanish-random
hospital,real,1,0,0.5,1,spanish-core
restaurante,real,1,0,0.5,1,spanish-random
supermercado,real,1,0,0.5,1,spanish-core
tienda,real,1,0,0.5,1,spanish-random
viajar,real,1,0,0.5,1,spanish-random
cazar,real,1,0,0.5,1,spanish-random
montar,real,1,0,0.5,1,spanish-core
aprender,real,1,0,0.5,1,spanish-random
juego,real,1,0,0.5,1,spanish-random
fiesta,real,1,0,0.5,1,spanish-random
cumpleaños,real,1,0,0.5,1,spanish-random
vacaciones,real,1,0,0.5,1,spanish-random
librería,real,1,0,0.5,1,spanish-random
comprar,real,1,0,0.5,1,spanish-core
buscar,real,1,0,0.5,1,spanish-random
encontrar,real,1,0,0.5,1,spanish-random
beber,real,1,0,0.5,1,spanish-core
cocinar,real,1,0,0.5,1,spanish-random
desayunar,real,1,0,0.5,1,spanish-random
lavar,real,1,0,0.5,1,spanish-random
limpiar,real,1,0,0.5,1,spanish-core
cepillar,real,1,0,0.5,1,spanish-core
peinar,real,1,0,0.5,1,spanish-random
bañarse,real,1,0,0.5,1,spanish-random
dormitorio,real,1,0,0.5,1,spanish-random
sala,real,1,0,0.5,1,spanish-random
cocina,real,1,0,0.5,1,spanish-random
baño,real,1,0,0.5,1,spanish-random
jardín,real,1,0,0.5,1,spanish-random
carro,real,1,0,0.5,1,spanish-random
tren,real,1,0,0.5,1,spanish-random
avión,real,1,0,0.5,1,spanish-random
barco,real,1,0,0.5,1,spanish-random
autobús,real,1,0,0.5,1,spanish-random
bicicleta,real,1,0,0.5,1,spanish-random
helado,real,1,0,0.5,1,spanish-random
pastel,real,1,0,0.5,1,spanish-random
galleta,real,1,0,0.5,1,spanish-random
chocolate,real,1,0,0.5,1,spanish-random
ensalada,real,1,0,0.5,1,spanish-core
sopa,real,1,0,0.5,1,spanish-random
frutas,real,1,0,0.5,1,spanish-random
verduras,real,1,0,0.5,1,spanish-random
queso,real,1,0,0.5,1,spanish-random
leche,real,1,0,0.5,1,spanish-random
jugo,real,1,0,0.5,1,spanish-random
refresco,real,1,0,0.5,1,spanish-random
café,real,1,0,0.5,1,spanish-core
té,real,1,0,0.5,1,spanish-random
gaseosa,real,1,0,0.5,1,spanish-random
pollo,real,1,0,0.5,1,spanish-random
carne,real,1,0,0.5,1,spanish-core
pescado,real,1,0,0.5,1,spanish-random
vegetariano,real,1,0,0.5,1,spanish-random
postre,real,1,0,0.5,1,spanish-random
picante,real,1,0,0.5,1,spanish-core
amargo,real,1,0,0.5,1,spanish-random
suave,real,1,0,0.5,1,spanish-random
frío,real,1,0,0.5,1,spanish-random
caliente,real,1,0,0.5,1,spanish-random
largo,real,1,0,0.5,1,spanish-random
corto,real,1,0,0.5,1,spanish-random
nuevo,real,1,0,0.5,1,spanish-core
viejo,real,1,0,0.5,1,spanish-random
bonito,real,1,0,0.5,1,spanish-random
feo,real,1,0,0.5,1,spanish-random
aburrido,real,1,0,0.5,1,spanish-random
difícil,real,1,0,0.5,1,spanish-random
abierto,real,1,0,0.5,1,spanish-random
contento,real,1,0,0.5,1,spanish-random
asustado,real,1,0,0.5,1,spanish-core
cansado,real,1,0,0.5,1,spanish-random
emocionado,real,1,0,0.5,1,spanish-random
mada,pseudo,1,0,0.5,1,spanish-random
mebro,pseudo,1,0,0.5,1,spanish-random
mosa,pseudo,1,0,0.5,1,spanish-random
rirra,pseudo,1,0,0.5,1,spanish-random
nizo,pseudo,1,0,0.5,1,spanish-random
pable,pseudo,1,0,0.5,1,spanish-random
jusar,pseudo,1,0,0.5,1,spanish-random
builar,pseudo,1,0,0.5,1,spanish-random
acar,pseudo,1,0,0.5,1,spanish-random
plande,pseudo,1,0,0.5,1,spanish-random
pequevo,pseudo,1,0,0.5,1,spanish-random
rávido,pseudo,1,0,0.5,1,spanish-random
linto,pseudo,1,0,0.5,1,spanish-random
amdo,pseudo,1,0,0.5,1,spanish-random
bavo,pseudo,1,0,0.5,1,spanish-random
treste,pseudo,1,0,0.5,1,spanish-core
rovo,pseudo,1,0,0.5,1,spanish-random
añíl,pseudo,1,0,0.5,1,spanish-random
amerillo,pseudo,1,0,0.5,1,spanish-core
gasce,pseudo,1,0,0.5,1,spanish-core
glanco,pseudo,1,0,0.5,1,spanish-random
codida,pseudo,1,0,0.5,1,spanish-random
agum,pseudo,1,0,0.5,1,spanish-random
terre,pseudo,1,0,0.5,1,spanish-core
cruta,pseudo,1,0,0.5,1,spanish-random
selota,pseudo,1,0,0.5,1,spanish-random
ribro,pseudo,1,0,0.5,1,spanish-random
acigo,pseudo,1,0,0.5,1,spanish-random
etsuriod,pseudo,1,0,0.5,1,spanish-core
dipujar,pseudo,1,0,0.5,1,spanish-random
nacar,pseudo,1,0,0.5,1,spanish-random
coraján,pseudo,1,0,0.5,1,spanish-core
írbol,pseudo,1,0,0.5,1,spanish-random
bler,pseudo,1,0,0.5,1,spanish-random
dintaña,pseudo,1,0,0.5,1,spanish-core
carre,pseudo,1,0,0.5,1,spanish-random
fütbol,pseudo,1,0,0.5,1,spanish-random
guitacha,pseudo,1,0,0.5,1,spanish-random
pelácula,pseudo,1,0,0.5,1,spanish-random
ciddad,pseudo,1,0,0.5,1,spanish-random
facitia,pseudo,1,0,0.5,1,spanish-random
hormana,pseudo,1,0,0.5,1,spanish-random
rúo,pseudo,1,0,0.5,1,spanish-random
apiela,pseudo,1,0,0.5,1,spanish-core
escurrar,pseudo,1,0,0.5,1,spanish-random
hadrar,pseudo,1,0,0.5,1,spanish-random
loer,pseudo,1,0,0.5,1,spanish-random
esfribir,pseudo,1,0,0.5,1,spanish-random
estudueso,pseudo,1,0,0.5,1,spanish-random
intecigente,pseudo,1,0,0.5,1,spanish-random
ruedoso,pseudo,1,0,0.5,1,spanish-random
pronquilo,pseudo,1,0,0.5,1,spanish-random
huro,pseudo,1,0,0.5,1,spanish-core
hácil,pseudo,1,0,0.5,1,spanish-core
felce,pseudo,1,0,0.5,1,spanish-random
sarado,pseudo,1,0,0.5,1,spanish-core
sachoso,pseudo,1,0,0.5,1,spanish-random
didertido,pseudo,1,0,0.5,1,spanish-core
intecesante,pseudo,1,0,0.5,1,spanish-core
puz,pseudo,1,0,0.5,1,spanish-random
májaro,pseudo,1,0,0.5,1,spanish-random
insepto,pseudo,1,0,0.5,1,spanish-random
eceñante,pseudo,1,0,0.5,1,spanish-random
rigre,pseudo,1,0,0.5,1,spanish-random
loón,pseudo,1,0,0.5,1,spanish-random
tatón,pseudo,1,0,0.5,1,spanish-core
omo,pseudo,1,0,0.5,1,spanish-core
caveja,pseudo,1,0,0.5,1,spanish-random
ejo,pseudo,1,0,0.5,1,spanish-random
beda,pseudo,1,0,0.5,1,spanish-random
oreza,pseudo,1,0,0.5,1,spanish-random
mado,pseudo,1,0,0.5,1,spanish-random
puerga,pseudo,1,0,0.5,1,spanish-random
braño,pseudo,1,0,0.5,1,spanish-random
cuerzo,pseudo,1,0,0.5,1,spanish-random
reba,pseudo,1,0,0.5,1,spanish-random
suntrero,pseudo,1,0,0.5,1,spanish-random
lestido,pseudo,1,0,0.5,1,spanish-core
pantalán,pseudo,1,0,0.5,1,spanish-core
cacisa,pseudo,1,0,0.5,1,spanish-random
qapatos,pseudo,1,0,0.5,1,spanish-core
joyal,pseudo,1,0,0.5,1,spanish-random
disero,pseudo,1,0,0.5,1,spanish-core
pabel,pseudo,1,0,0.5,1,spanish-random
lópiz,pseudo,1,0,0.5,1,spanish-random
cuamerno,pseudo,1,0,0.5,1,spanish-core
dicnororia,pseudo,1,0,0.5,1,spanish-random
mobrila,pseudo,1,0,0.5,1,spanish-core
pluda,pseudo,1,0,0.5,1,spanish-random
flave,pseudo,1,0,0.5,1,spanish-random
tecézono,pseudo,1,0,0.5,1,spanish-random
dúsica,pseudo,1,0,0.5,1,spanish-core
escrella,pseudo,1,0,0.5,1,spanish-core
nupe,pseudo,1,0,0.5,1,spanish-random
cacinar,pseudo,1,0,0.5,1,spanish-random
pentarse,pseudo,1,0,0.5,1,spanish-core
formir,pseudo,1,0,0.5,1,spanish-random
castante,pseudo,1,0,0.5,1,spanish-random
biolarín,pseudo,1,0,0.5,1,spanish-random
colinero,pseudo,1,0,0.5,1,spanish-random
pentor,pseudo,1,0,0.5,1,spanish-random
estudionte,pseudo,1,0,0.5,1,spanish-core
projesor,pseudo,1,0,0.5,1,spanish-random
foctor,pseudo,1,0,0.5,1,spanish-random
dentesta,pseudo,1,0,0.5,1,spanish-random
mocicía,pseudo,1,0,0.5,1,spanish-random
tombero,pseudo,1,0,0.5,1,spanish-random
peluhuero,pseudo,1,0,0.5,1,spanish-random
ofilina,pseudo,1,0,0.5,1,spanish-core
panque,pseudo,1,0,0.5,1,spanish-random
puseo,pseudo,1,0,0.5,1,spanish-random
hompital,pseudo,1,0,0.5,1,spanish-core
restiarante,pseudo,1,0,0.5,1,spanish-random
superdercado,pseudo,1,0,0.5,1,spanish-random
rianda,pseudo,1,0,0.5,1,spanish-random
gaujar,pseudo,1,0,0.5,1,spanish-random
cajar,pseudo,1,0,0.5,1,spanish-random
mestar,pseudo,1,0,0.5,1,spanish-random
aplander,pseudo,1,0,0.5,1,spanish-random
jueco,pseudo,1,0,0.5,1,spanish-random
huista,pseudo,1,0,0.5,1,spanish-random
cumpleapos,pseudo,1,0,0.5,1,spanish-core
hacaciones,pseudo,1,0,0.5,1,spanish-random
vibrería,pseudo,1,0,0.5,1,spanish-random
compnar,pseudo,1,0,0.5,1,spanish-random
birdar,pseudo,1,0,0.5,1,spanish-random
encondrar,pseudo,1,0,0.5,1,spanish-random
beper,pseudo,1,0,0.5,1,spanish-random
cominar,pseudo,1,0,0.5,1,spanish-random
desaypnar,pseudo,1,0,0.5,1,spanish-random
lajar,pseudo,1,0,0.5,1,spanish-random
lilgiar,pseudo,1,0,0.5,1,spanish-random
cevillar,pseudo,1,0,0.5,1,spanish-random
pionar,pseudo,1,0,0.5,1,spanish-random
baqarse,pseudo,1,0,0.5,1,spanish-random
dorcitorio,pseudo,1,0,0.5,1,spanish-random
raca,pseudo,1,0,0.5,1,spanish-random
comina,pseudo,1,0,0.5,1,spanish-random
bafo,pseudo,1,0,0.5,1,spanish-random
jardán,pseudo,1,0,0.5,1,spanish-core
mabro,pseudo,1,0,0.5,1,spanish-random
fren,pseudo,1,0,0.5,1,spanish-core
aving,pseudo,1,0,0.5,1,spanish-core
bango,pseudo,1,0,0.5,1,spanish-random
autobys,pseudo,1,0,0.5,1,spanish-random
bicifleta,pseudo,1,0,0.5,1,spanish-random
felado,pseudo,1,0,0.5,1,spanish-random
pendal,pseudo,1,0,0.5,1,spanish-random
falleta,pseudo,1,0,0.5,1,spanish-random
grocolate,pseudo,1,0,0.5,1,spanish-core
envecada,pseudo,1,0,0.5,1,spanish-core
sova,pseudo,1,0,0.5,1,spanish-random
crutas,pseudo,1,0,0.5,1,spanish-core
vernuras,pseudo,1,0,0.5,1,spanish-random
wiego,pseudo,1,0,0.5,1,spanish-random
rerre,pseudo,1,0,0.5,1,spanish-random
juco,pseudo,1,0,0.5,1,spanish-random
replesco,pseudo,1,0,0.5,1,spanish-random
cazé,pseudo,1,0,0.5,1,spanish-random
dy,pseudo,1,0,0.5,1,spanish-random
gacaosa,pseudo,1,0,0.5,1,spanish-random
merro,pseudo,1,0,0.5,1,spanish-random
carle,pseudo,1,0,0.5,1,spanish-random
sescado,pseudo,1,0,0.5,1,spanish-random
vegetariono,pseudo,1,0,0.5,1,spanish-random
pombre,pseudo,1,0,0.5,1,spanish-random
pitente,pseudo,1,0,0.5,1,spanish-random
asarzo,pseudo,1,0,0.5,1,spanish-random
suape,pseudo,1,0,0.5,1,spanish-random
prío,pseudo,1,0,0.5,1,spanish-random
caluiste,pseudo,1,0,0.5,1,spanish-core
larlo,pseudo,1,0,0.5,1,spanish-random
menco,pseudo,1,0,0.5,1,spanish-random
nuejo,pseudo,1,0,0.5,1,spanish-random
vievo,pseudo,1,0,0.5,1,spanish-random
tsotno,pseudo,1,0,0.5,1,spanish-random
heo,pseudo,1,0,0.5,1,spanish-random
adullido,pseudo,1,0,0.5,1,spanish-random
difícel,pseudo,1,0,0.5,1,spanish-random
apierto,pseudo,1,0,0.5,1,spanish-random
concento,pseudo,1,0,0.5,1,spanish-random
asostado,pseudo,1,0,0.5,1,spanish-random
carmado,pseudo,1,0,0.5,1,spanish-random
etocionado,pseudo,1,0,0.5,1,spanish-random
halagüeño,real,1,0,0.5,1,spanish-random
hexágono,real,1,0,0.5,1,spanish-random
lentejuela,real,1,0,0.5,1,spanish-random
requerimiento,real,1,0,0.5,1,spanish-random
resquebrajadura,real,1,0,0.5,1,spanish-random
utilitario,real,1,0,0.5,1,spanish-random
ventajosamente,real,1,0,0.5,1,spanish-random
zigzagueante,real,1,0,0.5,1,spanish-random
aburrimiento,real,1,0,0.5,1,spanish-random
acostumbrado,real,1,0,0.5,1,spanish-random
acostamiento,real,1,0,0.5,1,spanish-random
estacionamiento,real,1,0,0.5,1,spanish-random
bicilíndrico,real,1,0,0.5,1,spanish-random
casualidad,real,1,0,0.5,1,spanish-random
catamáran,real,1,0,0.5,1,spanish-random
chasquilla,real,1,0,0.5,1,spanish-random
coincidencialmente,real,1,0,0.5,1,spanish-random
comercialización,real,1,0,0.5,1,spanish-random
arquitectura,real,1,0,0.5,1,spanish-random
cigüeña,real,1,0,0.5,1,spanish-random
jurásico,real,1,0,0.5,1,spanish-random
juguetería,real,1,0,0.5,1,spanish-random
lección,real,1,0,0.5,1,spanish-random
lavándula,real,1,0,0.5,1,spanish-random
mnemotécnica,real,1,0,0.5,1,spanish-random
psicológico,real,1,0,0.5,1,spanish-random
reiteración,real,1,0,0.5,1,spanish-random
relampagueo,real,1,0,0.5,1,spanish-random
esquimal,real,1,0,0.5,1,spanish-random
guindilla,real,1,0,0.5,1,spanish-random
rinoceronte,real,1,0,0.5,1,spanish-random
guisante,real,1,0,0.5,1,spanish-random
guepardo,real,1,0,0.5,1,spanish-random
xilófono,real,1,0,0.5,1,spanish-random
desequilibrio,real,1,0,0.5,1,spanish-random
agradecimiento,real,1,0,0.5,1,spanish-random
cráneo,real,1,0,0.5,1,spanish-random
vislumbrar,real,1,0,0.5,1,spanish-random
ambigüedad,real,1,0,0.5,1,spanish-random
almohada,real,1,0,0.5,1,spanish-random
deslizamiento,real,1,0,0.5,1,spanish-random
inquebrantable,real,1,0,0.5,1,spanish-random
hatajo,real,1,0,0.5,1,spanish-random
gruñido,real,1,0,0.5,1,spanish-random
escéptico,real,1,0,0.5,1,spanish-random
desarrollar,real,1,0,0.5,1,spanish-random
paraguas,real,1,0,0.5,1,spanish-random
murciélago,real,1,0,0.5,1,spanish-random
refrigerador,real,1,0,0.5,1,spanish-random
cuadrilátero,real,1,0,0.5,1,spanish-random
arrebol,real,1,0,0.5,1,spanish-random
gioxémico,pseudo,1,0,0.5,1,spanish-random
hufánzico,pseudo,1,0,0.5,1,spanish-random
lezígro,pseudo,1,0,0.5,1,spanish-random
reqúlima,pseudo,1,0,0.5,1,spanish-random
quimoscó,pseudo,1,0,0.5,1,spanish-random
respléndara,pseudo,1,0,0.5,1,spanish-random
utímetro,pseudo,1,0,0.5,1,spanish-random
venrumano,pseudo,1,0,0.5,1,spanish-random
yátelaré,pseudo,1,0,0.5,1,spanish-random
zanzínquero,pseudo,1,0,0.5,1,spanish-random
acustumerando,pseudo,1,0,0.5,1,spanish-random
estirquinamiento,pseudo,1,0,0.5,1,spanish-random
biciséntrico,pseudo,1,0,0.5,1,spanish-random
casuállico,pseudo,1,0,0.5,1,spanish-random
catimbán,pseudo,1,0,0.5,1,spanish-random
chasquídeo,pseudo,1,0,0.5,1,spanish-random
coencidentalismo,pseudo,1,0,0.5,1,spanish-random
corabacionismo,pseudo,1,0,0.5,1,spanish-random
comercialínico,pseudo,1,0,0.5,1,spanish-random
arquiteturimo,pseudo,1,0,0.5,1,spanish-random
ciguña,pseudo,1,0,0.5,1,spanish-random
jurásimo,pseudo,1,0,0.5,1,spanish-random
juguico,pseudo,1,0,0.5,1,spanish-random
lexicano,pseudo,1,0,0.5,1,spanish-random
lapándulo,pseudo,1,0,0.5,1,spanish-random
mnemotéquico,pseudo,1,0,0.5,1,spanish-random
psicolíndrico,pseudo,1,0,0.5,1,spanish-random
retegración,pseudo,1,0,0.5,1,spanish-random
relámpajo,pseudo,1,0,0.5,1,spanish-random
esquimalón,pseudo,1,0,0.5,1,spanish-random
guindel,pseudo,1,0,0.5,1,spanish-random
rinocorón,pseudo,1,0,0.5,1,spanish-random
guisanco,pseudo,1,0,0.5,1,spanish-random
puedardo,pseudo,1,0,0.5,1,spanish-random
xalofón,pseudo,1,0,0.5,1,spanish-random
desequilímiro,pseudo,1,0,0.5,1,spanish-random
agratécnico,pseudo,1,0,0.5,1,spanish-random
cráxido,pseudo,1,0,0.5,1,spanish-random
vísulumbar,pseudo,1,0,0.5,1,spanish-random
ambigéxodo,pseudo,1,0,0.5,1,spanish-random
almohadura,pseudo,1,0,0.5,1,spanish-random
deslinzado,pseudo,1,0,0.5,1,spanish-random
inquebrántico,pseudo,1,0,0.5,1,spanish-random
grúcido,pseudo,1,0,0.5,1,spanish-random
escéptero,pseudo,1,0,0.5,1,spanish-random
quezco,pseudo,1,0,0.5,1,spanish-random
desarroyar,pseudo,1,0,0.5,1,spanish-random
paragües,pseudo,1,0,0.5,1,spanish-random
murciáligo,pseudo,1,0,0.5,1,spanish-random
estacionamindo,pseudo,1,0,0.5,1,spanish-random
refigelante,pseudo,1,0,0.5,1,spanish-random
