,target,distractor1,distractor2,distractor3,audioFile,audioUrl,a,b,c,d,corpusId,source
21,qued,quiss,dred,dret,qued,https://storage.googleapis.com/roar-ak/en/shared/qued.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
22,chot,chep,drot,stux,chot,https://storage.googleapis.com/roar-ak/en/shared/chot.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
23,quall,quozz,clall,blit,quall,https://storage.googleapis.com/roar-ak/en/shared/quall.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
24,whag,whok,thag,drap,whag,https://storage.googleapis.com/roar-ak/en/shared/whag.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
25,thaff,thess,praff,skum,thaff,https://storage.googleapis.com/roar-ak/en/shared/thaff.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
26,gneff,gnuck,pleff,prid,gneff,https://storage.googleapis.com/roar-ak/en/shared/gneff.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
27,shuzz,sholl,cluzz,flar,shuzz,https://storage.googleapis.com/roar-ak/en/shared/shuzz.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
28,shub,shey,scub,snit,shub,https://storage.googleapis.com/roar-ak/en/shared/shub.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
29,thock,thex,grock,slep,thock,https://storage.googleapis.com/roar-ak/en/shared/thock.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
30,phack,pheb,scack,swit,phack,https://storage.googleapis.com/roar-ak/en/shared/phack.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
31,choff,chet,smoff,swuss,choff,https://storage.googleapis.com/roar-ak/en/shared/choff.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
32,gnog,gnep,drog,brezz,gnog,https://storage.googleapis.com/roar-ak/en/shared/gnog.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
33,shex,shur,blex,plib,shex,https://storage.googleapis.com/roar-ak/en/shared/shex.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
34,gnuss,gnok,fruss,clum,gnuss,https://storage.googleapis.com/roar-ak/en/shared/gnuss.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
35,chog,chir,skog,glup,chog,https://storage.googleapis.com/roar-ak/en/shared/chog.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
36,quezz,quass,slezz,slek,quezz,https://storage.googleapis.com/roar-ak/en/shared/quezz.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
37,gnid,gnozz,snid,spazz,gnid,https://storage.googleapis.com/roar-ak/en/shared/gnid.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
38,chuss,cheg,bluss,crug,chuss,https://storage.googleapis.com/roar-ak/en/shared/chuss.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
39,phad,phum,skad,slezz,phad,https://storage.googleapis.com/roar-ak/en/shared/phad.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
40,paib,piech,maib,koab,paib,https://storage.googleapis.com/roar-ak/en/shared/paib.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
41,soick,seet,boick,geep,soick,https://storage.googleapis.com/roar-ak/en/shared/soick.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
42,sauch,sead,fauch,zoop,sauch,https://storage.googleapis.com/roar-ak/en/shared/sauch.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
43,zeik,zoab,meik,nauss,zeik,https://storage.googleapis.com/roar-ak/en/shared/zeik.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
44,veim,voot,leim,kuir,veim,https://storage.googleapis.com/roar-ak/en/shared/veim.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
45,heek,houn,teek,zoar,heek,https://storage.googleapis.com/roar-ak/en/shared/heek.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
46,toick,toar,doick,moin,toick,https://storage.googleapis.com/roar-ak/en/shared/toick.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
47,zouch,zoak,souch,lief,zouch,https://storage.googleapis.com/roar-ak/en/shared/zouch.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
48,woab,woos,toab,pruid,woab,https://storage.googleapis.com/roar-ak/en/shared/woab.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
49,vaich,veek,jaich,moaz,vaich,https://storage.googleapis.com/roar-ak/en/shared/vaich.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
50,heam,hooch,feam,deeg,heam,https://storage.googleapis.com/roar-ak/en/shared/heam.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
51,houd,heich,noud,taus,houd,https://storage.googleapis.com/roar-ak/en/shared/houd.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
52,deas,doen,neas,veez,deas,https://storage.googleapis.com/roar-ak/en/shared/deas.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
53,waig,weab,raig,loet,waig,https://storage.googleapis.com/roar-ak/en/shared/waig.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
54,koik,kuil,zoik,wiep,koik,https://storage.googleapis.com/roar-ak/en/shared/koik.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
55,kaib,kaul,maib,hief,kaib,https://storage.googleapis.com/roar-ak/en/shared/kaib.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
56,bruid,boeg,cruid,weer,bruid,https://storage.googleapis.com/roar-ak/en/shared/bruid.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
57,nieg,nooch,lieg,haix,nieg,https://storage.googleapis.com/roar-ak/en/shared/nieg.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
58,slaip,soos,claip,feeb,slaip,https://storage.googleapis.com/roar-ak/en/shared/slaip.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
59,laib,loip,yaib,queed,laib,https://storage.googleapis.com/roar-ak/en/shared/laib.mp3,1,0,0.25,1,textSoundPseudo,ylzhao
