"","target","distractor1","distractor2","distractor3","audioFile","audioUrl","corpusId","composite.a","composite.b","composite.c","composite.d","letterNameUpper.a","letterNameUpper.b","letterNameUpper.c","letterNameUpper.d","letterNameLower.a","letterNameLower.b","letterNameLower.c","letterNameLower.d","letterPhoneme.a","letterPhoneme.b","letterPhoneme.c","letterPhoneme.d","letterNamePractice.a","letterNamePractice.b","letterNamePractice.c","letterNamePractice.d","letterPhonemePractice.a","letterPhonemePractice.b","letterPhonemePractice.c","letterPhonemePractice.d","composite_foundational.a","composite_foundational.b","composite_foundational.c","composite_foundational.d"
"13","k","i","x","c","kLetter","https://storage.googleapis.com/roar-ak/en/shared/kLetter.mp3","letterNameLower",1,-2.78443189754215,0.25,1,NA,NA,NA,NA,1,-2.78443189754215,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-5.17802599216854,0.25,1
"14","l","i","m","x","lLetter","https://storage.googleapis.com/roar-ak/en/shared/lLetter.mp3","letterNameLower",1,-2.49902629242916,0.25,1,NA,NA,NA,NA,1,-2.49902629242916,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-4.87423758068653,0.25,1
"15","m","a","x","k","mLetter","https://storage.googleapis.com/roar-ak/en/shared/mLetter.mp3","letterNameLower",1,-2.90037006062513,0.25,1,NA,NA,NA,NA,1,-2.90037006062513,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-5.32227758201608,0.25,1
"16","n","a","f","r","nLetter","https://storage.googleapis.com/roar-ak/en/shared/nLetter.mp3","letterNameLower",1,-2.38109557877756,0.25,1,NA,NA,NA,NA,1,-2.38109557877756,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-4.72224592809891,0.25,1
"17","o","i","j","g","oLetter","https://storage.googleapis.com/roar-ak/en/shared/oLetter.mp3","letterNameLower",1,-3.34467311726424,0.25,1,NA,NA,NA,NA,1,-3.34467311726424,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-5.78730569253387,0.25,1
"18","p","a","y","r","pLetter","https://storage.googleapis.com/roar-ak/en/shared/pLetter.mp3","letterNameLower",1,-2.46014009075513,0.25,1,NA,NA,NA,NA,1,-2.46014009075513,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-4.91404703611008,0.25,1
"19","q","a","j","l","qLetter","https://storage.googleapis.com/roar-ak/en/shared/qLetter.mp3","letterNameLower",1,-2.46579244478435,0.25,1,NA,NA,NA,NA,1,-2.46579244478435,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-4.82735736267501,0.25,1
"20","r","e","w","p","rLetter","https://storage.googleapis.com/roar-ak/en/shared/rLetter.mp3","letterNameLower",1,-2.76975576170586,0.25,1,NA,NA,NA,NA,1,-2.76975576170586,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-5.16328367137654,0.25,1
"21","s","o","q","z","sLetter","https://storage.googleapis.com/roar-ak/en/shared/sLetter.mp3","letterNameLower",1,-2.62213231655423,0.25,1,NA,NA,NA,NA,1,-2.62213231655423,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-5.05503764017957,0.25,1
"22","t","a","c","v","tLetter","https://storage.googleapis.com/roar-ak/en/shared/tLetter.mp3","letterNameLower",1,-2.70649604684216,0.25,1,NA,NA,NA,NA,1,-2.70649604684216,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-5.13581398077856,0.25,1
"23","u","i","p","t","uLetter","https://storage.googleapis.com/roar-ak/en/shared/uLetter.mp3","letterNameLower",1,-2.45369397463406,0.25,1,NA,NA,NA,NA,1,-2.45369397463406,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-4.90653213896249,0.25,1
"24","v","i","n","k","vLetter","https://storage.googleapis.com/roar-ak/en/shared/vLetter.mp3","letterNameLower",1,-2.1733019830755,0.25,1,NA,NA,NA,NA,1,-2.1733019830755,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-4.67300004166251,0.25,1
"25","w","a","s","n","wLetter","https://storage.googleapis.com/roar-ak/en/shared/wLetter.mp3","letterNameLower",1,-3.40705055085636,0.25,1,NA,NA,NA,NA,1,-3.40705055085636,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-5.77773012680313,0.25,1
"26","x","u","p","c","xLetter","https://storage.googleapis.com/roar-ak/en/shared/xLetter.mp3","letterNameLower",1,-3.42699378202659,0.25,1,NA,NA,NA,NA,1,-3.42699378202659,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-5.91971432833174,0.25,1
"27","y","a","k","d","yLetter","https://storage.googleapis.com/roar-ak/en/shared/yLetter.mp3","letterNameLower",1,-3.14514168521122,0.25,1,NA,NA,NA,NA,1,-3.14514168521122,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-5.55632146195577,0.25,1
"28","z","i","t","h","zLetter","https://storage.googleapis.com/roar-ak/en/shared/zLetter.mp3","letterNameLower",1,-3.25366793916211,0.25,1,NA,NA,NA,NA,1,-3.25366793916211,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-5.65211645405373,0.25,1
"29","A","U","W","M","aLetter","https://storage.googleapis.com/roar-ak/en/shared/aLetter.mp3","letterNameUpper",1,-3.27097287667706,0.25,1,1,-3.27097287667706,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-5.64007453132643,0.25,1
"30","B","O","D","H","bLetter","https://storage.googleapis.com/roar-ak/en/shared/bLetter.mp3","letterNameUpper",1,-2.19499102802609,0.25,1,1,-2.19499102802609,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-4.62176096375579,0.25,1
"31","C","U","R","L","cLetter","https://storage.googleapis.com/roar-ak/en/shared/cLetter.mp3","letterNameUpper",1,-2.7316391122065,0.25,1,1,-2.7316391122065,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-5.19389944734695,0.25,1
"32","D","A","J","F","dLetter","https://storage.googleapis.com/roar-ak/en/shared/dLetter.mp3","letterNameUpper",1,-2.70777544104425,0.25,1,1,-2.70777544104425,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-5.14820389951563,0.25,1
"33","E","U","D","Z","eLetter","https://storage.googleapis.com/roar-ak/en/shared/eLetter.mp3","letterNameUpper",1,-2.13352958125548,0.25,1,1,-2.13352958125548,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-4.5537806370813,0.25,1
"34","F","O","P","Q","fLetter","https://storage.googleapis.com/roar-ak/en/shared/fLetter.mp3","letterNameUpper",1,-2.8799687400933,0.25,1,1,-2.8799687400933,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-5.29718878191754,0.25,1
"35","G","E","X","H","gLetter","https://storage.googleapis.com/roar-ak/en/shared/gLetter.mp3","letterNameUpper",1,-2.31762349165623,0.25,1,1,-2.31762349165623,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-4.75357503579695,0.25,1
"36","H","U","G","W","hLetter","https://storage.googleapis.com/roar-ak/en/shared/hLetter.mp3","letterNameUpper",1,-2.13398711072332,0.25,1,1,-2.13398711072332,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-4.55759600697536,0.25,1
"37","I","U","T","B","iLetter","https://storage.googleapis.com/roar-ak/en/shared/iLetter.mp3","letterNameUpper",1,-2.34588181501479,0.25,1,1,-2.34588181501479,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-4.74459798390709,0.25,1
"38","J","A","V","H","jLetter","https://storage.googleapis.com/roar-ak/en/shared/jLetter.mp3","letterNameUpper",1,-2.59102360780205,0.25,1,1,-2.59102360780205,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-5.01160742343224,0.25,1
"39","K","I","X","C","kLetter","https://storage.googleapis.com/roar-ak/en/shared/kLetter.mp3","letterNameUpper",1,-2.04789507685946,0.25,1,1,-2.04789507685946,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-4.48232999096383,0.25,1
"40","L","I","M","X","lLetter","https://storage.googleapis.com/roar-ak/en/shared/lLetter.mp3","letterNameUpper",1,-2.38903203143382,0.25,1,1,-2.38903203143382,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-4.81367684818754,0.25,1
"41","M","A","X","K","mLetter","https://storage.googleapis.com/roar-ak/en/shared/mLetter.mp3","letterNameUpper",1,-2.77433435752357,0.25,1,1,-2.77433435752357,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-5.24415576534211,0.25,1
"42","N","A","F","R","nLetter","https://storage.googleapis.com/roar-ak/en/shared/nLetter.mp3","letterNameUpper",1,-2.39172402326072,0.25,1,1,-2.39172402326072,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-4.83303289815163,0.25,1
"43","O","I","J","G","oLetter","https://storage.googleapis.com/roar-ak/en/shared/oLetter.mp3","letterNameUpper",1,-3.34745046844541,0.25,1,1,-3.34745046844541,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-5.82909323382418,0.25,1
"44","P","A","Y","R","pLetter","https://storage.googleapis.com/roar-ak/en/shared/pLetter.mp3","letterNameUpper",1,-2.413476079082,0.25,1,1,-2.413476079082,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-4.78956299574726,0.25,1
"45","Q","A","J","L","qLetter","https://storage.googleapis.com/roar-ak/en/shared/qLetter.mp3","letterNameUpper",1,-2.68154748718867,0.25,1,1,-2.68154748718867,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-5.11016202087948,0.25,1
"46","R","E","W","P","rLetter","https://storage.googleapis.com/roar-ak/en/shared/rLetter.mp3","letterNameUpper",1,-2.66216790954425,0.25,1,1,-2.66216790954425,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-4.99674017051038,0.25,1
"47","S","O","Q","Z","sLetter","https://storage.googleapis.com/roar-ak/en/shared/sLetter.mp3","letterNameUpper",1,-2.72175325254269,0.25,1,1,-2.72175325254269,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-5.17967519561867,0.25,1
"48","T","A","C","V","tLetter","https://storage.googleapis.com/roar-ak/en/shared/tLetter.mp3","letterNameUpper",1,-2.43097378396161,0.25,1,1,-2.43097378396161,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-4.92440483490827,0.25,1
"49","U","I","P","T","uLetter","https://storage.googleapis.com/roar-ak/en/shared/uLetter.mp3","letterNameUpper",1,-2.53336630236536,0.25,1,1,-2.53336630236536,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-5.03081528484021,0.25,1
"50","V","I","N","K","vLetter","https://storage.googleapis.com/roar-ak/en/shared/vLetter.mp3","letterNameUpper",1,-2.04283825530283,0.25,1,1,-2.04283825530283,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-4.49573442863783,0.25,1
"51","W","A","S","N","wLetter","https://storage.googleapis.com/roar-ak/en/shared/wLetter.mp3","letterNameUpper",1,-3.16207932486033,0.25,1,1,-3.16207932486033,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-5.54284526818917,0.25,1
"52","X","U","P","C","xLetter","https://storage.googleapis.com/roar-ak/en/shared/xLetter.mp3","letterNameUpper",1,-3.1758211214623,0.25,1,1,-3.1758211214623,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-5.68479187417407,0.25,1
"53","Y","A","K","D","yLetter","https://storage.googleapis.com/roar-ak/en/shared/yLetter.mp3","letterNameUpper",1,-2.69896868723918,0.25,1,1,-2.69896868723918,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-5.13420023083141,0.25,1
"54","Z","I","T","H","zLetter","https://storage.googleapis.com/roar-ak/en/shared/zLetter.mp3","letterNameUpper",1,-2.9449351540717,0.25,1,1,-2.9449351540717,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-5.41573199495735,0.25,1
"55","t","d","r","u","tPhoneme","https://storage.googleapis.com/roar-ak/en/shared/tPhoneme.mp3","letterPhonemePractice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-2.68608786526747,0.25,1,NA,NA,NA,NA
"56","s","n","v","k","sPhoneme","https://storage.googleapis.com/roar-ak/en/shared/sPhoneme.mp3","letterPhonemePractice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-2.51356177724301,0.25,1,NA,NA,NA,NA
"57","a","u","y","g","aShortPhoneme","https://storage.googleapis.com/roar-ak/en/shared/aShortPhoneme.mp3","letterPhoneme",1,-2.16147864210807,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,1,-2.16147864210807,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,1,-4.48519489651962,0.25,1
"58","e","u","r","c","eShortPhoneme","https://storage.googleapis.com/roar-ak/en/shared/eShortPhoneme.mp3","letterPhoneme",1,-1.4821131466502,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,1,-1.4821131466502,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,1,-3.90594903370582,0.25,1
"59","i","u","r","j","iShortPhoneme","https://storage.googleapis.com/roar-ak/en/shared/iShortPhoneme.mp3","letterPhoneme",1,-1.33836979449235,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,1,-1.33836979449235,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,1,-3.7322206801069,0.25,1
"60","o","e","b","h","oShortPhoneme","https://storage.googleapis.com/roar-ak/en/shared/oShortPhoneme.mp3","letterPhoneme",1,-1.71045835137528,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,1,-1.71045835137528,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,1,-3.83187315089643,0.25,1
"61","u","e","h","f","uShortPhoneme","https://storage.googleapis.com/roar-ak/en/shared/uShortPhoneme.mp3","letterPhoneme",1,-1.08443286973031,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,1,-1.08443286973031,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,1,-3.40832367981998,0.25,1
"62","a","o","m","w","aLongPhoneme","https://storage.googleapis.com/roar-ak/en/shared/aLongPhoneme.mp3","letterPhoneme",1,-2.99397130729678,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,1,-2.99397130729678,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,1,-5.38901682657799,0.25,1
"63","e","i","v","w","eLongPhoneme","https://storage.googleapis.com/roar-ak/en/shared/eLongPhoneme.mp3","letterPhoneme",1,-1.52330812979247,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,1,-1.52330812979247,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,1,-4.05592059639204,0.25,1
"64","i","o","x","w","iLongPhoneme","https://storage.googleapis.com/roar-ak/en/shared/iLongPhoneme.mp3","letterPhoneme",1,-2.81025248199393,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,1,-2.81025248199393,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,1,-5.31155367099574,0.25,1
"65","o","a","v","y","oLongPhoneme","https://storage.googleapis.com/roar-ak/en/shared/oLongPhoneme.mp3","letterPhoneme",1,-3.21946676416984,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,1,-3.21946676416984,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,1,-5.71151609086393,0.25,1
"66","u","i","g","z","uLongPhoneme","https://storage.googleapis.com/roar-ak/en/shared/uLongPhoneme.mp3","letterPhoneme",1,-2.19575388047128,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,1,-2.19575388047128,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,1,-4.69289759927864,0.25,1
"67","b","e","h","l","bPhoneme","https://storage.googleapis.com/roar-ak/en/shared/bPhoneme.mp3","letterPhoneme",1,-2.00575235648946,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,1,-2.00575235648946,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,1,-4.43300058922619,0.25,1
"68","c","i","t","g","cSoftPhoneme","https://storage.googleapis.com/roar-ak/en/shared/cSoftPhoneme.mp3","letterPhoneme",1,-0.798425322191993,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,1,-0.798425322191993,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,1,-3.11146665760795,0.25,1
"69","c","e","j","p","cHardPhoneme","https://storage.googleapis.com/roar-ak/en/shared/cHardPhoneme.mp3","letterPhoneme",1,-1.6767123945185,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,1,-1.6767123945185,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,1,-3.97618451161329,0.25,1
"70","d","a","k","h","dPhoneme","https://storage.googleapis.com/roar-ak/en/shared/dPhoneme.mp3","letterPhoneme",1,-2.39119224392503,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,1,-2.39119224392503,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,1,-4.66413179800295,0.25,1
"71","f","u","r","g","fPhoneme","https://storage.googleapis.com/roar-ak/en/shared/fPhoneme.mp3","letterPhoneme",1,-1.32830300417115,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,1,-1.32830300417115,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,1,-3.82222715462866,0.25,1
"72","g","i","n","s","gSoftPhoneme","https://storage.googleapis.com/roar-ak/en/shared/gSoftPhoneme.mp3","letterPhoneme",1,-1.77150078748313,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,1,-1.77150078748313,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,1,-4.19417541117365,0.25,1
"73","g","e","l","k","gHardPhoneme","https://storage.googleapis.com/roar-ak/en/shared/gHardPhoneme.mp3","letterPhoneme",1,-1.96693409062816,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,1,-1.96693409062816,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,1,-4.41934473418933,0.25,1
"74","h","o","m","t","hPhoneme","https://storage.googleapis.com/roar-ak/en/shared/hPhoneme.mp3","letterPhoneme",1,-1.74406740221653,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,1,-1.74406740221653,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,1,-4.05783377415905,0.25,1
"75","j","i","m","b","jPhoneme","https://storage.googleapis.com/roar-ak/en/shared/jPhoneme.mp3","letterPhoneme",1,-1.89297190175747,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,1,-1.89297190175747,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,1,-4.40337333788404,0.25,1
"76","k","a","s","w","kPhoneme","https://storage.googleapis.com/roar-ak/en/shared/kPhoneme.mp3","letterPhoneme",1,-1.78433675245474,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,1,-1.78433675245474,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,1,-4.29053155623478,0.25,1
"77","l","e","b","f","lPhoneme","https://storage.googleapis.com/roar-ak/en/shared/lPhoneme.mp3","letterPhoneme",1,-1.35521233083741,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,1,-1.35521233083741,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,1,-3.7357211371093,0.25,1
"78","m","i","t","p","mPhoneme","https://storage.googleapis.com/roar-ak/en/shared/mPhoneme.mp3","letterPhoneme",1,-2.74726250828505,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,1,-2.74726250828505,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,1,-5.1575903421283,0.25,1
"79","n","o","z","d","nPhoneme","https://storage.googleapis.com/roar-ak/en/shared/nPhoneme.mp3","letterPhoneme",1,-2.04762252706783,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,1,-2.04762252706783,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,1,-4.46517157011957,0.25,1
"80","p","i","g","t","pPhoneme","https://storage.googleapis.com/roar-ak/en/shared/pPhoneme.mp3","letterPhoneme",1,-1.38043971981791,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,1,-1.38043971981791,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,1,-3.88342194839369,0.25,1
"81","r","u","s","m","rPhoneme","https://storage.googleapis.com/roar-ak/en/shared/rPhoneme.mp3","letterPhoneme",1,-1.9302040400265,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,1,-1.9302040400265,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,1,-4.39611799118557,0.25,1
"82","s","e","m","p","sPhoneme","https://storage.googleapis.com/roar-ak/en/shared/sPhoneme.mp3","letterPhoneme",1,-2.51356177724301,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,1,-2.51356177724301,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,1,-4.99155667310219,0.25,1
"83","t","a","r","m","tPhoneme","https://storage.googleapis.com/roar-ak/en/shared/tPhoneme.mp3","letterPhoneme",1,-2.68608786526747,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,1,-2.68608786526747,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,1,-5.09377406160032,0.25,1
"84","v","o","j","r","vPhoneme","https://storage.googleapis.com/roar-ak/en/shared/vPhoneme.mp3","letterPhoneme",1,-1.48855825544393,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,1,-1.48855825544393,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,1,-4.04562903382022,0.25,1
"85","w","u","m","l","wPhoneme","https://storage.googleapis.com/roar-ak/en/shared/wPhoneme.mp3","letterPhoneme",1,-1.25007686224533,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,1,-1.25007686224533,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,1,-3.69072686826194,0.25,1
