target,distractor1,distractor2,distractor3,audioFile,audioUrl,a,b,c,d,corpusId,source
dwou,dwoou,dwuo,dwie,ab34beta,https://storage.googleapis.com/roar-ak/en/shared/ab34beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
dwou,dwoou,dowu,dwa,ab35beta,https://storage.googleapis.com/roar-ak/en/shared/ab35beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
scripe,skcripe,csripe,scrupe,ab36beta,https://storage.googleapis.com/roar-ak/en/shared/ab36beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
floak,floaik,flaok,fluok,ab37beta,https://storage.googleapis.com/roar-ak/en/shared/ab37beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
plall,plaoll,lpall,plooll,ab38beta,https://storage.googleapis.com/roar-ak/en/shared/ab38beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
coove,coovve,ocove,ceeve,ab39beta,https://storage.googleapis.com/roar-ak/en/shared/ab39beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
shrode,sshrode,hsrode,shraode,ab40beta,https://storage.googleapis.com/roar-ak/en/shared/ab40beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
blodd,bllodd,lbodd,bluedd,ab41beta,https://storage.googleapis.com/roar-ak/en/shared/ab41beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
threar,cthear,htrear,threighr,ab42beta,https://storage.googleapis.com/roar-ak/en/shared/ab42beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
olai,yolai,olia,olou,ab43beta,https://storage.googleapis.com/roar-ak/en/shared/ab43beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
combel,coombel,cmobel,ceimbel,ab44beta,https://storage.googleapis.com/roar-ak/en/shared/ab44beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
zause,zausee,zaues,zese,ab45beta,https://storage.googleapis.com/roar-ak/en/shared/ab45beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
klaff,kliaff,klfaf,kluff,ab46beta,https://storage.googleapis.com/roar-ak/en/shared/ab46beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
snight,stnight,snihgt,snaught,ab47beta,https://storage.googleapis.com/roar-ak/en/shared/ab47beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
smouth,smouthh,smouht,smeath,ab48beta,https://storage.googleapis.com/roar-ak/en/shared/ab48beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
ghesh,gheesh,ghehs,gheush,ab49beta,https://storage.googleapis.com/roar-ak/en/shared/ab49beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
scilth,sciilth,csilth,scoalth,ab50beta,https://storage.googleapis.com/roar-ak/en/shared/ab50beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
froche,frochhe,frohce,frache,ab51beta,https://storage.googleapis.com/roar-ak/en/shared/ab51beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
durlow,durlowv,durlwo,durloue,ab52beta,https://storage.googleapis.com/roar-ak/en/shared/ab52beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
cebb,csebb,cbeb,ceubb,ab53beta,https://storage.googleapis.com/roar-ak/en/shared/ab53beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
squate,squaate,sqaute,squeet,ab54beta,https://storage.googleapis.com/roar-ak/en/shared/ab54beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
splowse,splowkse,spolwse,sploows,ab55beta,https://storage.googleapis.com/roar-ak/en/shared/ab55beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
shrunge,shruunge,srhunge,shreange,ab56beta,https://storage.googleapis.com/roar-ak/en/shared/ab56beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
chaquer,chhaquer,chaqeur,choquer,ab57beta,https://storage.googleapis.com/roar-ak/en/shared/ab57beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
preace,ppreace,preaec,proyce,ab58beta,https://storage.googleapis.com/roar-ak/en/shared/ab58beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
earye,earyve,eraey,earea,ab59beta,https://storage.googleapis.com/roar-ak/en/shared/ab59beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
sittle,sittlee,isttle,soattle,ab60beta,https://storage.googleapis.com/roar-ak/en/shared/ab60beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
stoarse,stpoarse,stoasre,sturse,ab61beta,https://storage.googleapis.com/roar-ak/en/shared/ab61beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
quede,quuede,uqede,quode,ab62beta,https://storage.googleapis.com/roar-ak/en/shared/ab62beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
wauce,waucse,wuace,waice,ab63beta,https://storage.googleapis.com/roar-ak/en/shared/ab63beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
skymph,skymbph,ksymph,skoimph,ab64beta,https://storage.googleapis.com/roar-ak/en/shared/ab64beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
chynch,chyynch,chnych,chonche,ab65beta,https://storage.googleapis.com/roar-ak/en/shared/ab65beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
wrounge,wrounmge,wruonge,wreange,ab66beta,https://storage.googleapis.com/roar-ak/en/shared/ab66beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
gneuth,gmneuth,ngeuth,gnoath,ab67beta,https://storage.googleapis.com/roar-ak/en/shared/ab67beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
schuss,schtuss,shcuss,schyss,ab68beta,https://storage.googleapis.com/roar-ak/en/shared/ab68beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
psyarc,psyarcx,psyacr,psyaorc,ab69beta,https://storage.googleapis.com/roar-ak/en/shared/ab69beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
pseuce,psseuce,pesuce,pseice,ab70beta,https://storage.googleapis.com/roar-ak/en/shared/ab70beta.mp3,1,0,0.25,1,textSoundPseudo,purcell
