itemId,target,distractor1,distractor2,distractor3,audioFile,audioUrl,a,b,c,d,corpusId,source,form,itemGroup,pattern,strategy
digraph-05,whid,wud,wod,wrod,whid,https://storage.googleapis.com/roar-ak/en/shared/whid.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,digraph,wh,B
digraph-06,thaff,hoff,taff,troff,thaff,https://storage.googleapis.com/roar-ak/en/shared/thaff.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,digraph,th,B
digraph-07,gneff,nuff,geff,gluff,gneff,https://storage.googleapis.com/roar-ak/en/shared/gneff.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,digraph,gn,B
digraph-08,shuzz,sozz,suzz,stozz,shuzz,https://storage.googleapis.com/roar-ak/en/shared/shuzz.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,digraph,sh,B
digraph-09,shub,zib,zub,slib,shub,https://storage.googleapis.com/roar-ak/en/shared/shub.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,digraph,sh,B
digraph-10,thock,teck,theck,trock,thock,https://storage.googleapis.com/roar-ak/en/shared/thock.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,digraph,th,B
digraph-11,pheg,pheb,prug,prub,pheg,https://storage.googleapis.com/roar-ak/en/shared/pheg.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,digraph,ph,A
digraph-12,choff,shaff,hoff,slaff,choff,https://storage.googleapis.com/roar-ak/en/shared/choff.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,digraph,ch,B
digraph-13,gnog,geg,gog,gneg,gnog,https://storage.googleapis.com/roar-ak/en/shared/gnog.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,digraph,gn,B
digraph-14,shad,skap,skad,shup,shad,https://storage.googleapis.com/roar-ak/en/shared/shad.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,digraph,sh,A
digraph-15,gnuss,gnuff,gress,gneff,gnuss,https://storage.googleapis.com/roar-ak/en/shared/gnuss.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,digraph,gn,A
digraph-16,chog,chot,clug,chut,chog,https://storage.googleapis.com/roar-ak/en/shared/chog.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,digraph,ch,A
digraph-17,quezz,kess,kozz,quoss,quezz,https://storage.googleapis.com/roar-ak/en/shared/quezz.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,digraph,qu,B
digraph-18,gnid,gnip,gred,gnep,gnid,https://storage.googleapis.com/roar-ak/en/shared/gnid.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,digraph,gn,A
digraph-19,chuss,cluzz,closs,chozz,chuss,https://storage.googleapis.com/roar-ak/en/shared/chuss.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,common,digraph,ch,A
digraph-20,phad,phaw,plud,phuw,phad,https://storage.googleapis.com/roar-ak/en/shared/phad.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,common,digraph,ph,A
vt-01,paib,pab,baip,bab,paib,https://storage.googleapis.com/roar-ak/en/shared/paib.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,vt,ai,B
vt-02,soik,sok,zoke,zok,soik,https://storage.googleapis.com/roar-ak/en/shared/soik.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,vt,oi,B
vt-03,sauch,seech,saich,soich,sauch_2,https://storage.googleapis.com/roar-ak/en/shared/sauch_2.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,vt,au,A
vt-04,zeik,zek,vake,vek,zeik,https://storage.googleapis.com/roar-ak/en/shared/zeik.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,vt,ei,B
vt-05,veim,vaum,voam,veem,veim,https://storage.googleapis.com/roar-ak/en/shared/veim.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,vt,ei,A
vt-06,heek,hek,neke,nek,heek,https://storage.googleapis.com/roar-ak/en/shared/heek.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,vt,ee,B
vt-07,toik,tok,toze,toz,toik,https://storage.googleapis.com/roar-ak/en/shared/toik.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,vt,oi,B
vt-08,zouch,zeech,zaich,zuich,zouch,https://storage.googleapis.com/roar-ak/en/shared/zouch.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,vt,ou,A
vt-09,woab,wuab,weab,woib,woab,https://storage.googleapis.com/roar-ak/en/shared/woab.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,vt,oa,A
vt-10,vaich,vach,voath,vath,vaich,https://storage.googleapis.com/roar-ak/en/shared/vaich.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,vt,ai,B
vt-11,heam,haim,hoam,huim,heam,https://storage.googleapis.com/roar-ak/en/shared/heam.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,vt,ea,A
vt-12,houd,hud,doah,dod,houd,https://storage.googleapis.com/roar-ak/en/shared/houd.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,vt,ou,B
vt-13,deas,dais,doas,dous,deas,https://storage.googleapis.com/roar-ak/en/shared/deas.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,vt,ea,A
vt-14,waig,weeg,gawe,waw,waig,https://storage.googleapis.com/roar-ak/en/shared/waig.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,vt,ai,B
vt-15,koik,kaik,keak,kouk,koik,https://storage.googleapis.com/roar-ak/en/shared/koik.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,vt,oi,A
vt-16,kaib,koib,koub,keab,kaib,https://storage.googleapis.com/roar-ak/en/shared/kaib.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,vt,ai,A
vt-17,bruid,brud,drube,drud,bruid,https://storage.googleapis.com/roar-ak/en/shared/bruid.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,vt,ui,B
vt-18,niep,noup,noog,nuig,niep,https://storage.googleapis.com/roar-ak/en/shared/niep.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,vt,ie,A
vt-19,slaip,sloip,plais,plois,slaip,https://storage.googleapis.com/roar-ak/en/shared/slaip.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,common,vt,ai,B
vt-20,laib,leeb,loib,loab,laib,https://storage.googleapis.com/roar-ak/en/shared/laib.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,common,vt,ai,A
i-blend-01,grup,grud,grep,prud,grup,https://storage.googleapis.com/roar-ak/en/shared/grup.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,i-blend,gr,A
i-blend-02,swoss,snass,swazz,snozz,swoss,https://storage.googleapis.com/roar-ak/en/shared/swoss.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,i-blend,sw,B
i-blend-03,sness,sneff,snuss,smeff,sness,https://storage.googleapis.com/roar-ak/en/shared/sness.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,i-blend,sn,A
i-blend-04,smet,srot,smod,sred,smet,https://storage.googleapis.com/roar-ak/en/shared/smet.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,i-blend,sm,B
i-blend-05,skay,skav,skoy,shav,skay,https://storage.googleapis.com/roar-ak/en/shared/skay.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,i-blend,sk,A
i-blend-06,tren,frin,trix,frex,tren,https://storage.googleapis.com/roar-ak/en/shared/tren.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,i-blend,tr,B
i-blend-07,slezz,sleff,slazz,steff,slezz,https://storage.googleapis.com/roar-ak/en/shared/slezz.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,i-blend,sl,A
i-blend-08,blazz,plozz,bloss,plass,blazz_2,https://storage.googleapis.com/roar-ak/en/shared/blazz_2.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,i-blend,bl,B
i-blend-09,griss,griff,gruss,gliff,griss_2,https://storage.googleapis.com/roar-ak/en/shared/griss_2.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,i-blend,gr,A
i-blend-10,drezz,prizz,drith,preth,drezz,https://storage.googleapis.com/roar-ak/en/shared/drezz.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,i-blend,dr,B
i-blend-11,swall,stull,swuzz,stazz,swall,https://storage.googleapis.com/roar-ak/en/shared/swall.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,i-blend,sw,B
i-blend-12,trid,prub,trud,prid,trid,https://storage.googleapis.com/roar-ak/en/shared/trid.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,i-blend,tr,B
i-blend-13,drep,dref,drup,druf,drep,https://storage.googleapis.com/roar-ak/en/shared/drep.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,i-blend,dr,A
i-blend-14,plut,blet,plen,blun,plut,https://storage.googleapis.com/roar-ak/en/shared/plut.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,i-blend,pl,B
i-blend-15,blass,blum,bluss,plam,blass,https://storage.googleapis.com/roar-ak/en/shared/blass.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,i-blend,bl,A
i-blend-16,preff,truff,prul,trel,preff,https://storage.googleapis.com/roar-ak/en/shared/preff.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,i-blend,pr,B
i-blend-17,prip,prif,prap,praf,prip,https://storage.googleapis.com/roar-ak/en/shared/prip.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,i-blend,pr,A
i-blend-18,brozz,truzz,bruss,tross,brozz,https://storage.googleapis.com/roar-ak/en/shared/brozz.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,i-blend,br,B
i-blend-19,spob,spog,speb,spug,spob,https://storage.googleapis.com/roar-ak/en/shared/spob.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,common,i-blend,sp,A
i-blend-20,grazz,crozz,groth,crath,grazz,https://storage.googleapis.com/roar-ak/en/shared/grazz.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,common,i-blend,gr,B
f-blend-01,yupt,vapt,yalp,vulp,yupt_2,https://storage.googleapis.com/roar-ak/en/shared/yupt_2.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,f-blend,pt,B
f-blend-02,kupt,kut,kuft,kup,kupt,https://storage.googleapis.com/roar-ak/en/shared/kupt.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,f-blend,pt,A
f-blend-03,femp,lemp,fimb,lemb,femp,https://storage.googleapis.com/roar-ak/en/shared/femp.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,f-blend,mp,B
f-blend-04,roct,noct,rast,nost,roct,https://storage.googleapis.com/roar-ak/en/shared/roct.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,f-blend,ct,B
f-blend-05,faft,tift,fipt,tapt,faft,https://storage.googleapis.com/roar-ak/en/shared/faft.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,f-blend,ft,B
f-blend-06,quask,quak,quank,quas,quask,https://storage.googleapis.com/roar-ak/en/shared/quask.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,f-blend,sk,A
f-blend-07,vind,vid,ving,vin,vind,https://storage.googleapis.com/roar-ak/en/shared/vind.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,f-blend,nd,A
f-blend-08,zask,zak,zast,zas,zask,https://storage.googleapis.com/roar-ak/en/shared/zask.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,f-blend,sk,A
f-blend-09,reld,hald,relt,helt,reld,https://storage.googleapis.com/roar-ak/en/shared/reld.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,f-blend,ld,B
f-blend-10,senk,zank,sant,zent,senk,https://storage.googleapis.com/roar-ak/en/shared/senk.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,f-blend,nk,B
f-blend-11,vonk,vok,volk,von,vonk_2,https://storage.googleapis.com/roar-ak/en/shared/vonk_2.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,f-blend,nk,A
f-blend-12,lomp,lop,lorp,lom,lomp,https://storage.googleapis.com/roar-ak/en/shared/lomp.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,f-blend,mp,A
f-blend-13,rask,rak,rafk,ras,rask,https://storage.googleapis.com/roar-ak/en/shared/rask.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,f-blend,sk,A
f-blend-14,vect,vek,velt,vec,vect,https://storage.googleapis.com/roar-ak/en/shared/vect.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,f-blend,ct,A
f-blend-15,geft,jaft,gapt,jept,geft,https://storage.googleapis.com/roar-ak/en/shared/geft.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,f-blend,ft,B
f-blend-16,menk,wunk,mulk,welk,menk,https://storage.googleapis.com/roar-ak/en/shared/menk.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,f-blend,nk,B
f-blend-17,velk,vek,vemk,vel,velk,https://storage.googleapis.com/roar-ak/en/shared/velk.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,f-blend,lk,A
f-blend-18,silp,zelp,serp,zirp,silp,https://storage.googleapis.com/roar-ak/en/shared/silp.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,f-blend,lp,B
f-blend-19,cisp,gesp,cesk,gisk,cisp,https://storage.googleapis.com/roar-ak/en/shared/cisp.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,common,f-blend,sp,B
f-blend-20,yect,joct,yolt,jelt,yect,https://storage.googleapis.com/roar-ak/en/shared/yect.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,common,f-blend,ct,B
r-ctrl-01,zorp,zop,zirp,zup,zorp,https://storage.googleapis.com/roar-ak/en/shared/zorp.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,r-ctrl,or,A
r-ctrl-02,gurz,garz,gurd,gard,gurz,https://storage.googleapis.com/roar-ak/en/shared/gurz.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,r-ctrl,ur,B
r-ctrl-03,vort,vot,virt,vit,vort,https://storage.googleapis.com/roar-ak/en/shared/vort.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,r-ctrl,or,A
r-ctrl-04,sird,sard,sirt,sart,sird,https://storage.googleapis.com/roar-ak/en/shared/sird.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,r-ctrl,ir,B
r-ctrl-05,burk,buk,bolk,bok,burk,https://storage.googleapis.com/roar-ak/en/shared/burk.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,r-ctrl,ur,A
r-ctrl-06,gark,gak,gork,gok,gark,https://storage.googleapis.com/roar-ak/en/shared/gark.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,r-ctrl,ar,A
r-ctrl-07,lurv,larv,lurz,larz,lurv,https://storage.googleapis.com/roar-ak/en/shared/lurv.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,r-ctrl,ur,B
r-ctrl-08,varn,vern,varl,verl,varn,https://storage.googleapis.com/roar-ak/en/shared/varn.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,r-ctrl,ar,B
r-ctrl-09,cerz,corz,cerx,corx,cerz,https://storage.googleapis.com/roar-ak/en/shared/cerz.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,r-ctrl,er,B
r-ctrl-10,kurg,kug,karg,kag,kurg,https://storage.googleapis.com/roar-ak/en/shared/kurg.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,r-ctrl,ur,A
r-ctrl-11,jirp,jarp,jirt,jart,jirp,https://storage.googleapis.com/roar-ak/en/shared/jirp.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,r-ctrl,ir,B
r-ctrl-12,nurb,norb,nurk,nork,nurb,https://storage.googleapis.com/roar-ak/en/shared/nurb.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,r-ctrl,ur,B
r-ctrl-13,zard,zad,zurd,zud,zard,https://storage.googleapis.com/roar-ak/en/shared/zard.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,r-ctrl,ar,A
r-ctrl-14,burb,borb,burl,borl,burb,https://storage.googleapis.com/roar-ak/en/shared/burb.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,r-ctrl,ur,B
r-ctrl-15,verx,vorx,verk,vork,verx,https://storage.googleapis.com/roar-ak/en/shared/verx.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,r-ctrl,er,B
r-ctrl-16,lert,lart,lerf,larf,lert,https://storage.googleapis.com/roar-ak/en/shared/lert.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,r-ctrl,er,B
r-ctrl-17,sorp,sarp,sorf,sarf,sorp,https://storage.googleapis.com/roar-ak/en/shared/sorp.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,r-ctrl,or,B
r-ctrl-18,durg,dorg,durb,dorb,durg,https://storage.googleapis.com/roar-ak/en/shared/durg.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,r-ctrl,ur,B
r-ctrl-19,larv,lav,lerv,lev,larv,https://storage.googleapis.com/roar-ak/en/shared/larv.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,common,r-ctrl,ar,A
r-ctrl-20,torv,tov,tirv,tiv,torv,https://storage.googleapis.com/roar-ak/en/shared/torv.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,common,r-ctrl,or,A
r-tri-01,mair,wair,mour,wour,mair,https://storage.googleapis.com/roar-ak/en/shared/mair.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,r-tri,air,A
r-tri-02,vair,voar,var,vir,vair,https://storage.googleapis.com/roar-ak/en/shared/vair.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,r-tri,air,B
r-tri-03,gare,jare,gour,jour,gare,https://storage.googleapis.com/roar-ak/en/shared/gare.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,r-tri,are,A
r-tri-04,quare,plare,quoar,ploar,quare,https://storage.googleapis.com/roar-ak/en/shared/quare.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,r-tri,are,A
r-tri-05,kear,koar,ker,kar,kear,https://storage.googleapis.com/roar-ak/en/shared/kear.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,r-tri,ear,B
r-tri-06,zear,zour,zer,zar,zear,https://storage.googleapis.com/roar-ak/en/shared/zear.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,r-tri,ear,B
r-tri-07,weer,wour,wer,wor,weer,https://storage.googleapis.com/roar-ak/en/shared/weer.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,r-tri,eer,B
r-tri-08,vere,vair,ver,var,vere,https://storage.googleapis.com/roar-ak/en/shared/vere.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,r-tri,ere,B
r-tri-09,sere,sair,ser,sar,sere,https://storage.googleapis.com/roar-ak/en/shared/sere.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,r-tri,ere,B
r-tri-10,zier,vier,zair,vair,zier,https://storage.googleapis.com/roar-ak/en/shared/zier.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,r-tri,ier,A
r-tri-11,kier,gier,kire,gire,kier,https://storage.googleapis.com/roar-ak/en/shared/kier.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,r-tri,ier,A
r-tri-12,bire,pire,bere,pere,bire,https://storage.googleapis.com/roar-ak/en/shared/bire.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,r-tri,ire,A
r-tri-13,nier,hier,nuir,huir,nier,https://storage.googleapis.com/roar-ak/en/shared/nier.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,r-tri,ier,A
r-tri-14,jure,fure,jere,fere,jure,https://storage.googleapis.com/roar-ak/en/shared/jure.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,r-tri,ure,A
r-tri-15,dure,gure,doar,goar,dure,https://storage.googleapis.com/roar-ak/en/shared/dure.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,r-tri,ure,A
r-tri-16,zoar,zure,zur,zar,zoar,https://storage.googleapis.com/roar-ak/en/shared/zoar.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,r-tri,oar,B
r-tri-17,joor,jeir,jair,jear,joor,https://storage.googleapis.com/roar-ak/en/shared/joor.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,r-tri,oor,B
r-tri-18,zore,vor,zure,vuir,zore,https://storage.googleapis.com/roar-ak/en/shared/zore.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,r-tri,ore,B
r-tri-19,vour,vure,vur,ver,vour,https://storage.googleapis.com/roar-ak/en/shared/vour.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,common,r-tri,our,B
r-tri-20,lour,kour,leir,keir,lour,https://storage.googleapis.com/roar-ak/en/shared/lour.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,common,r-tri,our,A
silent-e-01,baze,bap,bipe,baz,baze,https://storage.googleapis.com/roar-ak/en/shared/baze.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,silent-e,a_e,A
silent-e-02,koze,kave,kaze,kove,koze,https://storage.googleapis.com/roar-ak/en/shared/koze.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,silent-e,o_e,B
silent-e-03,lage,lude,lape,lade,lage,https://storage.googleapis.com/roar-ak/en/shared/lage.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,silent-e,a_e,B
silent-e-04,debe,dob,dobe,deb,debe,https://storage.googleapis.com/roar-ak/en/shared/debe.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,silent-e,e_e,A
silent-e-05,hebe,heb,habe,hab,hebe,https://storage.googleapis.com/roar-ak/en/shared/hebe.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,silent-e,e_e,A
silent-e-06,hime,hane,hame,hibe,hime,https://storage.googleapis.com/roar-ak/en/shared/hime.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,silent-e,i_e,B
silent-e-07,teve,tev,tave,tav,teve,https://storage.googleapis.com/roar-ak/en/shared/teve.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,silent-e,e_e,A
silent-e-08,nide,nid,nade,nad,nide,https://storage.googleapis.com/roar-ak/en/shared/nide.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,silent-e,i_e,A
silent-e-09,rafe,raf,rebe,reb,rafe,https://storage.googleapis.com/roar-ak/en/shared/rafe.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,silent-e,a_e,A
silent-e-10,mipe,mege,mepe,mige,mipe,https://storage.googleapis.com/roar-ak/en/shared/mipe.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,silent-e,i_e,B
