itemId,target,distractor1,distractor2,distractor3,audioFile,audioUrl,a,b,c,d,corpusId,source,form,itemGroup,pattern,
f-blend-6,quask,quank,miusk,jopt,quask,https://storage.googleapis.com/roar-ak/en/shared/quask.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,f-blend,sk,
f-blend-7,vect,vasp,noct,jant,vect,https://storage.googleapis.com/roar-ak/en/shared/vect.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,f-blend,ct,
f-blend-8,faft,feng,wift,queld,faft,https://storage.googleapis.com/roar-ak/en/shared/faft.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,f-blend,ft,
f-blend-9,vind,vunt,gend,gelk,vind,https://storage.googleapis.com/roar-ak/en/shared/vind.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,f-blend,nd,
f-blend-10,menk,mopt,qink,quost,menk,https://storage.googleapis.com/roar-ak/en/shared/menk.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,f-blend,nk,
f-blend-11,zask,zulp,pesk,mesk,zask,https://storage.googleapis.com/roar-ak/en/shared/zask.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,f-blend,sk,
f-blend-12,cisp,cont,husp,kont,cisp,https://storage.googleapis.com/roar-ak/en/shared/cisp.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,f-blend,sp,
f-blend-13,yect,yasp,cict,tisk,yect,https://storage.googleapis.com/roar-ak/en/shared/yect.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,f-blend,ct,
f-blend-14,reld,rost,dild,muct,reld,https://storage.googleapis.com/roar-ak/en/shared/reld.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,f-blend,ld,
f-blend-15,femp,fosp,gomp,dact,femp,https://storage.googleapis.com/roar-ak/en/shared/femp.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,f-blend,mp,
f-blend-16,vonk,velt,qank,lalk,vonk,https://storage.googleapis.com/roar-ak/en/shared/vonk.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,f-blend,nk,
f-blend-17,yupt,yent,nopt,fopt,yupt,https://storage.googleapis.com/roar-ak/en/shared/yupt.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,f-blend,pt,
f-blend-18,rask,reng,qusk,keft,rask,https://storage.googleapis.com/roar-ak/en/shared/rask.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,f-blend,sk,
f-blend-19,silp,sult,halp,gunt,silp,https://storage.googleapis.com/roar-ak/en/shared/silp.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,common,f-blend,lp,
f-blend-20,kupt,kalp,napt,hisp,kupt,https://storage.googleapis.com/roar-ak/en/shared/kupt.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,common,f-blend,pt,
i-blend-1,spob,sem,gnib,zum,spob,https://storage.googleapis.com/roar-ak/en/shared/spob.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,i-blend,ap,
i-blend-2,blass,bim,quuss,jen,blass,https://storage.googleapis.com/roar-ak/en/shared/blass.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,i-blend,bl,
i-blend-3,drezz,dur,quazz,quoll,drezz,https://storage.googleapis.com/roar-ak/en/shared/drezz.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,i-blend,dr,
i-blend-4,griss,guck,gnass,yup,griss,https://storage.googleapis.com/roar-ak/en/shared/griss.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,i-blend,gr,
i-blend-5,swall,sut,gnull,der,swall,https://storage.googleapis.com/roar-ak/en/shared/swall.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,i-blend,sw,
i-blend-6,tren,tozz,gnon,tiv,tren,https://storage.googleapis.com/roar-ak/en/shared/tren.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,i-blend,tr,
i-blend-7,blazz,bip,phuzz,kiff,blazz,https://storage.googleapis.com/roar-ak/en/shared/blazz.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,i-blend,bl,
i-blend-8,drep,dov,gnup,gass,drep,https://storage.googleapis.com/roar-ak/en/shared/drep.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,i-blend,dr,
i-blend-9,grazz,gop,knozz,vir,grazz,https://storage.googleapis.com/roar-ak/en/shared/grazz.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,i-blend,gr,
i-blend-10,preff,pum,knoff,jozz,preff,https://storage.googleapis.com/roar-ak/en/shared/preff.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,i-blend,pr,
i-blend-11,skay,siff,gney,niv,skay,https://storage.googleapis.com/roar-ak/en/shared/skay.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,i-blend,sk,
i-blend-12,smet,sass,shick,vod,smet,https://storage.googleapis.com/roar-ak/en/shared/smet.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,i-blend,sm,
i-blend-13,brozz,bess,knezz,jax,brozz,https://storage.googleapis.com/roar-ak/en/shared/brozz.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,i-blend,br,
i-blend-14,grup,gox,chep,quoss,grup,https://storage.googleapis.com/roar-ak/en/shared/grup.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,i-blend,gr,
i-blend-15,plut,pev,chot,dir,plut,https://storage.googleapis.com/roar-ak/en/shared/plut.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,i-blend,pl,
i-blend-16,prip,pex,gnep,guck,prip,https://storage.googleapis.com/roar-ak/en/shared/prip.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,i-blend,pr,
i-blend-17,slezz,sut,thizz,wiff,slezz,https://storage.googleapis.com/roar-ak/en/shared/slezz.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,i-blend,sl,
i-blend-18,swoss,suv,chuss,geb,swoss,https://storage.googleapis.com/roar-ak/en/shared/swoss.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,i-blend,sw,
i-blend-19,sness,siff,gniss,jozz,sness,https://storage.googleapis.com/roar-ak/en/shared/sness.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,common,i-blend,sn,
i-blend-20,trib,tuv,thab,quax,trib,https://storage.googleapis.com/roar-ak/en/shared/trib.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,common,i-blend,tr,
r-ctrl-1,gark,gug,hik,bozz,gark,https://storage.googleapis.com/roar-ak/en/shared/gark.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,r-ctrl,ar,
r-ctrl-2,wern,wozz,zen,wov,wern,https://storage.googleapis.com/roar-ak/en/shared/wern.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,r-ctrl,er,
r-ctrl-3,sirm,sass,fum,dezz,sirm,https://storage.googleapis.com/roar-ak/en/shared/sirm.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,r-ctrl,ir,
r-ctrl-4,sorp,saff,vup,cir,sorp,https://storage.googleapis.com/roar-ak/en/shared/sorp.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,r-ctrl,or,
r-ctrl-5,nurb,nass,bab,wuv,nurb,https://storage.googleapis.com/roar-ak/en/shared/nurb.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,r-ctrl,ur,
r-ctrl-6-mod1,burk,bev,nok,tizz,burk,https://storage.googleapis.com/roar-ak/en/shared/burk.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,r-ctrl,ur,
r-ctrl-7,zard,zock,lud,vur,zard,https://storage.googleapis.com/roar-ak/en/shared/zard.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,r-ctrl,ar,
r-ctrl-8,cerz,cick,dez,wix,cerz,https://storage.googleapis.com/roar-ak/en/shared/cerz.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,r-ctrl,er,
r-ctrl-9,kirv,keff,jav,ziv,kirv,https://storage.googleapis.com/roar-ak/en/shared/kirv.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,r-ctrl,ir,
r-ctrl-10,torv,tom,zev,nop,torv,https://storage.googleapis.com/roar-ak/en/shared/torv.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,r-ctrl,or,
r-ctrl-11,durg,dur,wug,dizz,durg,https://storage.googleapis.com/roar-ak/en/shared/durg.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,r-ctrl,ur,
r-ctrl-12,burb,bim,lub,puv,burb,https://storage.googleapis.com/roar-ak/en/shared/burb.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,r-ctrl,ur,
r-ctrl-13,larv,lor,rav,jub,larv,https://storage.googleapis.com/roar-ak/en/shared/larv.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,r-ctrl,ar,
r-ctrl-14,verx,vir,nax,liff,verx,https://storage.googleapis.com/roar-ak/en/shared/verx.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,r-ctrl,er,
r-ctrl-15,jirp,jom,vop,fev,jirp,https://storage.googleapis.com/roar-ak/en/shared/jirp.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,r-ctrl,ir,
r-ctrl-16,zorp,zix,jip,ked,zorp,https://storage.googleapis.com/roar-ak/en/shared/zorp.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,r-ctrl,or,
r-ctrl-17,lurv,leb,cuv,suss,lurv,https://storage.googleapis.com/roar-ak/en/shared/lurv.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,r-ctrl,ur,
r-ctrl-18,gurz,gub,piz,quim,gurz,https://storage.googleapis.com/roar-ak/en/shared/gurz.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,r-ctrl,ur,
r-ctrl-19,varn,var,len,lom,varn,https://storage.googleapis.com/roar-ak/en/shared/varn.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,common,r-ctrl,ar,
r-ctrl-20,lert,liff,nat,pov,lert,https://storage.googleapis.com/roar-ak/en/shared/lert.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,common,r-ctrl,er,
r-tri-1,nair,naub,vire,kuiv,nair,https://storage.googleapis.com/roar-ak/en/shared/nair.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,r-tri,air,
r-tri-2,weer,waip,jore,zews,weer,https://storage.googleapis.com/roar-ak/en/shared/weer.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,r-tri,eer,
r-tri-3,sere,saum,quoar,rowx,sere,https://storage.googleapis.com/roar-ak/en/shared/sere.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,r-tri,ere,
r-tri-4,zier,zook,jore,vaul,zier,https://storage.googleapis.com/roar-ak/en/shared/zier.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,r-tri,ier,
r-tri-5,zoar,zoop,kare,neit,zoar,https://storage.googleapis.com/roar-ak/en/shared/zoar.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,r-tri,oar,
r-tri-6,vour,voem,vire,ture,vour,https://storage.googleapis.com/roar-ak/en/shared/vour.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,r-tri,our,
r-tri-7,vair,vuit,deir,puiz,vair,https://storage.googleapis.com/roar-ak/en/shared/vair.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,r-tri,air,
r-tri-8,zear,zeef,dier,leed,zear,https://storage.googleapis.com/roar-ak/en/shared/zear.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,r-tri,ear,
r-tri-9,vere,vous,kure,souz,vere,https://storage.googleapis.com/roar-ak/en/shared/vere.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,r-tri,ere,
r-tri-10,kier,kaut,fier,saun,kier,https://storage.googleapis.com/roar-ak/en/shared/kier.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,r-tri,ier,
r-tri-11,joor,jous,yire,vaun,joor,https://storage.googleapis.com/roar-ak/en/shared/joor.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,r-tri,oor,
r-tri-12,dure,diev,cear,rieb,dure,https://storage.googleapis.com/roar-ak/en/shared/dure.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,r-tri,ure,
r-tri-13,gare,goob,feer,yeim,gare,https://storage.googleapis.com/roar-ak/en/shared/gare.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,r-tri,are,
r-tri-14,kear,koar,dair,booc,kear,https://storage.googleapis.com/roar-ak/en/shared/kear.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,r-tri,ear,
r-tri-15,nier,niet,soor,zawd,nire,https://storage.googleapis.com/roar-ak/en/shared/nire.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,r-tri,ier,
r-tri-16,zore,zoet,dier,heag,zore,https://storage.googleapis.com/roar-ak/en/shared/zore.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,r-tri,ore,
r-tri-17,lour,lare,dure,neef,lour,https://storage.googleapis.com/roar-ak/en/shared/lour.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,r-tri,our,
r-tri-18,jure,joam,beir,niet,jure,https://storage.googleapis.com/roar-ak/en/shared/jure.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,r-tri,ure,
r-tri-19,quare,quim,noir,goef,quare,https://storage.googleapis.com/roar-ak/en/shared/quare.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,common,r-tri,are,
r-tri-20,bire,boav,zair,voog,bire,https://storage.googleapis.com/roar-ak/en/shared/bire.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,common,r-tri,ire,
silent-e-1,lage,laum,zoge,viem,lage,https://storage.googleapis.com/roar-ak/en/shared/lage.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,silent-e,a_e,
silent-e-2,hebe,hews,fube,neen,hebe,https://storage.googleapis.com/roar-ak/en/shared/hebe.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,silent-e,e_e,
silent-e-3,mipe,mook,ture,joad,mipe,https://storage.googleapis.com/roar-ak/en/shared/mipe.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,silent-e,i_e,
silent-e-4,nole,noed,zore,tuim,nole,https://storage.googleapis.com/roar-ak/en/shared/nole.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,silent-e,o_e,
silent-e-5,koze,kaws,sule,quoak,koze,https://storage.googleapis.com/roar-ak/en/shared/koze.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,silent-e,o_e,
silent-e-6,hute,hiet,rute,yoim,hute,https://storage.googleapis.com/roar-ak/en/shared/hute.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,silent-e,u_e,
silent-e-7,rabe,ried,dane,guin,rabe,https://storage.googleapis.com/roar-ak/en/shared/rabe.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,silent-e,a_e,
silent-e-8,teve,tead,muge,poim,teve,https://storage.googleapis.com/roar-ak/en/shared/teve.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,silent-e,e_e,
silent-e-9,nide,noid,fude,taik,nide,https://storage.googleapis.com/roar-ak/en/shared/nide.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,silent-e,i_e,
silent-e-10,dobe,dowt,pabe,yoet,dobe,https://storage.googleapis.com/roar-ak/en/shared/dobe.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,silent-e,o_e,
silent-e-11,vule,vous,kule,piek,vule,https://storage.googleapis.com/roar-ak/en/shared/vule.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,silent-e,u_e,
silent-e-12,fute,fuim,zite,feit,fute,https://storage.googleapis.com/roar-ak/en/shared/fute.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,silent-e,u_e,
silent-e-13,bape,baut,yane,piel,bape,https://storage.googleapis.com/roar-ak/en/shared/bape.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,silent-e,a_e,
silent-e-14,rene,roon,zere,doak,rene,https://storage.googleapis.com/roar-ak/en/shared/rene.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,silent-e,e_e,
silent-e-15,hime,hewm,pume,boug,hime,https://storage.googleapis.com/roar-ak/en/shared/hime.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,silent-e,i_e,
silent-e-16,jite,jeam,vute,zowl,jite,https://storage.googleapis.com/roar-ak/en/shared/jite.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,silent-e,i_e,
silent-e-17,vode,vaul,nade,meil,vode,https://storage.googleapis.com/roar-ak/en/shared/vode.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,silent-e,o_e,
silent-e-18,zule,zoed,jole,voor,zule,https://storage.googleapis.com/roar-ak/en/shared/zule.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,silent-e,u_e,
silent-e-19,yame,yuim,hege,jeag,yame,https://storage.googleapis.com/roar-ak/en/shared/yame.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,common,silent-e,a_e,
silent-e-20,sile,sauk,fuge,hows,sile,https://storage.googleapis.com/roar-ak/en/shared/sile.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,common,silent-e,i_e,
tri-blend-1,scrid,frud,suig,kead,scrid,https://storage.googleapis.com/roar-ak/en/shared/scrid.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,tri-blend,scr,
tri-blend-2,shrap,skap,soeg,doos,shrap,https://storage.googleapis.com/roar-ak/en/shared/shrap.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,tri-blend,shr,
tri-blend-3,splem,blem,soas,yeik,splem,https://storage.googleapis.com/roar-ak/en/shared/splem.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,tri-blend,spl,
tri-blend-4,sprun,blen,sewt,wowg,sprun,https://storage.googleapis.com/roar-ak/en/shared/sprun.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,tri-blend,spr,
tri-blend-5,strom,bram,seid,nour,strom,https://storage.googleapis.com/roar-ak/en/shared/strom.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,tri-blend,str,
tri-blend-6,threp,crep,taug,zean,threp,https://storage.googleapis.com/roar-ak/en/shared/threp.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,tri-blend,thr,
tri-blend-7,scron,glin,suin,yool,scron,https://storage.googleapis.com/roar-ak/en/shared/scron.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,tri-blend,scr,
tri-blend-8,shrim,slem,sayr,teag,shrim,https://storage.googleapis.com/roar-ak/en/shared/shrim.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,tri-blend,shr,
tri-blend-9,splut,stit,saik,mowm,splut,https://storage.googleapis.com/roar-ak/en/shared/splut.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,tri-blend,spl,
tri-blend-10,sprek,flok,soet,quawd,sprek,https://storage.googleapis.com/roar-ak/en/shared/sprek.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,tri-blend,spr,
tri-blend-11,strat,skot,sawr,fiem,strat,https://storage.googleapis.com/roar-ak/en/shared/strat.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,tri-blend,str,
