sentence,answer,direction,corpusId,itemId
Die meisten Menschen haben zwei Beine.,TRUE,right,uzh,uzh_149
"Telefongespräche verhindern, dass Menschen überhaupt reden.",FALSE,left,uzh,uzh_150
"Impfungen tragen dazu bei, uns vor Krankheiten zu schützen.",TRUE,right,uzh,uzh_151
"Kleinkinder machen einen Mittagsschlaf, um sich auszuruhen und Energie zu tanken.",TRUE,right,uzh,uzh_152
Eine Lehrerin hilft uns beim Lernen.,TRUE,right,uzh,uzh_153
Zebras haben Punkte und leben unter der Erde.,FALSE,left,uzh,uzh_154
Pflanzen brauchen Wasser und Sonnenlicht.,TRUE,right,uzh,uzh_155
Hunde pflanzen Blumen.,FALSE,left,uzh,uzh_156
Im Bett wird nachts getanzt.,FALSE,left,uzh,uzh_157
Es gibt nur Zeichentrickfilme für Erwachsene und keine für Kinder.,FALSE,left,uzh,uzh_158
Beim Blumen pflücken schneit es immer.,FALSE,left,uzh,uzh_159
Regenbogen haben nur eine Farbe.,FALSE,left,uzh,uzh_160
Pinguine können fliegen.,FALSE,left,uzh,uzh_161
Hunde können bellen.,TRUE,right,uzh,uzh_162
Im Ofen kann man Kuchen backen.,TRUE,right,uzh,uzh_163
Bienen sind kleine Tiere die Honig machen. ,TRUE,right,uzh,uzh_164
Vögel haben Schuppen.,FALSE,left,uzh,uzh_165
Wale sind Reptilien.,FALSE,left,uzh,uzh_166
Vor dem Schlafengehen ziehen wir Pyjamas an.,TRUE,right,uzh,uzh_167
Bären sind winzig und schwach.,FALSE,left,uzh,uzh_168
"Musik kann auf Instrumenten wie Schlagzeug, Gitarre und Klavier gespielt werden.",TRUE,right,uzh,uzh_169
Kinder spielen in der Stratosphäre.,FALSE,left,uzh,uzh_170
Flugzeuge fliegen am Himmel.,TRUE,right,uzh,uzh_171
Wir essen mit einer Garage.,FALSE,left,uzh,uzh_172
Eis ist scharf und bitter.,FALSE,left,uzh,uzh_173
Du gehst nachts schlafen.,TRUE,right,uzh,uzh_174
Eine Autohupe hupt laut.,TRUE,right,uzh,uzh_175
Frösche können im Wasser springen und schwimmen.,TRUE,right,uzh,uzh_176
Auf dem Flohmarkt werden Traktoren ausgestellt.,FALSE,left,uzh,uzh_177
Aus einer Raupe wird ein Nashorn.,FALSE,left,uzh,uzh_178
"Die Leute lachen, wenn Dinge lustig sind.",TRUE,right,uzh,uzh_179
Menschen haben unterschiedliche Haarfarben.,TRUE,right,uzh,uzh_180
Brot ist ein seltenes Lebensmittel.,FALSE,left,uzh,uzh_181
Wir gehen mit unseren Händen.,FALSE,left,uzh,uzh_182
Schneeflocken sind schwarz und rau.,FALSE,left,uzh,uzh_183
Züge schwimmen auf Bahngleisen.,FALSE,left,uzh,uzh_184
"Die Jahreszeiten sind Frühling, Sommer, Herbst und Winter.",TRUE,right,uzh,uzh_185
Elefanten sind blau und klein.,FALSE,left,uzh,uzh_186
Die Erdbeere ist eine rote Frucht.,TRUE,right,uzh,uzh_187
"Ärztinnen und Ärzte helfen uns, wenn wir krank sind.",TRUE,right,uzh,uzh_188
Wie leben alle auf dem Mars.,FALSE,left,uzh,uzh_189
Obst und Gemüse helfen unserem Körper zu wachsen und gesund zu bleiben.,TRUE,right,uzh,uzh_190
Eltern versorgen ihre Kinder.,TRUE,right,uzh,uzh_191
Wasser löscht den Durst.,TRUE,right,uzh,uzh_192
"Katzen miauen und schnurren, wenn sie glücklich sind.",TRUE,right,uzh,uzh_193
"Wenn man in einen Stall geht, sieht man oft Pferde, Kühe oder Schweine.",TRUE,right,uzh,uzh_194
"Im Sommer geht man ins Freibad, um sich abzukühlen.",TRUE,right,uzh,uzh_195
"Im Vergleich zu Schulkindern, können Kindergartenkinder noch nicht gut lesen.",TRUE,right,uzh,uzh_196
"Weil junge Kinder noch nicht lesen können, kriegen sie oft Bilderbücher geschenkt.",TRUE,right,uzh,uzh_197
"Der Staubsauger ist ein elektrisches Gerät, das wir zum Putzen benutzen.",TRUE,right,uzh,uzh_198
"Die Fläche um ein Haus, auf dem viele Pflanzen wachsen, nennt man Insel.",FALSE,left,uzh,uzh_199
In den Ferien musst du nicht in die Schule.,TRUE,right,uzh,uzh_200
