"","sentence","grade","answer","direction","itemId"
"92","Some greyhounds are raised for racing around a track.",2,TRUE,"right","TOSREC_85"
"93","Students are supposed to obey the rule of the class.",2,TRUE,"right","TOSREC_86"
"94","You can iron wrinkles out of puppies.",2,FALSE,"left","TOSREC_87"
"95","If you have a lot of school spirit you might cheer loudly at games.",2,TRUE,"right","TOSREC_88"
"96","Mice play checkers with cats on Tuesday mornings.",2,FALSE,"left","TOSREC_89"
"97","You can find icebergs in the desert.",2,FALSE,"left","TOSREC_90"
"98","Some people who want to lose weight count calories.",2,TRUE,"right","TOSREC_91"
"99","It is a crime if a boy shoplifts candy from a store.",2,TRUE,"right","TOSREC_92"
"100","A shark can play the bagpipes at a baseball game.",2,FALSE,"left","TOSREC_93"
"101","You might find an old arrowhead buried in the dirt.",2,TRUE,"right","TOSREC_94"
"102","The planets can be found in a pineapple under the sea.",2,FALSE,"left","TOSREC_95"
"103","Puppies gallop faster than horses.",2,FALSE,"left","TOSREC_96"
"104","A doctor uses a telescope to check your heart.",2,FALSE,"left","TOSREC_97"
"105","A relative can be your cousin.",2,TRUE,"right","TOSREC_98"
"106","A teacher might have an assistant in the classroom.",2,TRUE,"right","TOSREC_99"
"107","A cowboy is a person who enjoys riding seals.",2,FALSE,"left","TOSREC_100"
"108","You might use goggles to see while swimming under water.",2,TRUE,"right","TOSREC_101"
"109","Eyeglasses are meant to be worn inside your socks.",2,FALSE,"left","TOSREC_102"
"110","A girl can be a bridesmaid in her sister�s wedding.",2,TRUE,"right","TOSREC_103"
"111","The sun is round.",3,TRUE,"right","TOSREC_104"
"112","A ball can see.",3,FALSE,"left","TOSREC_105"
"113","Fish swim in a lake.",3,TRUE,"right","TOSREC_60"
"114","A baby can row a boat.",3,FALSE,"left","TOSREC_106"
"115","You can clean a room.",3,TRUE,"right","TOSREC_107"
"116","Schoolwork can be hard to do.",3,TRUE,"right","TOSREC_108"
"117","A hamster can have ten feet.",3,FALSE,"left","TOSREC_109"
"118","Friday is a month of the year.",3,FALSE,"left","TOSREC_110"
"119","A prince likes to eat sand for dinner.",3,FALSE,"left","TOSREC_111"
"120","A car requires gas.",3,TRUE,"right","TOSREC_112"
"121","A girl can talk on a telephone.",3,TRUE,"right","TOSREC_113"
"122","A banana is good to drink.",3,FALSE,"left","TOSREC_114"
"123","A state has a capital.",3,TRUE,"right","TOSREC_115"
"124","You play checkers on a journal.",3,FALSE,"left","TOSREC_116"
"125","You can move a mountain in a wagon.",3,FALSE,"left","TOSREC_117"
"126","A storm might be powerful.",3,TRUE,"right","TOSREC_118"
"127","A lighthouse can be in a harbor.",3,TRUE,"right","TOSREC_119"
"128","A porcupine is fun to pet.",3,FALSE,"left","TOSREC_120"
"129","Chrome is always very dull.",3,FALSE,"left","TOSREC_121"
"130","A dog can be hard to control if a rabbit runs by.",3,TRUE,"right","TOSREC_122"
"131","A teenager is a boy or girl who is less than ten years old.",3,FALSE,"left","TOSREC_123"
"132","A student might need help doing homework.",3,TRUE,"right","TOSREC_124"
"133","Most people wear jackets on their feet rather than shoes.",3,FALSE,"left","TOSREC_125"
"134","A hawk might fly down from a tree to chase after a rabbit.",3,TRUE,"right","TOSREC_126"
"135","If you have a lot of school spirit you might cheer loudly at games.",3,TRUE,"right","TOSREC_88"
"136","You can buy popcorn in a movie theter.",3,TRUE,"right","TOSREC_127"
"137","A melon is a fish that is bigger than a salmon.",3,FALSE,"left","TOSREC_128"
"138","A bucket filled with a hundred gold coins is worthless.",3,FALSE,"left","TOSREC_129"
"139","A majority of votes means more than half of them.",3,TRUE,"right","TOSREC_130"
"140","It is unusual for the sun to rise in the morning.",3,FALSE,"left","TOSREC_131"
"141","A family might go to a store to purchase a new bed.",3,TRUE,"right","TOSREC_132"
"142","A watermelon can be too big for a small boy to lift.",3,TRUE,"right","TOSREC_133"
"143","A castle made in the sand at the beach is very sturdy.",3,FALSE,"left","TOSREC_134"
"144","Most people eat their breakfast at midnight.",3,FALSE,"left","TOSREC_135"
"145","A tortoise is faster than a greyhound.",3,FALSE,"left","TOSREC_136"
"146","A test tube might break if you drop it during an experiment.",3,TRUE,"right","TOSREC_137"
"147","You should invite vultures to a wedding.",3,FALSE,"left","TOSREC_138"
"148","A tongue makes a good hammer for pounding nails into a wall.",3,FALSE,"left","TOSREC_139"
"149","A captain might request cheese for his chili.",3,TRUE,"right","TOSREC_140"
"150","A principal might talk with a girl about what she wore to school.",3,TRUE,"right","TOSREC_141"
"151","An astronaut is a person who sells used cars for a living.",3,FALSE,"left","TOSREC_142"
"152","Some people prefer to have their own pillow with them on a trip.",3,TRUE,"right","TOSREC_143"
"153","Your arm is connected to your elbow by your ankle.",3,FALSE,"left","TOSREC_144"
"154","A person who cooks a meal may go to the store to buy an ingredient.",3,TRUE,"right","TOSREC_145"
"155","A cowboy who rides bareback does not use a saddle.",3,TRUE,"right","TOSREC_146"
"156","A doctor might tell a patient to exercise more.",3,TRUE,"right","TOSREC_147"
"157","A passenger is a man who plays a violin.",3,FALSE,"left","TOSREC_148"
"158","A boy who is not a good swimmer will wear luggage to keep from sinking.",3,FALSE,"left","TOSREC_149"
"159","A candidate for Congress might ask you to decide to vote for her.",3,TRUE,"right","TOSREC_150"
"160","Bison like to dress up in costumes and go to dinner parties.",3,FALSE,"left","TOSREC_151"
"161","A teacher might recommend that you stop talking to a friend and do your work.",3,TRUE,"right","TOSREC_152"
"162","People walked on the moon in prehistoric times.",3,FALSE,"left","TOSREC_153"
"163","You can get some information that you need from a radio.",3,TRUE,"right","TOSREC_154"
"164","Playing ball can be a good way to get recreation and exercise.",3,TRUE,"right","TOSREC_155"
"165","Mathematics is the study of plant life.",3,FALSE,"left","TOSREC_156"
"166","Bubbles you blow from bubble gum are very durable.",3,FALSE,"left","TOSREC_157"
"167","People who build tunnels through mountains might use dynamite.",3,TRUE,"right","TOSREC_158"
"168","A penny is a significant sum of money.",3,FALSE,"left","TOSREC_159"
"169","A viscious dog is very friendly and safe around children.",3,FALSE,"left","TOSREC_160"
"170","You might be told a tale about ghosts who inhabit cemeteries.",3,TRUE,"right","TOSREC_161"
"171","You can look at a book.",4,TRUE,"right","TOSREC_162"
"172","Snow is green.",4,FALSE,"left","TOSREC_163"
"173","You can fly a kite.",4,TRUE,"right","TOSREC_164"
"174","A father can go to work.",4,TRUE,"right","TOSREC_165"
"175","Ants have hats.",4,FALSE,"left","TOSREC_166"
"176","A tiger will roar.",4,TRUE,"right","TOSREC_61"
"177","You can ride a rooster.",4,FALSE,"left","TOSREC_29"
"178","Football is played by frogs.",4,FALSE,"left","TOSREC_26"
"179","You wear a ring on your elbow.",4,FALSE,"left","TOSREC_167"
"180","You might find a cabin in the woods.",4,TRUE,"right","TOSREC_25"
"181","A lighthouse shines brightly at night.",4,TRUE,"right","TOSREC_69"
"182","You can grow onions in a tree.",4,FALSE,"left","TOSREC_38"
"183","A storm can produce flooding.",4,TRUE,"right","TOSREC_80"
"184","Ladders are always made of steak.",4,FALSE,"left","TOSREC_71"
"185","A horse can slide up a mountain covered in snow.",4,FALSE,"left","TOSREC_41"
"186","A student may have to go see the principal.",4,TRUE,"right","TOSREC_168"
"187","A family might go to a store to purchase a bed.",4,TRUE,"right","TOSREC_169"
"188","Lobsters might be found eating grain in a snowstorm.",4,FALSE,"left","TOSREC_48"
"189","You might invite your friends to your birthday party.",4,TRUE,"right","TOSREC_170"
"190","A salmon will run after bears to eat them for dinner.",4,FALSE,"left","TOSREC_171"
"191","Bacon is grown in dry climates.",4,FALSE,"left","TOSREC_172"
"192","A boy might make a girl blush by giving her candy and flowers.",4,TRUE,"right","TOSREC_173"
"193","The planets can be found in a pineapple under the sea.",4,FALSE,"left","TOSREC_95"
"194","You might find an old arrowhead buried in the dirt.",4,TRUE,"right","TOSREC_94"
"195","A relative can be your cousin.",4,TRUE,"right","TOSREC_98"
"196","You can find several bodyguards at the White House.",4,TRUE,"right","TOSREC_174"
"197","Velvet is an expensive product made of hamsters.",4,FALSE,"left","TOSREC_175"
"198","Potato farmers love droughts in the spring.",4,FALSE,"left","TOSREC_176"
"199","A man might smoke a cigar while playing a game of poker with friends.",4,TRUE,"right","TOSREC_177"
"200","Puppies gallop faster than horses.",4,FALSE,"left","TOSREC_96"
"201","A teacher might have an assistant in the classroom.",4,TRUE,"right","TOSREC_99"
"202","You might go to a conference to learn more about playing chess.",4,TRUE,"right","TOSREC_178"
"203","A doctor uses a telescope to check your heart.",4,FALSE,"left","TOSREC_97"
"204","A cannon is a small owl that is easily thrown into the air.",4,FALSE,"left","TOSREC_179"
"205","Dwarf hamsters eat entire trees.",4,FALSE,"left","TOSREC_180"
"206","A girl can be a bridesmaid in her sister's wedding.",4,TRUE,"right","TOSREC_181"
"207","A cowboy is a person who enjoys riding seals.",4,FALSE,"left","TOSREC_100"
"208","Eyeglasses are meant to be worn inside your socks.",4,FALSE,"left","TOSREC_102"
"209","A blacksmith hammers shoes for horses out of hot metal.",4,TRUE,"right","TOSREC_182"
"210","You might use goggles to see while swimming under water.",4,TRUE,"right","TOSREC_101"
"211","Sneezing when you go out is an emergency.",4,FALSE,"left","TOSREC_183"
"212","Some airplanes fly at a very high altitude.",4,TRUE,"right","TOSREC_184"
"213","If you win a million dollars you will be dejected.",4,FALSE,"left","TOSREC_185"
"214","An amateur athlete might train after school.",4,TRUE,"right","TOSREC_186"
"215","Too many absences can make it difficult to keep up with your work and get good grades.",4,TRUE,"right","TOSREC_187"
"216","If you are careless when doing work you can make mistakes.",4,TRUE,"right","TOSREC_188"
"217","A doctor spends most of her time examining rocks and comets.",4,FALSE,"left","TOSREC_189"
"218","Firecrackers are good to eat for dinner.",4,FALSE,"left","TOSREC_190"
"219","If you win an award, you should acknowledge people who helped you along the way.",4,TRUE,"right","TOSREC_191"
"220","Fertilizer is used to keep plants from growing.",4,FALSE,"left","TOSREC_192"
"221","A planet that is habitable will support life.",4,TRUE,"right","TOSREC_193"
"222","Dynamite is often used in cooking.",4,FALSE,"left","TOSREC_194"
"223","Frost can appear on a vehicle if the climate is extremely cold.",4,TRUE,"right","TOSREC_195"
"224","An assertive girl is likely to say what she really thinks rather than keep quiet.",4,TRUE,"right","TOSREC_196"
"225","The weather always is very cold at the equator.",4,FALSE,"left","TOSREC_197"
"226","Someone with a large appetite will eat very little food.",4,FALSE,"left","TOSREC_198"
"227","Not being able to swim is a barrier to having a career as a swimming instructor.",4,TRUE,"right","TOSREC_199"
"228","Wearing a blindfold is better than wearing glasses if you cannot see the board clearly.",4,FALSE,"left","TOSREC_200"
"229","A solitary bird flying overhead will block out the sun and make it dark during the day.",4,FALSE,"left","TOSREC_201"
"230","A boomerang that has been thrown correctly is supposed to come back to the person who threw it.",4,TRUE,"right","TOSREC_202"
"231","An airplane can fly high.",5,TRUE,"right","TOSREC_203"
"232","A cat will eat a mailbox.",5,FALSE,"left","TOSREC_204"
"233","A bank has money.",5,TRUE,"right","TOSREC_205"
"234","You can cook an airport.",5,FALSE,"left","TOSREC_66"
"235","Sugar is good to put on your feet.",5,FALSE,"left","TOSREC_206"
"236","A banana is a fruit you can eat.",5,TRUE,"right","TOSREC_207"
"237","A storm might be powerful.",5,TRUE,"right","TOSREC_118"
"238","A sentence ends with a comma.",5,FALSE,"left","TOSREC_208"
"239","Rabbits like to eat carrots.",5,TRUE,"right","TOSREC_209"
"240","A neighbor lives far away.",5,FALSE,"left","TOSREC_210"
"241","A boy standing outside may have a shadow.",5,TRUE,"right","TOSREC_211"
"242","Having lots of wrinkles means that you are very young.",5,FALSE,"left","TOSREC_212"
"243","A teacher might write a story on a blackboard.",5,TRUE,"right","TOSREC_213"
"244","A spark might terrify a new leather chair.",5,FALSE,"left","TOSREC_214"
"245","Many schools are used to educate ants.",5,FALSE,"left","TOSREC_215"
"246","A passenger is a man who plays violin.",5,FALSE,"left","TOSREC_216"
"247","You can eat a hamburger with mustard for dinner.",5,TRUE,"right","TOSREC_217"
"248","A microscope is for seeing things that are far away.",5,FALSE,"left","TOSREC_218"
"249","A doctor might tell a patient to exercise more.",5,TRUE,"right","TOSREC_147"
"250","Parents can ask for a conference to talk about a child's grades.",5,TRUE,"right","TOSREC_219"
"251","Some airplanes fly at a very high altitude.",5,TRUE,"right","TOSREC_184"
"252","When food is abundant, there will be limited amounts of food to eat.",5,FALSE,"left","TOSREC_220"
"253","If you go to the circus, you might get to see the acrobats perform.",5,TRUE,"right","TOSREC_221"
"254","An amateur athlete might train after school.",5,TRUE,"right","TOSREC_186"
"255","If you want to keep a secret, you should broadcast it on the radio.",5,FALSE,"left","TOSREC_222"
"256","You will want to spend a lot of time with a person who is very annoying.",5,FALSE,"left","TOSREC_223"
"257","Some children with an allergy might be allergic to pets such as dogs or cats.",5,TRUE,"right","TOSREC_224"
"258","Too many absences can make it difficult to keep up with your work and get good grades.",5,TRUE,"right","TOSREC_187"
"259","A friend you admire is someone you have little respect for.",5,FALSE,"left","TOSREC_225"
"260","Some children who help around the house get an allowance from their parents.",5,TRUE,"right","TOSREC_226"
"261","If an unexpected guest arrives, you might have to adjust your plans.",5,TRUE,"right","TOSREC_227"
"262","An alert watchdog will sleep through a burglary attempt.",5,FALSE,"left","TOSREC_228"
"263","If an automobile stops abruptly, a box on the the seat might fall on the floor.",5,TRUE,"right","TOSREC_229"
"264","A billion dollars is a small amount of money for most of us.",5,FALSE,"left","TOSREC_230"
"265","A student who studies abroad will leave her country to go to college.",5,TRUE,"right","TOSREC_231"
"266","An illegal alien is a person who was born in this country.",5,FALSE,"left","TOSREC_232"
"267","Barbecue is a sport that requires a big field, a baseball, and a bat.",5,FALSE,"left","TOSREC_233"
"268","If you win an award, you should acknowledge people who helped you along the way.",5,TRUE,"right","TOSREC_191"
"269","A barometer is good for telling how hot or cold it is outside.",5,FALSE,"left","TOSREC_234"
"270","Archeology is a field of science that is used to predict if it will rain.",5,FALSE,"left","TOSREC_235"
"271","A mechanic might recommend that you rotate your tires.",5,TRUE,"right","TOSREC_236"
"272","Anything made of steel is flexible.",5,FALSE,"left","TOSREC_237"
"273","An asteroid is best eaten for breakfast or dinner.",5,FALSE,"left","TOSREC_238"
"274","Climbing a mountain can be treacherous.",5,TRUE,"right","TOSREC_239"
"275","You might be told a tale about ghosts who inhabit cemeteries.",5,TRUE,"right","TOSREC_161"
"276","A confidential story should be shared with others.",5,FALSE,"left","TOSREC_240"
"277","A candidate who loses a close election might ask for a recount.�",5,TRUE,"right","TOSREC_241"
"278","A teacher might be emphatic about the need to follow classroom rules.",5,TRUE,"right","TOSREC_242"
"279","Flies should be kept safe because they are endangered animals.",5,FALSE,"left","TOSREC_243"
"280","Radioactive waste is good for the environment if it leaks out on the ground.",5,FALSE,"left","TOSREC_244"
"281","Doing the same thing over and over again can be very monotonous.",5,TRUE,"right","TOSREC_245"
"282","A victorious runner might have a reason to be happy.",5,TRUE,"right","TOSREC_246"
"283","A gangster is a person who gives millions to charities.",5,FALSE,"left","TOSREC_247"
"284","A fisherman might exaggerate the size of a trophy fish that got away.",5,TRUE,"right","TOSREC_248"
"285","Many school children carry a fire hydrant in their backpacks in case a fire alarm occurs.",5,FALSE,"left","TOSREC_249"
"286","Doing two hundred sit-ups requires stamina.",5,TRUE,"right","TOSREC_250"
"287","A dissatisfied customer is likely to leave a very large tip after a meal.",5,FALSE,"left","TOSREC_251"
"288","A good label for a box that contains all kinds of different things would be ""Miscellaneous"".",5,TRUE,"right","TOSREC_252"
"289","When a shortage of gasoline occurs, too much is available for purchase.",5,FALSE,"left","TOSREC_253"
"290","A provisional decision is one that is permanent and not subject to change.",5,FALSE,"left","TOSREC_254"
"291","A bank has money.",6,TRUE,"right","TOSREC_205"
"292","A car requires gas.",6,TRUE,"right","TOSREC_112"
"293","Adults are small.",6,FALSE,"left","TOSREC_255"
"294","Clowns live in caves with crickets.",6,FALSE,"left","TOSREC_31"
"295","You might find a cabin in the woods.",6,TRUE,"right","TOSREC_25"
"296","Some greyhounds are raised for racing around a track.",6,TRUE,"right","TOSREC_85"
"297","A teenager is a boy or girl who is less than ten years old.",6,FALSE,"left","TOSREC_123"
"298","A person might wear an apron while cooking.",6,TRUE,"right","TOSREC_256"
"299","Some people who want to lose weight count calories.",6,TRUE,"right","TOSREC_91"
"300","It is unusual for the sun to rise in the morning.",6,FALSE,"left","TOSREC_131"
"301","Puppies gallop faster than horses.",6,FALSE,"left","TOSREC_96"
"302","A person who gets lost might try to use a compass to get home safely.",6,TRUE,"right","TOSREC_257"
"303","A doctor uses a telescope to check your heart.",6,FALSE,"left","TOSREC_97"
"304","You might be anxious if you are about to take a spelling test.",6,TRUE,"right","TOSREC_258"
"305","A cowboy is a person who enjoys riding seals.",6,FALSE,"left","TOSREC_100"
"306","Drinking water is a good precaution to take if it is hot and you are going to run.",6,TRUE,"right","TOSREC_259"
"307","Sneezing when you go out is an emergency.",6,FALSE,"left","TOSREC_183"
"308","People ride to a shopping mall in envelopes.",6,FALSE,"left","TOSREC_260"
"309","If you win an award, you should acknowledge people who helped you along the way.",6,TRUE,"right","TOSREC_191"
"310","Firecrackers are good to eat for dinner.",6,FALSE,"left","TOSREC_190"
"311","People who build tunnels through mountains might use dynamite.",6,TRUE,"right","TOSREC_158"
"312","Blinking your eyes is a very dangerous thing to do.",6,FALSE,"left","TOSREC_261"
"313","A light rain is an example of a major disaster.",6,FALSE,"left","TOSREC_262"
"314","Frost can appear on a vehicle if the climate is extremely cold.",6,TRUE,"right","TOSREC_195"
"315","A planet that is habitable will support life.",6,TRUE,"right","TOSREC_193"
"316","A celebrity might be asked for her autograph.",6,TRUE,"right","TOSREC_263"
"317","Men wear cosmetics to make them feel more intelligent.",6,FALSE,"left","TOSREC_264"
"318","Dynamite is often used in cooking.",6,FALSE,"left","TOSREC_194"
"319","Asthma is a problem that sometimes can make it difficult to breathe.",6,TRUE,"right","TOSREC_265"
"320","A formidable challenge is one that is very easy to deal with.",6,FALSE,"left","TOSREC_266"
"321","If you are right-handed, it probably will feel awkward if you attempt to write with your left hand.",6,TRUE,"right","TOSREC_267"
"322","Identical twins are very easy to tell apart when you first meet them.",6,FALSE,"left","TOSREC_268"
"323","It is easy to ignite a fire using matches under water.",6,FALSE,"left","TOSREC_269"
"324","A boycott might be organized as a way to protest a decision made by a store.",6,TRUE,"right","TOSREC_270"
"325","If you go to a restaurant with a buffet you get to pick whatever you want to eat.",6,TRUE,"right","TOSREC_271"
"326","Birds, turtles, and trees are invisible.",6,FALSE,"left","TOSREC_272"
"327","A microphone is used to take pictures on vacation.",6,FALSE,"left","TOSREC_273"
"328","Charcoal is sometimes used to cook hamburgers or hot dogs.",6,TRUE,"right","TOSREC_274"
"329","A penny is a significant sum of money.",6,FALSE,"left","TOSREC_159"
"330","A contagious disease can be passed from one person to another.",6,TRUE,"right","TOSREC_275"
"331","You can misunderstand people if they talk so quietly that you cannot hear them clearly.",6,TRUE,"right","TOSREC_276"
"332","A generator can be useful if a storm causes the power to go out.",6,TRUE,"right","TOSREC_277"
"333","The safest time to go swimming, boating, or fishing is during a severe typhoon.",6,FALSE,"left","TOSREC_278"
"334","Good students might be honored for their accomplishments at a school assembly.",6,TRUE,"right","TOSREC_279"
"335","A reluctant skydiver is eager to jump from an airplane.",6,FALSE,"left","TOSREC_280"
"336","Most people wear ancient pyramids on their wrists for predicting weather.",6,FALSE,"left","TOSREC_281"
"337","Not being able to swim is a barrier to having a career as a swimming instructor.",6,TRUE,"right","TOSREC_199"
"338","A microscopic germ is bigger than a building but smaller than a city.",6,FALSE,"left","TOSREC_282"
"339","A criminal who tries to blackmail someone may hope to get money from his victim.",6,TRUE,"right","TOSREC_283"
"340","Most people would be disappointed to learn that they were millionaires.",6,FALSE,"left","TOSREC_284"
"341","A confidential remark is not meant to be repeated to others.",6,TRUE,"right","TOSREC_285"
"342","Winning the lottery would be complete agony for most people.",6,FALSE,"left","TOSREC_286"
"343","A convict who attempts to escape from prison is likely to receive a longer sentence.",6,TRUE,"right","TOSREC_287"
"344","An airplane accelerates down the runway before lifting off into the air.",6,TRUE,"right","TOSREC_288"
"345","An abbreviated program is one that is longer than a complete program.",6,FALSE,"left","TOSREC_289"
"346","Most parents will disapprove if their children earn perfect scores on a difficult and important test.",6,FALSE,"left","TOSREC_290"
"347","Some criminals have an accomplice who accompanies them.",6,TRUE,"right","TOSREC_291"
"348","Libraries prefer that all people be delinquent in returning books.",6,FALSE,"left","TOSREC_292"
"349","A football game that ends with a tie score of fourteen to fourteen is an example of a decisive victory.",6,FALSE,"left","TOSREC_293"
"350","Bleach is sometimes used in washing machines to remove difficult stains from very dirty clothes.",6,TRUE,"right","TOSREC_294"
"351","You can play with a toy in the bathtub.",7,TRUE,"right","TOSREC_295"
"352","Blue jays are smaller than ants.",7,FALSE,"left","TOSREC_296"
"353","Farmers grow wheat in large fields.",7,TRUE,"right","TOSREC_297"
"354","Birds make nests for their babies.",7,TRUE,"right","TOSREC_67"
"355","Snakes are good at farming.",7,FALSE,"left","TOSREC_298"
"356","You can buy popcorn in a movie theater.",7,TRUE,"right","TOSREC_299"
"357","A test tube might break if you drop it during an experiment.",7,TRUE,"right","TOSREC_137"
"358","You can find icebergs in the desert.",7,FALSE,"left","TOSREC_90"
"359","Teenagers like to drive sponges to school.",7,FALSE,"left","TOSREC_300"
"360","A man in prison can roam freely throughout the world.",7,FALSE,"left","TOSREC_301"
"361","You might calculate to solve a problem in a math class.",7,TRUE,"right","TOSREC_302"
"362","Some of our ancestors were born and lived in prehistoric times.",7,TRUE,"right","TOSREC_303"
