"","sentence","answer","direction","difficulty","itemId","testsetId"
"31","Heat comes from icebergs.",FALSE,"left",NA,"AI-pset-3-3",3
"32","Flowers have petals.",TRUE,"right",NA,"AI-pset-3-4",3
"33","Roads love to color with black crayons.",FALSE,"left",NA,"AI-pset-3-5",3
"34","My shoes love to bake bread.",FALSE,"left",NA,"AI-pset-3-6",3
"35","Lots of pilots work in bakeries.",FALSE,"left",NA,"AI-pset-3-7",3
"36","A lamp can be very bright.",TRUE,"right",NA,"AI-pset-3-8",3
"37","Gloves can keep your hands warm.",TRUE,"right",NA,"AI-pset-3-9",3
"38","Humans have two fingers.",FALSE,"left",NA,"AI-pset-3-10",3
"39","Beds love to swim.",FALSE,"left",NA,"AI-pset-3-11",3
"40","Giraffes are tall animals.",TRUE,"right",NA,"AI-pset-3-12",3
"41","Books are round.",FALSE,"left",NA,"AI-pset-3-13",3
"42","If a sign says 'no entry', you shouldn't go that way.",TRUE,"right",NA,"AI-pset-3-14",3
"43","Summer is a part of the annual cycle.",TRUE,"right",NA,"AI-pset-4-1",4
"44","Butterflies are larger than buildings.",FALSE,"left",NA,"AI-pset-4-2",4
"45","A compass points north.",TRUE,"right",NA,"AI-pset-4-3",4
"46","Trees often grow in a forest.",TRUE,"right",NA,"AI-pset-4-4",4
"47","Fish enjoy climbing trees.",FALSE,"left",NA,"AI-pset-4-5",4
"48","Monkeys like to eat bananas.",TRUE,"right",NA,"AI-pset-4-6",4
"49","Mountains walk during winter.",FALSE,"left",NA,"AI-pset-4-7",4
"50","Cars enjoy drinking orange juice.",FALSE,"left",NA,"AI-pset-4-8",4
"51","We can buy groceries at the supermarket.",TRUE,"right",NA,"AI-pset-4-9",4
"52","Pizza has beans and jelly on it.",FALSE,"left",NA,"AI-pset-4-10",4
"53","Fish can sing.",FALSE,"left",NA,"AI-pset-4-11",4
"54","Clouds swim in the ocean.",FALSE,"left",NA,"AI-pset-4-12",4
"55","Pet shops are where one can buy pets.",TRUE,"right",NA,"AI-pset-4-13",4
"56","Letters are used to make words and sentences.",TRUE,"right",NA,"AI-pset-4-14",4
"57","Dancing for hours can be tiring.",TRUE,"right",NA,"AI-pset-5-1",5
"58","Paper can be made from trees.",TRUE,"right",NA,"AI-pset-5-2",5
"59","Some rabbits eat carrots.",TRUE,"right",NA,"AI-pset-5-3",5
"60","People can wear hats to protect their heads from the sun.",TRUE,"right",NA,"AI-pset-5-4",5
"61","Raincoats make you freeze.",FALSE,"left",NA,"AI-pset-5-5",5
"62","Certain penguins drive race cars to school.",FALSE,"left",NA,"AI-pset-5-6",5
"63","A baby kangaroo is called a puppy.",FALSE,"left",NA,"AI-pset-5-7",5
"64","A butterfly is a bird.",FALSE,"left",NA,"AI-pset-5-8",5
"65","Many children play games with toys.",TRUE,"right",NA,"AI-pset-5-9",5
"66","People trade vegetables for books in most libraries.",FALSE,"left",NA,"AI-pset-5-10",5
"67","All doors are made of chocolate.",FALSE,"left",NA,"AI-pset-5-11",5
"68","People usually brush their teeth with toothpaste.",TRUE,"right",NA,"AI-pset-5-12",5
"69","Some flowers like to sing.",FALSE,"left",NA,"AI-pset-5-13",5
"70","Elders can be wise.",TRUE,"right",NA,"AI-pset-5-14",5
"71","Tigers are tiny domestic dogs that are known for their checks.",FALSE,"left",NA,"AI-pset-6-1",6
"72","Lions regularly jump on trampolines.",FALSE,"left",NA,"AI-pset-6-2",6
"73","Cookies usually sprout in a desert.",FALSE,"left",NA,"AI-pset-6-3",6
"74","Summer is a kind of ice cream flavor.",FALSE,"left",NA,"AI-pset-6-4",6
"75","Some bags have handles.",TRUE,"right",NA,"AI-pset-6-5",6
"76","Cakes are often eaten at celebrations like birthdays.",TRUE,"right",NA,"AI-pset-6-6",6
"77","Candy is often sweet to taste.",TRUE,"right",NA,"AI-pset-6-7",6
"78","Babies can feel sleepy.",TRUE,"right",NA,"AI-pset-6-8",6
"79","Every book is a butterfly.",FALSE,"left",NA,"AI-pset-6-9",6
"80","Many people use brushes to style their hair.",TRUE,"right",NA,"AI-pset-6-10",6
"81","Helicopters enjoy drinking tea.",FALSE,"left",NA,"AI-pset-6-11",6
"82","Flowers can be found in a garden.",TRUE,"right",NA,"AI-pset-6-12",6
"83","A lion is a big cat that roars.",TRUE,"right",NA,"AI-pset-6-13",6
"84","Fish can play golf.",FALSE,"left",NA,"AI-pset-6-14",6
"85","Apples are tasty fruits that come in many varieties.",TRUE,"right",NA,"AI-pset-7-1",7
"86","Many individuals brush their teeth before sleeping.",FALSE,"left",NA,"AI-pset-7-2",7
"87","Students get recognition when they excel in their studies.",TRUE,"right",NA,"AI-pset-7-3",7
"88","Most people dig holes with spoons.",FALSE,"left",NA,"AI-pset-7-4",7
"89","Stones love to move around.",FALSE,"left",NA,"AI-pset-7-5",7
"90","People can fly by flapping their arms.",FALSE,"left",NA,"AI-pset-7-6",7
"91","Houses have doors.",TRUE,"right",NA,"AI-pset-7-7",7
"92","Houses can walk.",FALSE,"left",NA,"AI-pset-7-8",7
"93","Hats grow on trees.",FALSE,"left",NA,"AI-pset-7-9",7
"94","Some children go to art classes.",TRUE,"right",NA,"AI-pset-7-10",7
"95","Babies can cry often.",TRUE,"right",NA,"AI-pset-7-11",7
"96","Snow is warm.",FALSE,"left",NA,"AI-pset-7-12",7
"97","Firefighters put out fires while on duty.",TRUE,"right",NA,"AI-pset-7-13",7
"98","Dogs are fond of chewing bones.",TRUE,"right",NA,"AI-pset-7-14",7
"99","Birds often nest in trees.",TRUE,"right",NA,"AI-pset-8-1",8
"100","An earthquake can be very calming.",FALSE,"left",NA,"AI-pset-8-2",8
"101","Some birds can fly.",TRUE,"right",NA,"AI-pset-8-3",8
"102","A triangle is round.",FALSE,"left",NA,"AI-pset-8-4",8
"103","Bicycles are often made of steel.",TRUE,"right",NA,"AI-pset-8-5",8
"104","Fish typically use hammers to build things.",FALSE,"left",NA,"AI-pset-8-6",8
"105","Cycling is an activity that you do with a pen.",FALSE,"left",NA,"AI-pset-8-7",8
"106","Some trees have branches.",TRUE,"right",NA,"AI-pset-8-8",8
"107","Wallets can be used to store money.",TRUE,"right",NA,"AI-pset-8-9",8
"108","Running shoes help you run faster.",TRUE,"right",NA,"AI-pset-8-10",8
"109","Windows can be made of cheese.",FALSE,"left",NA,"AI-pset-8-11",8
"110","Bears listen with their paws.",FALSE,"left",NA,"AI-pset-8-12",8
"111","Friends can bake cookies together after school.",TRUE,"right",NA,"AI-pset-8-13",8
"112","Cats often have feathers.",FALSE,"left",NA,"AI-pset-8-14",8
"113","Most kittens know how to knit.",FALSE,"left",NA,"AI-pset-9-1",9
"114","Helicopters are flown by rabbits.",FALSE,"left",NA,"AI-pset-9-2",9
"115","Some books have pictures.",TRUE,"right",NA,"AI-pset-9-3",9
"116","Belts help to hold pants up.",TRUE,"right",NA,"AI-pset-9-4",9
"117","Pilots fly planes while on duty.",TRUE,"right",NA,"AI-pset-9-5",9
"118","Birds usually store books in nests.",FALSE,"left",NA,"AI-pset-9-6",9
"119","Ice normally feels warm.",FALSE,"left",NA,"AI-pset-9-7",9
"120","People wear sunglasses to protect their eyes from the sun.",TRUE,"right",NA,"AI-pset-9-8",9
"121","A motorcycle has two wheels.",TRUE,"right",NA,"AI-pset-9-9",9
"122","Summer is a type of soda.",FALSE,"left",NA,"AI-pset-9-10",9
"123","Socks grow in gardens.",FALSE,"left",NA,"AI-pset-9-11",9
"124","The moon is round.",TRUE,"right",NA,"AI-pset-9-12",9
"125","Candy is always spicy to taste.",FALSE,"left",NA,"AI-pset-9-13",9
"126","Turtles have hard shells to protect themselves.",TRUE,"right",NA,"AI-pset-9-14",9
"127","Most chocolates are white and salty.",FALSE,"left",NA,"AI-pset-10-1",10
"128","People occasionally eat cookies.",TRUE,"right",NA,"AI-pset-10-2",10
"129","Shoes can talk.",FALSE,"left",NA,"AI-pset-10-3",10
"130","Cows lay eggs.",FALSE,"left",NA,"AI-pset-10-4",10
"131","A dog may wag its tail when happy.",TRUE,"right",NA,"AI-pset-10-5",10
"132","Ovens are used to make things hot.",TRUE,"right",NA,"AI-pset-10-6",10
"133","People can talk to rainbows.",FALSE,"left",NA,"AI-pset-10-7",10
"134","Walnut trees give us oranges.",FALSE,"left",NA,"AI-pset-10-8",10
"135","Many buildings have chimneys on the roof.",TRUE,"right",NA,"AI-pset-10-9",10
"136","Dogs have tails.",TRUE,"right",NA,"AI-pset-10-10",10
"137","Cats enjoy chasing mice.",TRUE,"right",NA,"AI-pset-10-11",10
"138","Toys can be made of plastic.",TRUE,"right",NA,"AI-pset-10-12",10
"139","Notebooks wear scarves to keep their papers warm.",FALSE,"left",NA,"AI-pset-10-13",10
"140","Most people commute to work by broomstick.",FALSE,"left",NA,"AI-pset-10-14",10
"141","Washing machines clean clothes.",TRUE,"right",NA,"AI-pset-11-1",11
"142","Lions can be scary.",TRUE,"right",NA,"AI-pset-11-2",11
"143","Snowflakes enjoy sunbathing.",FALSE,"left",NA,"AI-pset-11-3",11
"144","Winter is colder than summer.",TRUE,"right",NA,"AI-pset-11-4",11
"145","Monkeys grow from seeds.",FALSE,"left",NA,"AI-pset-11-5",11
"146","Stars are commonly made of oranges.",FALSE,"left",NA,"AI-pset-11-6",11
"147","Dogs are considered man's best friend.",TRUE,"right",NA,"AI-pset-11-7",11
"148","Sofas love to fly.",FALSE,"left",NA,"AI-pset-11-8",11
"149","Rivers are typically made of coffee.",FALSE,"left",NA,"AI-pset-11-9",11
"150","Most folks play board games alone in the dark.",FALSE,"left",NA,"AI-pset-11-10",11
"151","Many artists use brushes to create art.",TRUE,"right",NA,"AI-pset-11-11",11
"152","Music can be played with instruments.",TRUE,"right",NA,"AI-pset-11-12",11
"153","Gorillas can live on rainbows.",FALSE,"left",NA,"AI-pset-11-13",11
"154","A dessert can be very sweet.",TRUE,"right",NA,"AI-pset-11-14",11
"155","Mechanics fix cars in garages.",TRUE,"right",NA,"AI-pset-12-1",12
"156","People always play chess while swimming in the pool.",FALSE,"left",NA,"AI-pset-12-2",12
"157","Cacti are common residents of the ocean.",FALSE,"left",NA,"AI-pset-12-3",12
"158","Cats can play piano.",FALSE,"left",NA,"AI-pset-12-4",12
"159","Windows are used to make things cold.",FALSE,"left",NA,"AI-pset-12-5",12
"160","People hear with their fingers.",FALSE,"left",NA,"AI-pset-12-6",12
"161","All fish are scared of swimming.",FALSE,"left",NA,"AI-pset-12-7",12
"162","Glasses help people to see.",TRUE,"right",NA,"AI-pset-12-8",12
"163","A kitten can be very playful.",TRUE,"right",NA,"AI-pset-12-9",12
"164","Babies can drive cars.",FALSE,"left",NA,"AI-pset-12-10",12
"165","Cats have whiskers.",TRUE,"right",NA,"AI-pset-12-11",12
"166","Teenagers can play video games on a computer.",TRUE,"right",NA,"AI-pset-12-12",12
"167","A dog is a mammal that barks.",TRUE,"right",NA,"AI-pset-12-13",12
"168","Chicks are young chickens.",TRUE,"right",NA,"AI-pset-12-14",12
"169","Carrots are a kind of vegetable.",TRUE,"right",NA,"AI-pset-13-1",13
"170","A whale is a bird.",FALSE,"left",NA,"AI-pset-13-2",13
"171","Snow helps to make things hot.",FALSE,"left",NA,"AI-pset-13-3",13
"172","People generally wash clothes with detergent.",TRUE,"right",NA,"AI-pset-13-4",13
"173","A train has a conductor.",TRUE,"right",NA,"AI-pset-13-5",13
"174","Houses shelter us from the weather.",TRUE,"right",NA,"AI-pset-13-6",13
"175","Spoons help you to see better.",FALSE,"left",NA,"AI-pset-13-7",13
"176","Children like to eat ice cream.",TRUE,"right",NA,"AI-pset-13-8",13
"177","Squares are round.",FALSE,"left",NA,"AI-pset-13-9",13
"178","Some children like to read books.",TRUE,"right",NA,"AI-pset-13-10",13
"179","Bells ring to make sound.",TRUE,"right",NA,"AI-pset-13-11",13
"180","Fishing is an activity that you perform with a car.",FALSE,"left",NA,"AI-pset-13-12",13
"181","Coffee is always cold.",FALSE,"left",NA,"AI-pset-13-13",13
"182","Snakes are legged reptiles.",FALSE,"left",NA,"AI-pset-13-14",13
"183","Books are made of paper.",TRUE,"right",NA,"AI-pset-14-1",14
"184","Computers love to eat cookies.",FALSE,"left",NA,"AI-pset-14-2",14
"185","Many people keep their money in a bank.",TRUE,"right",NA,"AI-pset-14-3",14
"186","Pans are made of metal.",TRUE,"right",NA,"AI-pset-14-4",14
"187","People wear jackets to keep their bodies warm.",TRUE,"right",NA,"AI-pset-14-5",14
"188","Swans can swim well and have white feathers.",TRUE,"right",NA,"AI-pset-14-6",14
"189","Doors love using pink chalk.",FALSE,"left",NA,"AI-pset-14-7",14
"190","Milk is solid.",FALSE,"left",NA,"AI-pset-14-8",14
"191","Snakes have four legs.",FALSE,"left",NA,"AI-pset-14-9",14
"192","Watches should be worn on your elbow.",FALSE,"left",NA,"AI-pset-14-10",14
"193","Spices make food flavorful.",TRUE,"right",NA,"AI-pset-14-11",14
"194","Submarines are operated by fish.",FALSE,"left",NA,"AI-pset-14-12",14
"195","Canes help people to walk.",TRUE,"right",NA,"AI-pset-14-13",14
"196","A dishwasher is something you can wear like a bracelet.",FALSE,"left",NA,"AI-pset-14-14",14
"197","Airplanes fly under the ground.",FALSE,"left",NA,"AI-pset-15-1",15
"198","Cups must have strings.",FALSE,"left",NA,"AI-pset-15-2",15
"199","Spiders make webs out of silk.",TRUE,"right",NA,"AI-pset-15-3",15
"200","A pair of glasses is something you can wear.",TRUE,"right",NA,"AI-pset-15-4",15
"201","A bicycle needs wings to fly.",FALSE,"left",NA,"AI-pset-15-5",15
"202","People wear scarves to keep their necks warm.",TRUE,"right",NA,"AI-pset-15-6",15
"203","Plants have feathers.",FALSE,"left",NA,"AI-pset-15-7",15
"204","Dolphins wear shoes when they swim.",FALSE,"left",NA,"AI-pset-15-8",15
"205","Butterflies were once pandas.",FALSE,"left",NA,"AI-pset-15-9",15
"206","Rain makes the ground wet.",TRUE,"right",NA,"AI-pset-15-10",15
"207","Dogs can be playful.",TRUE,"right",NA,"AI-pset-15-11",15
"208","Clouds carry umbrellas when it's sunny.",FALSE,"left",NA,"AI-pset-15-12",15
"209","A mug can be used to drink coffee.",TRUE,"right",NA,"AI-pset-15-13",15
"210","Babies cry when they are hungry.",TRUE,"right",NA,"AI-pset-15-14",15
"211","Birds can knit sweaters.",FALSE,"left",NA,"AI-pset-16-1",16
"212","Bananas grow on plants.",TRUE,"right",NA,"AI-pset-16-2",16
"213","Mountains are home to sea creatures.",FALSE,"left",NA,"AI-pset-16-3",16
"214","Elders can feel nostalgic.",TRUE,"right",NA,"AI-pset-16-4",16
"215","Monkeys can drive cars on the road.",FALSE,"left",NA,"AI-pset-16-5",16
"216","Frogs can sing opera.",FALSE,"left",NA,"AI-pset-16-6",16
"217","All panda bears swim in large oceans.",FALSE,"left",NA,"AI-pset-16-7",16
"218","A book may have a bookmark.",TRUE,"right",NA,"AI-pset-16-8",16
"219","Spring mornings can be fresh and crisp.",TRUE,"right",NA,"AI-pset-16-9",16
"220","Lamps enjoy eating shoes.",FALSE,"left",NA,"AI-pset-16-10",16
"221","Ants are small but strong insects.",TRUE,"right",NA,"AI-pset-16-11",16
"222","Trees are always purple.",FALSE,"left",NA,"AI-pset-16-12",16
"223","Posters can hang on the wall.",TRUE,"right",NA,"AI-pset-16-13",16
"224","The color of grass is green.",TRUE,"right",NA,"AI-pset-16-14",16
"225","Some people get to work by unicorn.",FALSE,"left",NA,"AI-pset-17-1",17
"226","A pillow can be extremely fluffy.",TRUE,"right",NA,"AI-pset-17-2",17
"227","Eggs are laid by cows.",FALSE,"left",NA,"AI-pset-17-3",17
"228","Trees have ears.",FALSE,"left",NA,"AI-pset-17-4",17
"229","Cats are living things.",TRUE,"right",NA,"AI-pset-17-5",17
"230","Jellyfish have feathers and can sing.",FALSE,"left",NA,"AI-pset-17-6",17
"231","Most children know how to play a game.",TRUE,"right",NA,"AI-pset-17-7",17
"232","Some pants have pockets.",TRUE,"right",NA,"AI-pset-17-8",17
"233","Cupboards can sing.",FALSE,"left",NA,"AI-pset-17-9",17
"234","Trains are a efficient forms of transportation for goods and people.",TRUE,"right",NA,"AI-pset-17-10",17
"235","Rainbows make the dishes sparkle.",FALSE,"left",NA,"AI-pset-17-11",17
"236","Friends can play games together after school.",TRUE,"right",NA,"AI-pset-17-12",17
"237","Cooks always serve diners pizza and ice cream.",FALSE,"left",NA,"AI-pset-17-13",17
"238","Trees can provide shade on a sunny day.",TRUE,"right",NA,"AI-pset-17-14",17
"239","Astronauts work at the bottom of the ocean.",FALSE,"left",NA,"AI-pset-18-1",18
"240","All dogs are brown.",FALSE,"left",NA,"AI-pset-18-2",18
"241","Birds enjoy flying in the sky.",TRUE,"right",NA,"AI-pset-18-3",18
"242","Houses can run races.",FALSE,"left",NA,"AI-pset-18-4",18
"243","Most books are made of paper.",TRUE,"right",NA,"AI-pset-18-5",18
"244","Several kids are fond of swimming.",TRUE,"right",NA,"AI-pset-18-6",18
"245","Cats are sleepy animals.",TRUE,"right",NA,"AI-pset-18-7",18
"246","A pair of socks is something you might wear.",TRUE,"right",NA,"AI-pset-18-8",18
"247","Books are made of one page.",FALSE,"left",NA,"AI-pset-18-9",18
"248","Tennis is a game you play with small mint candies.",FALSE,"left",NA,"AI-pset-18-10",18
"249","A bicycle has two wheels.",TRUE,"right",NA,"AI-pset-18-11",18
"250","Juices come from rocks.",FALSE,"left",NA,"AI-pset-18-12",18
"251","Every night is sunny.",FALSE,"left",NA,"AI-pset-18-13",18
"252","Kids often eat cereal using a spoon.",TRUE,"right",NA,"AI-pset-18-14",18
"253","Chefs bake cakes in the classroom.",FALSE,"left",NA,"AI-pset-19-1",19
"254","We feel hot when fire is near.",TRUE,"right",NA,"AI-pset-19-2",19
"255","Cheese comes from milk and can be enjoyed in many ways.",TRUE,"right",NA,"AI-pset-19-3",19
"256","Stars shine in the night sky.",TRUE,"right",NA,"AI-pset-19-4",19
"257","There are red roses.",TRUE,"right",NA,"AI-pset-19-5",19
"258","Cakes usually grow in the desert.",FALSE,"left",NA,"AI-pset-19-6",19
"259","Before crossing the street, it's wise to look both ways.",TRUE,"right",NA,"AI-pset-19-7",19
"260","Money is used to buy goods and services.",TRUE,"right",NA,"AI-pset-19-8",19
"261","Nurses provide care in hospitals.",TRUE,"right",NA,"AI-pset-19-9",19
"262","Pizzas grow in soil.",FALSE,"left",NA,"AI-pset-19-10",19
"263","Stars can be eaten.",FALSE,"left",NA,"AI-pset-19-11",19
"264","Lions have feathers.",FALSE,"left",NA,"AI-pset-19-12",19
"265","Books are stored in microwaves.",FALSE,"left",NA,"AI-pset-19-13",19
"266","Mice are enormous elephants known for their faint roar.",FALSE,"left",NA,"AI-pset-19-14",19
"267","Pencils love to go swimming.",FALSE,"left",NA,"AI-pset-20-1",20
"268","Clothes are dried in dishwashers.",FALSE,"left",NA,"AI-pset-20-2",20
"269","All dogs have wings.",FALSE,"left",NA,"AI-pset-20-3",20
"270","Most adults know how to use a washing machine.",TRUE,"right",NA,"AI-pset-20-4",20
"271","Socks should be worn on your ears.",FALSE,"left",NA,"AI-pset-20-5",20
"272","A zoo has more than one animal.",TRUE,"right",NA,"AI-pset-20-6",20
"273","Dogs have ears.",TRUE,"right",NA,"AI-pset-20-7",20
"274","An octopus has two legs.",FALSE,"left",NA,"AI-pset-20-8",20
"275","Elephants live underwater in the ocean.",FALSE,"left",NA,"AI-pset-20-9",20
"276","Vegetables come in one color and are grown in desert.",FALSE,"left",NA,"AI-pset-20-10",20
"277","Cats can climb trees.",TRUE,"right",NA,"AI-pset-20-11",20
"278","A triangle has three sides.",TRUE,"right",NA,"AI-pset-20-12",20
"279","You can buy flowers at the florist.",TRUE,"right",NA,"AI-pset-20-13",20
"280","A jacket can usually be warm.",TRUE,"right",NA,"AI-pset-20-14",20
"281","Chefs usually work in restaurants where they cook food.",TRUE,"right",NA,"AI-pset-21-1",21
"282","Many people like to cook food.",TRUE,"right",NA,"AI-pset-21-2",21
"283","Kittens are aged elephants and can be very moody.",FALSE,"left",NA,"AI-pset-21-3",21
"284","Books enjoy sipping water.",FALSE,"left",NA,"AI-pset-21-4",21
"285","Stars are plucked from trees.",FALSE,"left",NA,"AI-pset-21-5",21
"286","Most food is cooked in a kitchen before eating.",TRUE,"right",NA,"AI-pset-21-6",21
"287","All pencils are red.",FALSE,"left",NA,"AI-pset-21-7",21
"288","Buses are driven by drivers.",TRUE,"right",NA,"AI-pset-21-8",21
"289","Cats like to chase mice.",TRUE,"right",NA,"AI-pset-21-9",21
"290","Dolphins have three tails.",FALSE,"left",NA,"AI-pset-21-10",21
"291","A dog is a deer that barks.",FALSE,"left",NA,"AI-pset-21-11",21
"292","Trees love to sip cola.",FALSE,"left",NA,"AI-pset-21-12",21
"293","Some turtles have shells.",TRUE,"right",NA,"AI-pset-21-13",21
"294","Curtains can hang in a window.",TRUE,"right",NA,"AI-pset-21-14",21
"295","Lions are large predators.",TRUE,"right",NA,"AI-pset-22-1",22
"296","Bowling balls are sold underwater.",FALSE,"left",NA,"AI-pset-22-2",22
"297","Walls sometimes drink lemonade.",FALSE,"left",NA,"AI-pset-22-3",22
"298","Refrigerators help to keep food items cold.",TRUE,"right",NA,"AI-pset-22-4",22
"299","Apples can be read.",FALSE,"left",NA,"AI-pset-22-5",22
"300","Many different species of fish live in the ocean.",TRUE,"right",NA,"AI-pset-22-6",22
"301","A refrigerator is something you might wear as a necklace.",FALSE,"left",NA,"AI-pset-22-7",22
"302","Some lakes have laces.",FALSE,"left",NA,"AI-pset-22-8",22
"303","Birds can fly in the sky.",TRUE,"right",NA,"AI-pset-22-9",22
"304","Salt is often salty to taste.",TRUE,"right",NA,"AI-pset-22-10",22
"305","Ice cubes can sprint really fast.",FALSE,"left",NA,"AI-pset-22-11",22
"306","Chairs can climb mountains.",FALSE,"left",NA,"AI-pset-22-12",22
"307","Some children like to draw pictures before they go to bed.",TRUE,"right",NA,"AI-pset-22-13",22
"308","Rainbows appear after rain.",TRUE,"right",NA,"AI-pset-22-14",22
"309","Balloons can be filled with air.",TRUE,"right",NA,"AI-pset-23-1",23
"310","Lamps have buds.",FALSE,"left",NA,"AI-pset-23-2",23
"311","Dogs can wag their tail.",TRUE,"right",NA,"AI-pset-23-3",23
"312","Sunflowers are typically yellow.",TRUE,"right",NA,"AI-pset-23-4",23
"313","Many librarians work inside a power plant.",FALSE,"left",NA,"AI-pset-23-5",23
"314","Monkeys bloom from flowers.",FALSE,"left",NA,"AI-pset-23-6",23
"315","People often cut vegetables with knives.",TRUE,"right",NA,"AI-pset-23-7",23
"316","Clouds have ears.",FALSE,"left",NA,"AI-pset-23-8",23
"317","Sleep is important for the body and mind to rest and restore.",TRUE,"right",NA,"AI-pset-23-9",23
"318","Mountains can dance.",FALSE,"left",NA,"AI-pset-23-10",23
"319","A mechanic works at a bakery.",FALSE,"left",NA,"AI-pset-23-11",23
"320","Apple pie is always made from bananas.",FALSE,"left",NA,"AI-pset-23-12",23
"321","Babies learn a lot in their first year of life.",TRUE,"right",NA,"AI-pset-23-13",23
"322","Chess is a game that you play with pieces.",TRUE,"right",NA,"AI-pset-23-14",23
"323","Many children like eating apples.",TRUE,"right",NA,"AI-pset-24-1",24
"324","Doctors are trained professionals who help us when we are sick.",TRUE,"right",NA,"AI-pset-24-2",24
"325","Daisies grow under the sea.",FALSE,"left",NA,"AI-pset-24-3",24
"326","Leaves often fall in the autumn.",TRUE,"right",NA,"AI-pset-24-4",24
"327","Sunflowers grow from apple seeds.",FALSE,"left",NA,"AI-pset-24-5",24
"328","Mirrors enjoy eating toasts.",FALSE,"left",NA,"AI-pset-24-6",24
"329","Birds can breathe underwater.",FALSE,"left",NA,"AI-pset-24-7",24
"330","Spiders take math tests.",FALSE,"left",NA,"AI-pset-24-8",24
"331","Rivers flow into seas.",TRUE,"right",NA,"AI-pset-24-9",24
"332","The wind likes to fry eggs.",FALSE,"left",NA,"AI-pset-24-10",24
"333","Lots of kids play on the playground with their friends.",TRUE,"right",NA,"AI-pset-24-11",24
"334","A car has four wheels.",TRUE,"right",NA,"AI-pset-24-12",24
"335","Lions compete in spelling bees.",FALSE,"left",NA,"AI-pset-24-13",24
"336","An eagle is a bird.",TRUE,"right",NA,"AI-pset-24-14",24
"337","Ice turns into water when it melts.",TRUE,"right",NA,"AI-pset-25-1",25
"338","Clouds float in the sky.",TRUE,"right",NA,"AI-pset-25-2",25
"339","Clocks are passionate about purple pencils.",FALSE,"left",NA,"AI-pset-25-3",25
"340","Balloons have fruit.",FALSE,"left",NA,"AI-pset-25-4",25
"341","Cups keep their books in the cupboard.",FALSE,"left",NA,"AI-pset-25-5",25
"342","People commonly cook food with oil.",TRUE,"right",NA,"AI-pset-25-6",25
"343","Students often get praise when they are helpful to others.",TRUE,"right",NA,"AI-pset-25-7",25
"344","All giraffes have long necks.",TRUE,"right",NA,"AI-pset-25-8",25
"345","Sharks live in the desert.",FALSE,"left",NA,"AI-pset-25-9",25
"346","Sandwiches can perform ballet.",FALSE,"left",NA,"AI-pset-25-10",25
"347","Cotton candy comes from sheep.",FALSE,"left",NA,"AI-pset-25-11",25
"348","A rectangle is round.",FALSE,"left",NA,"AI-pset-25-12",25
"349","Cats are often kept as pets and are known for their independence.",TRUE,"right",NA,"AI-pset-25-13",25
"350","Children can be playful.",TRUE,"right",NA,"AI-pset-25-14",25
