sentence,answer,direction,difficulty,itemId,corpusId,form,itemNum,itemId_old
A number of people walk to work.,TRUE,right,hard,aiv3_form1_67,aiv3,1,67,AI-pset-30-3
A motorcycle can be used to transport whales.,FALSE,left,hard,aiv3_form1_68,aiv3,1,68,AI-pset-43-12
Sunglasses are useful for keeping people dry when it snows.,FALSE,left,hard,aiv3_form1_69,aiv3,1,69,AI-pset-1-10
Curtains can hang in a window.,TRUE,right,hard,aiv3_form1_70,aiv3,1,70,AI-pset-21-14
Dogs have tails.,TRUE,right,easy,aiv3_form2_1,aiv3,2,1,AI-pset-10-10
All roses are purple.,FALSE,left,easy,aiv3_form2_2,aiv3,2,2,AI-pset-44-14
Cats are living things.,TRUE,right,easy,aiv3_form2_3,aiv3,2,3,AI-pset-17-5
Birds can fly in the sky.,TRUE,right,easy,aiv3_form2_4,aiv3,2,4,AI-pset-22-9
All books are blue.,FALSE,left,easy,aiv3_form2_5,aiv3,2,5,AI-pset-30-7
Books can fly around a room.,FALSE,left,easy,aiv3_form2_6,aiv3,2,6,AI-pset-46-6
Some shirts have buttons.,TRUE,right,easy,aiv3_form2_7,aiv3,2,7,AI-pset-46-11
Honey is made by cows.,FALSE,left,easy,aiv3_form2_8,aiv3,2,8,AI-pset-45-10
Doors can open and close.,TRUE,right,easy,aiv3_form2_9,aiv3,2,9,AI-pset-44-10
Flowers can be found in a garden.,TRUE,right,easy,aiv3_form2_10,aiv3,2,10,AI-pset-6-12
Lemonade is always made of apples.,FALSE,left,easy,aiv3_form2_11,aiv3,2,11,AI-pset-31-11
An apple has six legs.,FALSE,left,easy,aiv3_form2_12,aiv3,2,12,AI-pset-34-14
Schools are floating in the air.,FALSE,left,easy,aiv3_form2_13,aiv3,2,13,AI-pset-2-1
Summer days can be really hot.,TRUE,right,easy,aiv3_form2_14,aiv3,2,14,AI-pset-26-13
Cups must have feathers.,FALSE,left,easy,aiv3_form2_15,aiv3,2,15,AI-pset-29-13
Apple pie is always made from bananas.,FALSE,left,easy,aiv3_form2_16,aiv3,2,16,AI-pset-23-12
People serve dinners on clouds.,FALSE,left,easy,aiv3_form2_17,aiv3,2,17,AI-pset-27-11
Some drinks can be very cold.,TRUE,right,easy,aiv3_form2_18,aiv3,2,18,AI-pset-30-6
A clock can hang on the wall.,TRUE,right,easy,aiv3_form2_19,aiv3,2,19,AI-pset-26-5
Tigers enjoy knitting sweaters.,FALSE,left,easy,aiv3_form2_20,aiv3,2,20,AI-pset-1-13
Most apartments have a kitchen.,TRUE,right,easy,aiv3_form2_21,aiv3,2,21,AI-pset-48-12
Dolphins can be found in the desert.,FALSE,left,easy,aiv3_form2_22,aiv3,2,22,AI-pset-47-4
Many children play games with toys.,TRUE,right,easy,aiv3_form2_23,aiv3,2,23,AI-pset-5-9
Doors love using pink chalk.,FALSE,left,easy,aiv3_form2_24,aiv3,2,24,AI-pset-14-7
A pair of socks is something you might wear.,TRUE,right,easy,aiv3_form2_25,aiv3,2,25,AI-pset-18-8
Doctors are trained professionals who help us when we are sick.,TRUE,right,easy,aiv3_form2_26,aiv3,2,26,AI-pset-24-2
Many librarians work inside a power plant.,FALSE,left,easy,aiv3_form2_27,aiv3,2,27,AI-pset-23-5
Reading books is one way to learn new things at any age.,TRUE,right,easy,aiv3_form2_28,aiv3,2,28,AI-pset-49-2
Rivers are known to save books in caves.,FALSE,left,easy,aiv3_form2_29,aiv3,2,29,AI-pset-31-12
A car has four wheels.,TRUE,right,medium,aiv3_form2_30,aiv3,2,30,AI-pset-24-12
Lollipops grow on trees.,FALSE,left,medium,aiv3_form2_31,aiv3,2,31,AI-pset-31-13
Flowers have petals.,TRUE,right,medium,aiv3_form2_32,aiv3,2,32,AI-pset-3-4
Birds can be different colors.,TRUE,right,medium,aiv3_form2_33,aiv3,2,33,AI-pset-44-13
Dogs bark at strangers.,TRUE,right,medium,aiv3_form2_34,aiv3,2,34,AI-pset-1-8
A car has four tires.,TRUE,right,medium,aiv3_form2_35,aiv3,2,35,AI-pset-27-2
Clouds are birds.,FALSE,left,medium,aiv3_form2_36,aiv3,2,36,AI-pset-45-6
A pillow can be extremely fluffy.,TRUE,right,medium,aiv3_form2_37,aiv3,2,37,AI-pset-17-2
Most books are made of paper.,TRUE,right,medium,aiv3_form2_38,aiv3,2,38,AI-pset-18-5
Libraries are where you borrow books.,TRUE,right,medium,aiv3_form2_39,aiv3,2,39,AI-pset-40-11
Tables like to sing.,FALSE,left,medium,aiv3_form2_40,aiv3,2,40,AI-pset-40-4
Chefs prepare meals in kitchens.,TRUE,right,medium,aiv3_form2_41,aiv3,2,41,AI-pset-39-5
Plants have feathers.,FALSE,left,medium,aiv3_form2_42,aiv3,2,42,AI-pset-15-7
Raincoats are used for protection against rain.,TRUE,right,medium,aiv3_form2_43,aiv3,2,43,AI-pset-37-8
Every book is a butterfly.,FALSE,left,medium,aiv3_form2_44,aiv3,2,44,AI-pset-6-9
Umbrellas are used to keep dry in the rain.,TRUE,right,medium,aiv3_form2_45,aiv3,2,45,AI-pset-44-11
Couches help you dance better.,FALSE,left,medium,aiv3_form2_46,aiv3,2,46,AI-pset-37-2
Blueberry pie is always made of oranges.,FALSE,left,medium,aiv3_form2_47,aiv3,2,47,AI-pset-31-14
Eggs are boiled in wardrobes.,FALSE,left,medium,aiv3_form2_48,aiv3,2,48,AI-pset-42-9
Every door is locked forever.,FALSE,left,medium,aiv3_form2_49,aiv3,2,49,AI-pset-38-9
Boats are sailed by sailors.,TRUE,right,medium,aiv3_form2_50,aiv3,2,50,AI-pset-47-1
Dancing for hours can be tiring.,TRUE,right,medium,aiv3_form2_51,aiv3,2,51,AI-pset-5-1
Kids usually clean their faces with jam.,FALSE,left,medium,aiv3_form2_52,aiv3,2,52,AI-pset-40-12
Chairs can heat up a room.,FALSE,left,medium,aiv3_form2_53,aiv3,2,53,AI-pset-37-1
Most adults know how to use a washing machine.,TRUE,right,medium,aiv3_form2_54,aiv3,2,54,AI-pset-20-4
Rainbows make the dishes sparkle.,FALSE,left,medium,aiv3_form2_55,aiv3,2,55,AI-pset-17-11
Artists create works of art in studios.,TRUE,right,medium,aiv3_form2_56,aiv3,2,56,AI-pset-47-11
Mountains walk during winter.,FALSE,left,medium,aiv3_form2_57,aiv3,2,57,AI-pset-4-7
Shells can be found on the beach.,TRUE,right,hard,aiv3_form2_58,aiv3,2,58,AI-pset-50-6
People serve dinner on tree branches.,FALSE,left,medium,aiv3_form2_59,aiv3,2,59,AI-pset-46-1
Fish typically use hammers to build things.,FALSE,left,medium,aiv3_form2_60,aiv3,2,60,AI-pset-8-6
People can become invisible when they close their eyes.,FALSE,left,medium,aiv3_form2_61,aiv3,2,61,AI-pset-33-3
Some coats have hoods.,TRUE,right,hard,aiv3_form2_62,aiv3,2,62,AI-pset-38-13
People occasionally eat cookies.,TRUE,right,hard,aiv3_form2_63,aiv3,2,63,AI-pset-10-2
Tigers are tiny domestic dogs that are known for their checks.,FALSE,left,medium,aiv3_form2_64,aiv3,2,64,AI-pset-6-1
Paper can be made from trees.,TRUE,right,hard,aiv3_form2_65,aiv3,2,65,AI-pset-5-2
The letter Z is an animal.,FALSE,left,hard,aiv3_form2_66,aiv3,2,66,AI-pset-45-3
Many buildings have chimneys on the roof.,TRUE,right,hard,aiv3_form2_67,aiv3,2,67,AI-pset-10-9
Cycling is an activity that you do with a pen.,FALSE,left,hard,aiv3_form2_68,aiv3,2,68,AI-pset-8-7
Bottles wear mittens to keep their water warm.,FALSE,left,hard,aiv3_form2_69,aiv3,2,69,AI-pset-26-7
Robots are machines that can do tasks automatically.,TRUE,right,hard,aiv3_form2_70,aiv3,2,70,AI-pset-3-1
Cows like to bark.,FALSE,left,easy,aiv3_form3_1,aiv3,3,1,AI-pset-47-12
Fish like to walk on land.,FALSE,left,easy,aiv3_form3_2,aiv3,3,2,AI-pset-32-8
Children can laugh a lot.,TRUE,right,easy,aiv3_form3_3,aiv3,3,3,AI-pset-27-14
People can ride on clouds.,FALSE,left,easy,aiv3_form3_4,aiv3,3,4,AI-pset-50-9
A librarian works in a library.,TRUE,right,easy,aiv3_form3_5,aiv3,3,5,AI-pset-2-9
A kitten can be very playful.,TRUE,right,easy,aiv3_form3_6,aiv3,3,6,AI-pset-12-9
The color of a banana is yellow.,TRUE,right,easy,aiv3_form3_7,aiv3,3,7,AI-pset-1-9
Fish like to swim in water.,TRUE,right,easy,aiv3_form3_8,aiv3,3,8,AI-pset-31-10
Frogs can sing opera.,FALSE,left,easy,aiv3_form3_9,aiv3,3,9,AI-pset-16-6
Clouds float in the sky.,TRUE,right,easy,aiv3_form3_10,aiv3,3,10,AI-pset-25-2
Summer is a type of soda.,FALSE,left,easy,aiv3_form3_11,aiv3,3,11,AI-pset-9-10
Whales can fit in a fishbowl.,FALSE,left,easy,aiv3_form3_12,aiv3,3,12,AI-pset-26-14
Sandwiches can perform ballet.,FALSE,left,easy,aiv3_form3_13,aiv3,3,13,AI-pset-25-10
Fish can be found in a river.,TRUE,right,easy,aiv3_form3_14,aiv3,3,14,AI-pset-31-4
Gloves can keep your hands warm.,TRUE,right,easy,aiv3_form3_15,aiv3,3,15,AI-pset-3-9
Some children like to ride bikes.,TRUE,right,easy,aiv3_form3_16,aiv3,3,16,AI-pset-45-1
Schools are places where children learn.,TRUE,right,easy,aiv3_form3_17,aiv3,3,17,AI-pset-41-6
Oceans are full of bamboo.,FALSE,left,easy,aiv3_form3_18,aiv3,3,18,AI-pset-35-5
The sun typically rises in the morning.,TRUE,right,easy,aiv3_form3_19,aiv3,3,19,AI-pset-34-8
A dog may wag its tail when happy.,TRUE,right,easy,aiv3_form3_20,aiv3,3,20,AI-pset-10-5
Submarines are operated by fish.,FALSE,left,easy,aiv3_form3_21,aiv3,3,21,AI-pset-14-12
Elephants live underwater in the ocean.,FALSE,left,easy,aiv3_form3_22,aiv3,3,22,AI-pset-20-9
"In fall, many leaves change colors and fall from the trees.",TRUE,right,easy,aiv3_form3_23,aiv3,3,23,AI-pset-50-11
Butterflies are larger than buildings.,FALSE,left,easy,aiv3_form3_24,aiv3,3,24,AI-pset-4-2
Birds have beaks.,TRUE,right,medium,aiv3_form3_25,aiv3,3,25,AI-pset-50-10
Bicycles have pedals.,TRUE,right,medium,aiv3_form3_26,aiv3,3,26,AI-pset-36-2
Lions compete in spelling bees.,FALSE,left,easy,aiv3_form3_27,aiv3,3,27,AI-pset-24-13
Walls sometimes drink lemonade.,FALSE,left,easy,aiv3_form3_28,aiv3,3,28,AI-pset-22-3
Birds chirp in the morning.,TRUE,right,medium,aiv3_form3_29,aiv3,3,29,AI-pset-44-5
Fish can breathe underwater.,TRUE,right,medium,aiv3_form3_30,aiv3,3,30,AI-pset-29-10
Birds like to build nests.,TRUE,right,medium,aiv3_form3_31,aiv3,3,31,AI-pset-1-2
All panda bears swim in large oceans.,FALSE,left,easy,aiv3_form3_32,aiv3,3,32,AI-pset-16-7
Plants often grow in a garden.,TRUE,right,medium,aiv3_form3_33,aiv3,3,33,AI-pset-43-6
"When a traffic light is pink, you should start flying.",FALSE,left,easy,aiv3_form3_34,aiv3,3,34,AI-pset-44-1
Many people like to cook food.,TRUE,right,medium,aiv3_form3_35,aiv3,3,35,AI-pset-21-2
Oceans are always dry.,FALSE,left,medium,aiv3_form3_36,aiv3,3,36,AI-pset-1-3
Birds enjoy flying in the sky.,TRUE,right,medium,aiv3_form3_37,aiv3,3,37,AI-pset-18-3
Cats can play piano.,FALSE,left,medium,aiv3_form3_38,aiv3,3,38,AI-pset-12-4
Kangaroos carry their young in pouches.,TRUE,right,medium,aiv3_form3_39,aiv3,3,39,AI-pset-35-11
Cows lay eggs.,FALSE,left,medium,aiv3_form3_40,aiv3,3,40,AI-pset-10-4
Buses are driven by drivers.,TRUE,right,medium,aiv3_form3_41,aiv3,3,41,AI-pset-21-8
Leaves often fall in the autumn.,TRUE,right,medium,aiv3_form3_42,aiv3,3,42,AI-pset-24-4
Cotton candy comes from sheep.,FALSE,left,medium,aiv3_form3_43,aiv3,3,43,AI-pset-25-11
Refrigerators help to keep food items cold.,TRUE,right,medium,aiv3_form3_44,aiv3,3,44,AI-pset-22-4
Cupboards can sing.,FALSE,left,medium,aiv3_form3_45,aiv3,3,45,AI-pset-17-9
People generally paint their houses with paint.,TRUE,right,medium,aiv3_form3_46,aiv3,3,46,AI-pset-28-10
Bracelets can be made of water.,FALSE,left,medium,aiv3_form3_47,aiv3,3,47,AI-pset-28-8
Airplanes are crafted from leaves.,FALSE,left,medium,aiv3_form3_48,aiv3,3,48,AI-pset-50-7
Salt is often salty to taste.,TRUE,right,medium,aiv3_form3_49,aiv3,3,49,AI-pset-22-10
Books are made of one page.,FALSE,left,medium,aiv3_form3_50,aiv3,3,50,AI-pset-18-9
Letters are used to make words and sentences.,TRUE,right,medium,aiv3_form3_51,aiv3,3,51,AI-pset-4-14
Deserts are full of roses.,FALSE,left,medium,aiv3_form3_52,aiv3,3,52,AI-pset-49-9
Students sometimes get praise when they are helpful to others.,TRUE,right,medium,aiv3_form3_53,aiv3,3,53,AI-pset-25-7
Canes help people to walk.,TRUE,right,hard,aiv3_form3_54,aiv3,3,54,AI-pset-14-13
Candy is always spicy to taste.,FALSE,left,medium,aiv3_form3_55,aiv3,3,55,AI-pset-9-13
Most kittens know how to knit.,FALSE,left,medium,aiv3_form3_56,aiv3,3,56,AI-pset-9-1
Everyone has a unique fingerprint.,TRUE,right,hard,aiv3_form3_57,aiv3,3,57,AI-pset-31-6
Humans steer boats in the desert.,FALSE,left,medium,aiv3_form3_58,aiv3,3,58,AI-pset-33-8
Fishing is an activity that you perform with a car.,FALSE,left,medium,aiv3_form3_59,aiv3,3,59,AI-pset-13-12
Pillows can cool down a room.,FALSE,left,medium,aiv3_form3_60,aiv3,3,60,AI-pset-39-12
Turtles have hard shells to protect themselves.,TRUE,right,hard,aiv3_form3_61,aiv3,3,61,AI-pset-9-14
Cacti are common residents of the ocean.,FALSE,left,medium,aiv3_form3_62,aiv3,3,62,AI-pset-12-3
People trade vegetables for books in most libraries.,FALSE,left,medium,aiv3_form3_63,aiv3,3,63,AI-pset-5-10
Coffee is always cold.,FALSE,left,hard,aiv3_form3_64,aiv3,3,64,AI-pset-13-13
Cookies usually sprout in a desert.,FALSE,left,hard,aiv3_form3_65,aiv3,3,65,AI-pset-6-3
People often cut vegetables with knives.,TRUE,right,hard,aiv3_form3_66,aiv3,3,66,AI-pset-23-7
Water is essential for every living thing on Earth.,TRUE,right,hard,aiv3_form3_67,aiv3,3,67,AI-pset-47-8
People generally wash their hair with shampoo.,TRUE,right,hard,aiv3_form3_68,aiv3,3,68,AI-pset-34-7
Summer is a kind of ice cream flavor.,FALSE,left,hard,aiv3_form3_69,aiv3,3,69,AI-pset-6-4
Chefs bake cakes in the classroom.,FALSE,left,hard,aiv3_form3_70,aiv3,3,70,AI-pset-19-1
Pizzas grow in soil.,FALSE,left,easy,aiv3_form4_1,aiv3,4,1,AI-pset-19-10
Cows give us milk.,TRUE,right,easy,aiv3_form4_2,aiv3,4,2,AI-pset-43-7
Elephants play basketball regularly.,FALSE,left,easy,aiv3_form4_3,aiv3,4,3,AI-pset-28-14
People enjoy watching movies.,TRUE,right,easy,aiv3_form4_4,aiv3,4,4,AI-pset-49-14
Giraffes are tall animals.,TRUE,right,easy,aiv3_form4_5,aiv3,4,5,AI-pset-3-12
Whales are a type of bird.,FALSE,left,easy,aiv3_form4_6,aiv3,4,6,AI-pset-37-6
Many children eat candy.,TRUE,right,easy,aiv3_form4_7,aiv3,4,7,AI-pset-38-2
A motorcycle has two wheels.,TRUE,right,easy,aiv3_form4_8,aiv3,4,8,AI-pset-9-9
Cats can speak French.,FALSE,left,easy,aiv3_form4_9,aiv3,4,9,AI-pset-2-7
Nurses provide care in hospitals.,TRUE,right,easy,aiv3_form4_10,aiv3,4,10,AI-pset-19-9
Snakes have four legs.,FALSE,left,easy,aiv3_form4_11,aiv3,4,11,AI-pset-14-9
Students can study in the classroom.,TRUE,right,easy,aiv3_form4_12,aiv3,4,12,AI-pset-38-6
Music comes out of instruments.,TRUE,right,easy,aiv3_form4_13,aiv3,4,13,AI-pset-32-3
Rainbows can talk to people.,FALSE,left,easy,aiv3_form4_14,aiv3,4,14,AI-pset-10-7
There are seven days in a week.,TRUE,right,easy,aiv3_form4_15,aiv3,4,15,AI-pset-33-4
Some toddlers enjoy playing with toy cars.,TRUE,right,easy,aiv3_form4_16,aiv3,4,16,AI-pset-46-8
Computers love to eat cookies.,FALSE,left,easy,aiv3_form4_17,aiv3,4,17,AI-pset-14-2
Dolphins wear shoes when they swim.,FALSE,left,easy,aiv3_form4_18,aiv3,4,18,AI-pset-15-8
"Butterflies have beautiful, colorful wings.",TRUE,right,easy,aiv3_form4_19,aiv3,4,19,AI-pset-2-4
Most children know how to play a game.,TRUE,right,easy,aiv3_form4_20,aiv3,4,20,AI-pset-17-7
A funny movie can make you feel better when you're upset.,TRUE,right,easy,aiv3_form4_21,aiv3,4,21,AI-pset-48-7
Elephants have six legs.,FALSE,left,easy,aiv3_form4_22,aiv3,4,22,AI-pset-42-7
Monkeys can drive cars on the road.,FALSE,left,easy,aiv3_form4_23,aiv3,4,23,AI-pset-16-5
Doors like to grill cheese.,FALSE,left,easy,aiv3_form4_24,aiv3,4,24,AI-pset-44-8
Lions regularly jump on trampolines.,FALSE,left,easy,aiv3_form4_25,aiv3,4,25,AI-pset-6-2
Salads are healthy food.,TRUE,right,medium,aiv3_form4_26,aiv3,4,26,AI-pset-39-10
Babies can cry often.,TRUE,right,medium,aiv3_form4_27,aiv3,4,27,AI-pset-7-11
Ovens are where you store extra shoes.,FALSE,left,easy,aiv3_form4_28,aiv3,4,28,AI-pset-49-8
A dog is a deer that barks.,FALSE,left,easy,aiv3_form4_29,aiv3,4,29,AI-pset-21-11
Clouds carry umbrellas when it's sunny.,FALSE,left,easy,aiv3_form4_30,aiv3,4,30,AI-pset-15-12
Lions have feathers.,FALSE,left,medium,aiv3_form4_31,aiv3,4,31,AI-pset-19-12
Bikes have two wheels.,TRUE,right,medium,aiv3_form4_32,aiv3,4,32,AI-pset-2-3
A baker works at a bakery.,TRUE,right,medium,aiv3_form4_33,aiv3,4,33,AI-pset-32-9
An oven cooks food.,TRUE,right,medium,aiv3_form4_34,aiv3,4,34,AI-pset-31-7
A bicycle needs wings to fly.,FALSE,left,medium,aiv3_form4_35,aiv3,4,35,AI-pset-15-5
Chicks are young chickens.,TRUE,right,medium,aiv3_form4_36,aiv3,4,36,AI-pset-12-14
Squares are round.,FALSE,left,medium,aiv3_form4_37,aiv3,4,37,AI-pset-13-9
Lemons are often sour to taste.,TRUE,right,medium,aiv3_form4_38,aiv3,4,38,AI-pset-42-10
Comedy movies often make people laugh.,TRUE,right,medium,aiv3_form4_39,aiv3,4,39,AI-pset-43-4
Rainbows can appear after rain.,TRUE,right,medium,aiv3_form4_40,aiv3,4,40,AI-pset-22-14
A triangle is round.,FALSE,left,medium,aiv3_form4_41,aiv3,4,41,AI-pset-8-4
Pencils love to go swimming.,FALSE,left,medium,aiv3_form4_42,aiv3,4,42,AI-pset-20-1
A zoo has more than one animal.,TRUE,right,medium,aiv3_form4_43,aiv3,4,43,AI-pset-20-6
Jellyfish have feathers and can sing.,FALSE,left,medium,aiv3_form4_44,aiv3,4,44,AI-pset-17-6
Ice normally feels warm.,FALSE,left,medium,aiv3_form4_45,aiv3,4,45,AI-pset-9-7
A mug can be used to drink coffee.,TRUE,right,medium,aiv3_form4_46,aiv3,4,46,AI-pset-15-13
Pianos are usually made of paper.,FALSE,left,medium,aiv3_form4_47,aiv3,4,47,AI-pset-35-7
Corn grows tall in the field.,TRUE,right,medium,aiv3_form4_48,aiv3,4,48,AI-pset-3-2
Chess is a game that you play with pieces.,TRUE,right,medium,aiv3_form4_49,aiv3,4,49,AI-pset-23-14
Some people prefer writing with pens.,TRUE,right,medium,aiv3_form4_50,aiv3,4,50,AI-pset-33-6
Chairs are used to make things wet.,FALSE,left,medium,aiv3_form4_51,aiv3,4,51,AI-pset-35-12
Lamps enjoy eating shoes.,FALSE,left,medium,aiv3_form4_52,aiv3,4,52,AI-pset-16-10
Some clouds have buckles.,FALSE,left,medium,aiv3_form4_53,aiv3,4,53,AI-pset-34-6
Bowling balls are sold at the forest.,FALSE,left,medium,aiv3_form4_54,aiv3,4,54,AI-pset-50-5
"Food can be cooked in a kitchen before eating,",TRUE,right,medium,aiv3_form4_55,aiv3,4,55,AI-pset-21-6
The moon is round.,TRUE,right,hard,aiv3_form4_56,aiv3,4,56,AI-pset-9-12
Lamps can cool down a room.,FALSE,left,medium,aiv3_form4_57,aiv3,4,57,AI-pset-41-10
Notebooks wear scarves to keep their papers warm.,FALSE,left,medium,aiv3_form4_58,aiv3,4,58,AI-pset-10-13
A chair has four legs.,TRUE,right,hard,aiv3_form4_59,aiv3,4,59,AI-pset-2-6
