target,distractor1,distractor2,distractor3,audioFile,audioUrl,composite.a,composite.b,composite.c,composite.d,letterNamePractice.a,letterNamePractice.b,letterNamePractice.c,letterNamePractice.d,letterNameLower.a,letterNameLower.b,letterNameLower.c,letterNameLower.d,letterNameUpper.a,letterNameUpper.b,letterNameUpper.c,letterNameUpper.d,letterPhonemePractice.a,letterPhonemePractice.b,letterPhonemePractice.c,letterPhonemePractice.d,letterPhoneme.a,letterPhoneme.b,letterPhoneme.c,letterPhoneme.d,corpusId
i,o,k,b,iLetter,https://storage.googleapis.com/roar-ak/es/shared/iLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,letterNameLower
j,e,v,h,jLetter,https://storage.googleapis.com/roar-ak/es/shared/jLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,letterNameLower
k,o,f,m,kLetter,https://storage.googleapis.com/roar-ak/es/shared/kLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,letterNameLower
l,a,m,x,lLetter,https://storage.googleapis.com/roar-ak/es/shared/lLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,letterNameLower
m,u,p,k,mLetter,https://storage.googleapis.com/roar-ak/es/shared/mLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,letterNameLower
n,i,f,ñ,nLetter,https://storage.googleapis.com/roar-ak/es/shared/nLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,letterNameLower
ñ,u,n,w,enieLetter,https://storage.googleapis.com/roar-ak/es/shared/enieLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,letterNameLower
o,a,j,g,oLetter,https://storage.googleapis.com/roar-ak/es/shared/oLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,letterNameLower
p,i,g,z,pLetter,https://storage.googleapis.com/roar-ak/es/shared/pLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,letterNameLower
q,e,f,y,qLetter,https://storage.googleapis.com/roar-ak/es/shared/qLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,letterNameLower
r,o,w,m,rLetter,https://storage.googleapis.com/roar-ak/es/shared/rLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,letterNameLower
s,a,b,h,sLetter,https://storage.googleapis.com/roar-ak/es/shared/sLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,letterNameLower
t,o,f,z,tLetter,https://storage.googleapis.com/roar-ak/es/shared/tLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,letterNameLower
u,o,j,t,uLetter,https://storage.googleapis.com/roar-ak/es/shared/uLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,letterNameLower
v,i,n,x,vLetter,https://storage.googleapis.com/roar-ak/es/shared/vLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,letterNameLower
w,u,g,l,wLetter,https://storage.googleapis.com/roar-ak/es/shared/wLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,letterNameLower
x,e,k,m,xLetter,https://storage.googleapis.com/roar-ak/es/shared/xLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,letterNameLower
y,e,p,r,yLetter,https://storage.googleapis.com/roar-ak/es/shared/yLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,letterNameLower
z,a,t,m,zLetter,https://storage.googleapis.com/roar-ak/es/shared/zLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,letterNameLower
A,I,Ñ,M,aLetter,https://storage.googleapis.com/roar-ak/es/shared/aLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,letterNameUpper
B,U,F,Z,bLetter,https://storage.googleapis.com/roar-ak/es/shared/bLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,letterNameUpper
C,A,J,W,cLetter,https://storage.googleapis.com/roar-ak/es/shared/cLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,letterNameUpper
D,O,F,X,dLetter,https://storage.googleapis.com/roar-ak/es/shared/dLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,letterNameUpper
E,A,J,K,eLetter,https://storage.googleapis.com/roar-ak/es/shared/eLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,letterNameUpper
F,E,H,R,fLetter,https://storage.googleapis.com/roar-ak/es/shared/fLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,letterNameUpper
G,U,C,L,gLetter,https://storage.googleapis.com/roar-ak/es/shared/gLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,letterNameUpper
H,A,L,Z,hLetter,https://storage.googleapis.com/roar-ak/es/shared/hLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,letterNameUpper
I,O,K,B,iLetter,https://storage.googleapis.com/roar-ak/es/shared/iLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,letterNameUpper
J,E,V,H,jLetter,https://storage.googleapis.com/roar-ak/es/shared/jLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,letterNameUpper
K,O,F,M,kLetter,https://storage.googleapis.com/roar-ak/es/shared/kLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,letterNameUpper
L,A,M,X,lLetter,https://storage.googleapis.com/roar-ak/es/shared/lLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,letterNameUpper
M,U,P,K,mLetter,https://storage.googleapis.com/roar-ak/es/shared/mLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,letterNameUpper
N,I,F,Ñ,nLetter,https://storage.googleapis.com/roar-ak/es/shared/nLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,letterNameUpper
Ñ,U,N,W,enieLetter,https://storage.googleapis.com/roar-ak/es/shared/enieLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,letterNameUpper
O,A,J,G,oLetter,https://storage.googleapis.com/roar-ak/es/shared/oLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,letterNameUpper
P,I,G,Z,pLetter,https://storage.googleapis.com/roar-ak/es/shared/pLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,letterNameUpper
Q,E,F,Y,qLetter,https://storage.googleapis.com/roar-ak/es/shared/qLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,letterNameUpper
R,O,W,M,rLetter,https://storage.googleapis.com/roar-ak/es/shared/rLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,letterNameUpper
S,A,B,H,sLetter,https://storage.googleapis.com/roar-ak/es/shared/sLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,letterNameUpper
T,O,F,Z,tLetter,https://storage.googleapis.com/roar-ak/es/shared/tLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,letterNameUpper
U,O,J,T,uLetter,https://storage.googleapis.com/roar-ak/es/shared/uLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,letterNameUpper
V,I,N,X,vLetter,https://storage.googleapis.com/roar-ak/es/shared/vLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,letterNameUpper
W,U,G,L,wLetter,https://storage.googleapis.com/roar-ak/es/shared/wLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,letterNameUpper
X,E,K,M,xLetter,https://storage.googleapis.com/roar-ak/es/shared/xLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,letterNameUpper
Y,E,P,R,yLetter,https://storage.googleapis.com/roar-ak/es/shared/yLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,letterNameUpper
Z,A,T,M,zLetter,https://storage.googleapis.com/roar-ak/es/shared/zLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,letterNameUpper
m,d,r,u,mPhoneme,https://storage.googleapis.com/roar-ak/es/shared/mPhoneme.mp3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,NA,NA,NA,NA,letterPhonemePractice
f,n,v,k,fPhoneme,https://storage.googleapis.com/roar-ak/es/shared/fPhoneme.mp3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,NA,NA,NA,NA,letterPhonemePractice
a,i,f,t,aPhoneme,https://storage.googleapis.com/roar-ak/es/shared/aPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
á,o,j,x,a_tildePhoneme,https://storage.googleapis.com/roar-ak/es/shared/a_tildePhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
b,e,g,z,bPhoneme,https://storage.googleapis.com/roar-ak/es/shared/bPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
c,a,r,v,c_strongPhoneme,https://storage.googleapis.com/roar-ak/es/shared/c_strongPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
ca,a,fa,ta,caPhoneme,https://storage.googleapis.com/roar-ak/es/shared/caPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
co,o,no,ro,coPhoneme,https://storage.googleapis.com/roar-ak/es/shared/coPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
cu,u,ru,yu,cuPhoneme,https://storage.googleapis.com/roar-ak/es/shared/cuPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
c,i,r,n,c_softPhoneme,https://storage.googleapis.com/roar-ak/es/shared/c_softPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
ce,e,pe,ñe,cePhoneme,https://storage.googleapis.com/roar-ak/es/shared/cePhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
ci,i,mi,li,ciPhoneme,https://storage.googleapis.com/roar-ak/es/shared/ciPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
ch,o,h,r,chPhoneme,https://storage.googleapis.com/roar-ak/es/shared/chPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
d,u,k,j,dPhoneme,https://storage.googleapis.com/roar-ak/es/shared/dPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
e,a,c,g,ePhoneme,https://storage.googleapis.com/roar-ak/es/shared/ePhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
é,u,x,h,e_tildePhoneme,https://storage.googleapis.com/roar-ak/es/shared/e_tildePhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
ei,ao,le,pe,eiPhoneme,https://storage.googleapis.com/roar-ak/es/shared/eiPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
f,u,t,w,fPhoneme,https://storage.googleapis.com/roar-ak/es/shared/fPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
g,o,l,ñ,g_strongPhoneme,https://storage.googleapis.com/roar-ak/es/shared/g_strongPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
ga,a,ta,pa,gaPhoneme,https://storage.googleapis.com/roar-ak/es/shared/gaPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
go,o,mo,do,goPhoneme,https://storage.googleapis.com/roar-ak/es/shared/goPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
gu,u,su,ru,guPhoneme,https://storage.googleapis.com/roar-ak/es/shared/guPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
g,o,l,n,g_softPhoneme,https://storage.googleapis.com/roar-ak/es/shared/g_softPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
ge,e,pe,le,gePhoneme,https://storage.googleapis.com/roar-ak/es/shared/gePhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
gi,i,ti,fi,giPhoneme,https://storage.googleapis.com/roar-ak/es/shared/giPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
gue,e,lue,mue,guePhoneme,https://storage.googleapis.com/roar-ak/es/shared/guePhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
gui,i,fui,sui,guiPhoneme,https://storage.googleapis.com/roar-ak/es/shared/guiPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
güi,i,rui,mui,guuiPhoneme,https://storage.googleapis.com/roar-ak/es/shared/guuiPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
güe,e,rue,tue,guuePhoneme,https://storage.googleapis.com/roar-ak/es/shared/guuePhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
h,a,w,c,hPhoneme,https://storage.googleapis.com/roar-ak/es/shared/hPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
ha,o,ma,ta,haPhoneme,https://storage.googleapis.com/roar-ak/es/shared/haPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
he,i,ne,re,hePhoneme,https://storage.googleapis.com/roar-ak/es/shared/hePhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
hi,e,li,si,hiPhoneme,https://storage.googleapis.com/roar-ak/es/shared/hiPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
ho,u,po,fo,hoPhoneme,https://storage.googleapis.com/roar-ak/es/shared/hoPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
hu,o,cu,du,huPhoneme,https://storage.googleapis.com/roar-ak/es/shared/huPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
i,a,r,n,iPhoneme,https://storage.googleapis.com/roar-ak/es/shared/iPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
í,e,k,g,i_tildePhoneme,https://storage.googleapis.com/roar-ak/es/shared/i_tildePhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
ie,ei,mi,te,iePhoneme,https://storage.googleapis.com/roar-ak/es/shared/iePhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
j,i,b,f,jPhoneme,https://storage.googleapis.com/roar-ak/es/shared/jPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
k,u,r,v,kPhoneme,https://storage.googleapis.com/roar-ak/es/shared/kPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
l,e,b,t,lPhoneme,https://storage.googleapis.com/roar-ak/es/shared/lPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
m,o,w,p,mPhoneme,https://storage.googleapis.com/roar-ak/es/shared/mPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
n,i,c,d,nPhoneme,https://storage.googleapis.com/roar-ak/es/shared/nPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
ñ,a,g,s,eniePhoneme,https://storage.googleapis.com/roar-ak/es/shared/eniePhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
o,e,j,f,oPhoneme,https://storage.googleapis.com/roar-ak/es/shared/oPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
ó,e,p,j,o_tildePhoneme,https://storage.googleapis.com/roar-ak/es/shared/o_tildePhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
p,a,t,m,pPhoneme,https://storage.googleapis.com/roar-ak/es/shared/pPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
q,u,f,v,qPhoneme,https://storage.googleapis.com/roar-ak/es/shared/qPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
que,ue,fue,mue,quePhoneme,https://storage.googleapis.com/roar-ak/es/shared/quePhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
qui,ui,lui,nui,quiPhoneme,https://storage.googleapis.com/roar-ak/es/shared/quiPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
r,o,s,m,rSoftPhoneme,https://storage.googleapis.com/roar-ak/es/shared/rSoftPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
rr,ie,ma,te,rStrongPhoneme,https://storage.googleapis.com/roar-ak/es/shared/rStrongPhoneme.mp3,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.25,1,letterPhoneme
